TAZ,yosh,in_jerusalem_metropolin,jerusalem_city,sector,hh_total,pop,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75up,emp_tot,indus,com_hotel,business,public,education,agri,student,univ,UO_Hi_Ed,pop_emp_employed
8625,0,0,0,Jewish,886.5481572,2230.16975,338.447385,346.6785803,229.9892816,130.2465616,76.50169789,80.37520159,174.3076661,219.8213345,202.3905678,136.5410051,96.83759227,64.39699886,42.12435264,43.57691652,31.47221749,16.46239069,693.4075977,0,254.1290293,225.8924705,84.70967642,128.6764215,0,900.7349506,0,0,957.9290833
8687,0,0,0,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038.269276,519.1346382,155.7403915,363.3942467,0,0,0,0,0,0,0
8611,0,0,0,Jewish,3355.551262,12049.29956,1233.33831,1565.923922,1389.732735,925.4986518,585.9841731,383.0673564,573.1162774,1004.685702,1164.049641,1079.9134,637.4557559,368.2197845,270.2258096,337.5348024,277.1546765,253.3985613,2644.280058,0,961.8687691,854.9944615,320.622923,506.7939043,0,3547.55733,0,0,5295.814741
8612,0,0,0,Jewish,2249.448738,7330.70044,653.6616897,828.0760779,743.2672651,661.5013482,437.0158269,288.9326436,348.8837226,513.3142978,599.9503588,646.0865999,511.5442441,305.7802155,194.7741904,159.4651976,172.8453235,265.6014387,2025.784134,0,644.8044809,573.1595385,214.934827,592.8852877,0,4150.197014,0,0,3331.321259
8633,0,0,0,Jewish,811.3499576,2755.795879,82.94041671,100.7502788,190.3288663,227.4868188,272.3324756,212.3718614,137.9593341,89.15709912,95.14832942,140.2999569,177.2002499,264.8247038,373.0505469,293.5835967,73.16974918,25.19159564,699.367673,0,284.2564576,180.890473,51.6829923,182.53775,0,1277.76425,0,0,1481.730341
8641,0,0,0,Jewish,1949.364655,9249.563939,446.0456892,1056.722641,1519.802605,1275.599976,701.1519597,210.3577778,161.8031817,389.9474654,826.4145276,1108.098386,670.9850787,233.2456242,184.7589095,151.9114812,187.5869905,125.1316443,1556.343588,0,682.959907,434.6108499,124.1745286,314.5983024,0,2202.188117,0,0,3794.704868
8601,0,0,0,Jewish,400,920,90.49180328,71.10070258,73.25526932,23.70023419,51.70960187,51.70960187,64.63700234,51.70960187,56.01873536,49.55503513,40.93676815,36.62763466,38.78220141,60.32786885,58.17330211,101.264637,1556.613583,0,1050,300,150,56.61358314,0,396.295082,0,0,398.4037377
8603,0,0,0,Jewish,1276,4251,199,240,320,339,343,267,166,162,228,295,289,323,255,174,166,485,220.4857143,0,0,0,0,220.4857143,0,1543.4,0,0,2028.6735
8604,0,0,0,Jewish,967,3045,143,202,258,270,344,191,109,119,141,230,285,230,167,110,101,145,678.2262073,0,307.9895,246.3916,61.5979,62.24720728,0,435.7304509,0,0,1479.0846
8623,0,0,0,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8606,0,0,0,Jewish,1235.083685,4598.938693,268.235155,382.4881386,449.8274633,466.3780746,421.047737,280.1548538,181.0536313,217.3244434,279.4137317,345.083394,410.6340053,284.9435673,192.5358756,128.3602461,99.08634118,192.3720347,912.1753889,0,432.7115692,236.0244923,118.0122461,125.4270813,0,877.9895689,0,0,2178.254196
8683,0,0,0,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8605,0,0,0,Jewish,1733,6178,287,416,525,610,566,394,273,250,359,463,519,478,303,224,203,308,1361.378143,0,551.9605,441.5684,110.3921,257.4571429,0,1802.2,0,0,3037.9167
8602,0,0,0,Jewish,1013,3429,173,237,288,300,351,237,132,137,202,271,298,249,161,129,97,167,14.82857143,0,0,0,0,14.82857143,0,103.8,0,0,1683.5126
8614,0,0,0,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.77006813,0,18.79653066,16.70802725,6.265510219,0,0,0,0,0,0
8621,0,0,0,Jewish,1227,4764,299,414,509,498,488,275,195,222,248,380,416,297,201,97,88,137,1045.513286,0,390.7995,312.6396,78.1599,263.9142857,0,1847.4,0,0,2216.6032
8681,0,0,0,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8613,0,0,0,Jewish,1233,4788.214119,305.3646646,447.7078783,542.4430577,524.1692668,368.3611544,195.7219189,210.1485959,245.2535101,329.4091264,452.9976599,387.5967239,250.0624025,130.8018721,119.7414197,122.1458658,156.2890016,1174.3094,0,353.43945,314.1684,117.81315,388.8883998,0,2722.218799,0,0,2185.092496
8616,0,0,0,Jewish,1331,5168.785881,329.6353354,483.2921217,585.5569423,565.8307332,397.6388456,211.2780811,226.8514041,264.7464899,355.5908736,489.0023401,418.4032761,269.9375975,141.1981279,129.2585803,131.8541342,168.7109984,1048.810867,0,381.53115,339.1388,127.17705,200.9638665,0,1406.747066,0,0,2358.765704
8626,0,0,0,Jewish,1615,6471.502849,460.6891026,760.3383191,977.7421652,701.6737892,350.2617521,176.5687322,222.0049858,390.5217236,579.7435897,716.6274929,373.2674501,173.1178775,112.1527778,131.1324786,159.3144587,186.3461538,1217.161344,0,514.3775,411.502,102.8755,188.4063445,0,1318.844411,0,0,2709.280289
8627,0,0,0,Jewish,1193,4780.497151,340.3108974,561.6616809,722.2578348,518.3262108,258.7382479,130.4312678,163.9950142,288.4782764,428.2564103,529.3725071,275.7325499,127.8821225,82.84722222,96.86752137,117.6855413,137.6538462,1076.110505,0,379.9705,303.9764,75.9941,316.1695055,0,2213.186538,0,0,2001.344511
