TAZ,yosh,in_jerusalem_metropolin,jerusalem_city,sector,hh_total,pop,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75up,emp_tot,indus,com_hotel,business,public,education,agri,student,univ,UO_Hi_Ed,pop_emp_employed
6401,0,1,1,arabs_behined_seperation_wall,7504,39041.77,3513.7593,3513.7593,3513.7593,3904.177,3513.7593,3513.7593,3123.3416,2342.5062,2342.5062,2342.5062,1952.0885,1561.6708,1171.2531,780.8354,780.8354,1171.2531,5747.707604,0,2192.6688,730.8896,730.8896,2093.259604,0,14652.81723,0,0,11382.70613
1206,0,1,1,Arab,1872.29,7805.03,702.4527,702.4527,702.4527,702.4527,624.4024,624.4024,546.3521,468.3018,468.3018,468.3018,390.2515,312.2012,234.1509,234.1509,234.1509,390.2515,1283.508383,91.180523,364.722092,182.361046,273.541569,371.7031527,0,2601.922069,0,0,2185.658161
1201,0,1,1,Arab,3954.93,16370.18,1473.3162,1473.3162,1473.3162,1473.3162,1309.6144,1309.6144,1145.9126,982.2108,982.2108,982.2108,818.509,654.8072,491.1054,491.1054,491.1054,818.509,2710.242476,192.605091,963.025455,385.210182,385.210182,784.1915662,0,5489.340964,0,0,4584.174246
2203,0,1,1,Arab,1740.43,7190.13,653.6481818,653.6481818,653.6481818,653.6481818,581.0206061,581.0206061,508.3930303,435.7654545,435.7654545,435.7654545,363.1378788,290.510303,217.8827273,217.8827273,217.8827273,290.510303,327.9591355,0,0,0,0,327.9591355,0,2295.713949,0,0,2028.923956
2303,0,1,1,Arab,3619.66,15333.61,1352.965588,1352.965588,1352.965588,1352.965588,1352.965588,1202.636078,1052.306569,901.9770588,901.9770588,901.9770588,751.647549,751.647549,450.9885294,450.9885294,450.9885294,751.647549,2436.832743,88.138721,969.525931,352.554884,352.554884,674.0583232,0,4718.408262,0,0,4316.501413
2101,0,1,1,Arab,2644.7,12861.03,1169.184545,1169.184545,1169.184545,1169.184545,1169.184545,1039.275152,909.3657576,779.4563636,779.4563636,779.4563636,649.5469697,519.6375758,389.7281818,389.7281818,259.8187879,519.6375758,1819.382164,0,708.382895,321.992225,257.59378,531.4132638,0,3719.892847,0,0,3642.243696
3605,0,1,1,Arab,637.37,2602.5,234.225,234.225,208.2,208.2,208.2,182.175,182.175,156.15,156.15,156.15,156.15,130.125,78.075,78.075,78.075,156.15,398.6529575,0,201.7594735,46.5598785,62.079838,88.25376749,0,617.7763725,0,0,740.27592
2505,0,1,1,Arab,1449.56,6422.17,577.9953,577.9953,577.9953,577.9953,577.9953,513.7736,449.5519,449.5519,385.3302,385.3302,321.1085,256.8868,192.6651,192.6651,128.4434,256.8868,1745.975192,35.296786,388.264646,141.187144,141.187144,1040.039472,0,7280.276305,0,0,1835.404809
2404,0,1,1,Arab,2471.01,11047.85,994.3065,994.3065,994.3065,994.3065,994.3065,883.828,773.3495,773.3495,662.871,662.871,552.3925,441.914,331.4355,331.4355,220.957,441.914,1559.067279,60.1690935,661.8600285,240.676374,240.676374,355.6854088,0,2489.797861,0,0,3157.387147
6402,0,1,1,arabs_behined_seperation_wall,4874.22,24741.37,2204.676535,2204.676535,2204.676535,2204.676535,2204.676535,1959.712475,1959.712475,1714.748416,1469.784356,1469.784356,1224.820297,979.8562376,734.8921782,734.8921782,489.9281188,979.8562376,3581.680902,0,1424.247084,474.749028,474.749028,1207.935762,0,8455.550335,0,0,7133.745352
209,0,1,1,Arab,243.85,1123.08,89.8464,89.8464,89.8464,89.8464,78.6156,78.6156,67.3848,56.154,56.154,67.3848,56.154,56.154,67.3848,44.9232,44.9232,89.8464,1775.371389,0,1052.801064,175.4668441,526.4005322,20.70294887,0,144.9206421,0,0,314.4983386
206,0,1,1,Arab,200.41,947.43,75.7944,75.7944,75.7944,75.7944,66.3201,66.3201,56.8458,47.3715,47.3715,56.8458,47.3715,47.3715,56.8458,37.8972,37.8972,75.7944,2398.697601,0,1389.397683,463.1325611,463.1325611,83.03479598,0,581.2435719,0,0,265.3107178
205,0,1,1,Arab,422.52,2001.06,160.0848,160.0848,160.0848,160.0848,140.0742,140.0742,120.0636,100.053,100.053,120.0636,100.053,100.053,120.0636,80.0424,80.0424,160.0848,2964.179376,0,1690.379517,563.459839,563.459839,146.8801804,0,1028.161263,0,0,560.3608339
202,0,1,1,Arab,252.74,1170.42,93.6336,93.6336,93.6336,93.6336,81.9294,81.9294,70.2252,58.521,58.521,70.2252,58.521,58.521,70.2252,46.8168,46.8168,93.6336,1502.238073,0,501.0247132,250.5123566,501.0247132,249.6762901,0,1747.734031,0,0,327.7550534
3607,0,1,1,Arab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6504,0,1,1,Arab,68.6,308.71,27.50881188,27.50881188,24.45227723,24.45227723,24.45227723,24.45227723,21.39574257,18.33920792,18.33920792,18.33920792,18.33920792,15.28267327,12.22613861,9.16960396,9.16960396,15.28267327,2017.376413,0,400.830743,1202.492229,400.830743,13.2226983,0,92.5588881,0,0,90.05284657
1303,0,1,1,Arab,912.61,4106.74,369.6066,369.6066,328.5392,328.5392,328.5392,287.4718,287.4718,246.4044,246.4044,246.4044,205.337,205.337,164.2696,123.2022,123.2022,246.4044,2147.907735,292.8801861,585.7603722,390.5069148,683.3871009,195.3731611,0,1367.612128,0,0,1168.15398
6503,0,1,1,Arab,1156.05,5202.21,463.5632673,463.5632673,412.0562376,412.0562376,412.0562376,412.0562376,360.5492079,309.0421782,309.0421782,309.0421782,309.0421782,257.5351485,206.0281188,154.5210891,154.5210891,257.5351485,249.6722408,0,0,0,0,249.6722408,0,1747.705686,0,0,1517.520712
6505,0,1,1,Arab,2241.87,10088.43,898.9690099,898.9690099,799.0835644,799.0835644,799.0835644,799.0835644,699.1981188,599.3126733,599.3126733,599.3126733,599.3126733,499.4272277,399.5417822,299.6563366,299.6563366,499.4272277,1456.009129,0,600.4848795,272.9476725,218.358138,364.2184388,0,2549.529071,0,0,2942.864951
6701,0,1,1,Arab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313.448069,656.7240347,394.0344208,131.3448069,131.3448069,0,0,0,0,0,0
6703,0,1,1,Arab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4759.811637,2379.905818,1427.943491,475.9811637,475.9811637,0,0,0,0,0,0
6702,0,1,1,Arab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1434.846619,696.7090237,418.0254142,139.3418047,139.3418047,41.42857143,0,290,0,0,0
6610,0,1,1,Arab,248.12,1022.65,91.12722772,91.12722772,91.12722772,81.0019802,81.0019802,81.0019802,70.87673267,60.75148515,60.75148515,60.75148515,50.62623762,50.62623762,40.5009901,30.37574257,30.37574257,50.62623762,579.1948159,30.20861,60.41722,6.041722,18.125166,458.3603759,6.041722,3208.522631,0,0,292.8221584
6602,0,1,1,Arab,737.64,3094.26,275.7261386,275.7261386,275.7261386,245.089901,245.089901,245.089901,214.4536634,183.8174257,183.8174257,183.8174257,153.1811881,153.1811881,122.5449505,91.90871287,91.90871287,153.1811881,742.8512888,0,233.499942,71.846136,53.884602,383.6206088,0,2670.243595,0,40.98752254,885.9999921
6603,0,1,1,Arab,869.95,3639.57,324.3181188,324.3181188,324.3181188,288.2827723,288.2827723,288.2827723,252.2474257,216.2120792,216.2120792,216.2120792,180.1767327,180.1767327,144.1413861,108.1060396,108.1060396,180.1767327,594.5269942,0,275.3826725,84.73313,63.5498475,170.8613442,0,1196.02941,0,0,1042.142222
