TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt,schoolage,pensioner,Students,hh/pop
1717,920.3,651.4,1824,219.8,250.3,170.8,219.1,542.9,421.1,1146.3,94.5,5.8,45.8,146,11.1,17,1,330,192,61.82,0.357141119
1718,3159,1481.1,6261.2,754.5,859.1,586.4,752,1863.7,1445.4,5399.7,1252.3,429.3,5008.4,6689.9,11,17,1,660,0,159.82,0.2365573
1719,255.1,208.2,505.6,60.9,69.4,47.4,60.7,150.5,116.7,279.5,156.2,97.9,463.9,718,10.8,17,1,68.3,113,18.69,0.411770624
1720,986.9,1172.6,2968,357.7,407.2,278,356.5,883.5,685.1,667.8,103.2,59,233.9,396,10.8,17,1,0,0,0,0.395072983
1721,309,229.8,612.3,73.8,84,57.4,73.5,182.3,141.4,379.2,63.2,4.5,44.3,111.7,11.7,17,1,150.03,56.68,21.81,0.375333265
1722,309,0,612.3,73.8,84,57.4,73.5,182.3,141.4,379.2,77.8,5.5,54.5,137.6,11.4,17,1,150.03,56.68,21.81,0
1723,522,465.6,1034.6,124.7,142,96.9,124.3,308,238.8,650,14.9,4,119.4,138,11.1,17,1,142.5,197.5,36.85,0.45
1724,522,465.6,1034.6,124.7,142,96.9,124.3,308,238.8,650,14.9,4,119.4,138,11.2,17,1,142.5,197.5,36.85,0.45
1725,522,465.6,1034.6,124.7,142,96.9,124.3,308,238.8,650,14.9,4,119.4,138,11,17,1,142.5,197.5,36.85,0.45
1726,397.1,324.1,787.6,94.9,108.1,73.8,94.6,234.4,181.8,435.1,301.7,12.6,58.5,372.8,10.9,17,1,156,169.5,28.03,0.411487936
1727,794.2,648.2,1574.1,189.7,216,147.4,189.1,468.5,363.4,938.4,904.4,37.8,175.5,1117.7,10.8,17,1,249,339,56.07,0.411763917
1728,397.1,324.1,787.6,94.9,108.1,73.8,94.6,234.4,181.8,435.1,301.7,12.6,58.5,372.8,10.7,17,1,156,169.5,28.03,0.411487936
1729,464.3,421.7,920.2,110.9,126.3,86.2,110.5,273.9,212.4,499.4,26.7,16.7,79.3,122.8,10.7,17,1,96,244,33.99,0.458329646
1730,464.3,421.7,920.2,110.9,126.3,86.2,110.5,273.9,212.4,499.4,26.7,16.7,79.3,122.8,10.6,17,1,96,244,33.99,0.458329646
1731,446.8,221.4,885.6,106.7,121.5,82.9,106.4,263.6,204.4,558.1,30.8,17.6,69.8,118.2,10.6,17,1,190,90,32.72,0.25
1732,1294.2,801.6,2565.1,309.1,352,240.2,308.1,763.5,592.1,1713.6,74.5,46.7,221.1,342.2,10.5,17,1,500,325,94.76,0.3125
1733,644.5,495.3,1277.4,153.9,175.3,119.6,153.4,380.2,294.9,736.9,65.2,40.9,193.6,299.7,12.3,17,1,225,235,47.19,0.387752988
1734,729.8,560.9,1446.5,174.3,198.5,135.5,173.7,430.6,333.9,834.4,73.8,46.3,219.3,339.4,12.7,17,1,225,235,47.19,0.387752988
1735,729.8,560.9,1446.5,174.3,198.5,135.5,173.7,430.6,333.9,834.4,73.8,46.3,219.3,339.4,12.1,17,1,225,235,47.19,0.387752988
1736,1168.9,1017.1,2316.8,279.2,317.9,217,278.3,689.6,534.8,1269.6,67.2,42.1,199.7,309.1,11.7,17,1,280,540,75.58,0.439024876
1737,604.8,361.7,1198.7,144.5,164.5,112.3,144,356.8,276.7,707.4,93.5,58.6,277.6,429.6,11.3,17,1,106,232,39.11,0.301771008
1738,604.8,361.7,1198.7,144.5,164.5,112.3,144,356.8,276.7,707.4,125.8,78.8,373.6,578.2,10.9,17,1,106,232,39.11,0.301771008
1739,415.2,311.4,823,99.2,112.9,77.1,98.8,245,190,427.1,48.7,30.5,144.6,223.7,11,17,1,198,134,26.85,0.37837535
1740,207.6,155.7,411.5,49.6,56.5,38.5,49.4,122.5,95,213.6,87.3,54.7,259.4,401.5,10.7,17,1,60.6,67,13.42,0.37837535
1741,207.6,155.7,411.5,49.6,56.5,38.5,49.4,122.5,95,213.6,0,0,0,0,10.7,17,1,60.6,67,13.42,0.37837535
1742,207.6,155.7,411.5,49.6,56.5,38.5,49.4,122.5,95,213.6,48.7,30.5,144.6,223.7,10.4,17,1,60.6,67,13.42,0.37837535
1743,642,481.5,1272.5,153.3,174.6,119.2,152.8,378.8,293.7,660.4,150.5,94.3,447.1,691.9,11.5,17,1,60.6,67,13.42,0.37837535
1744,402.4,334.5,797.6,96.1,109.4,74.7,95.8,237.4,184.1,411.4,48.3,30.2,143.3,221.8,11.2,17,1,191,128,26.02,0.419349711
1745,603.6,501.7,1196.4,144.2,164.2,112.1,143.7,356.1,276.2,588.8,48.3,30.2,143.3,221.8,11.2,17,1,234,192,39.03,0.419354528
1746,402.4,334.5,797.6,96.1,109.4,74.7,95.8,237.4,184.1,411.4,48.3,30.2,143.3,221.8,10.8,17,1,191,128,26.02,0.419349711
1747,487.3,432.1,965.9,116.4,132.5,90.5,116,287.5,223,494.5,156.3,97.9,464.2,718.4,10.7,17,1,200,246,31.51,0.447362768
1748,487.3,432.1,965.9,116.4,132.5,90.5,116,287.5,223,494.5,28,17.6,83.3,128.9,10.4,17,1,200,246,31.51,0.447362768
1749,487.3,432.1,965.9,116.4,132.5,90.5,116,287.5,223,494.5,36.6,22.9,108.6,168,11.9,17,1,200,246,31.51,0.447362768
1750,607.4,430,1203.9,145.1,165.2,112.8,144.6,358.4,277.9,792.5,46.6,29.2,138.4,214.2,12.1,17,1,260,128,41.21,0.357144161
1751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,17,1,0,0,0,0
1801,0,0,0,0,0,0,0,0,0,0,1372.2,1414.6,3336.9,6123.3,10.9,18,1,0,0,0,0
1802,1371,1848,4712.4,546.4,635.2,450.8,617.8,1539.4,922.9,895.4,98.6,101.7,239.9,440.1,11.4,18,1,0,0,0,0.392155745
1803,772.8,788.6,1746.2,202.4,235.4,167,228.9,570.4,342,979.8,483.8,1077.2,2087.8,3648.6,11.5,18,1,205,420,79.35,0.451612903
1804,1498,0,3384.7,392.4,456.2,323.8,443.8,1105.7,662.9,2186.1,28.3,14.8,268.8,311.9,11.1,18,1,340,670,157.67,0
1805,3606.5,3339.8,8149.1,944.8,1098.4,779.5,1068.4,2662,1596,5280.5,135.7,190.3,691.7,1017.6,11,18,1,1310,890,358.34,0.409835714
1806,1439.2,914.6,3252,377,438.3,311.1,426.4,1062.3,636.9,2200.7,29.1,37,458.4,524.4,11.7,18,1,650,270,159.21,0.281250804
1807,1745,1250.2,3942.9,457.1,531.4,377.2,517,1288,772.2,2262.7,43.2,19.6,142.8,205.6,11.4,18,1,360,570,179.17,0.317074286
1808,1285.3,1732.5,4417.9,512.2,595.5,422.6,579.2,1443.1,865.2,839.4,113.5,45.1,430.8,589.5,14.4,18,1,0,0,0,0.392155745
1809,0,0,0,0,0,0,0,0,0,0,796.9,405,869.7,2071.7,12.5,18,1,0,0,0,0
1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,18,1,0,0,0,0
1811,0,0,0,0,0,0,0,0,0,0,87.6,57.5,104,249,10.6,18,1,0,0,0,0
1812,0,0,0,0,0,0,0,0,0,0,515.7,338.7,612.5,1466.7,10.6,18,1,0,0,0,0
1813,0,0,0,0,0,0,0,0,0,0,793.4,521.1,942.3,2256.4,10.5,18,1,0,0,0,0
1814,0,0,0,0,0,0,0,0,0,0,515.7,338.7,612.5,1466.7,10.4,18,1,0,0,0,0
1815,1030,1388.3,3540.3,410.5,477.2,338.7,464.2,1156.5,693.3,672.6,315.6,505.2,976.6,1797.3,10.4,18,1,0,0,0,0.392155745
1816,1208.6,1233.4,2731.1,316.6,368.1,261.3,358.1,892.1,534.9,1532.4,337.2,750.9,1455.3,2543.3,10.4,18,1,205,420,79.35,0.451612903
1817,1760.1,1215.2,3977.1,461.1,536,380.4,521.4,1299.1,778.9,2544.5,17.6,22.4,278.3,318.4,10.3,18,1,790,310,189.92,0.305555256
1901,2458.3,1562.1,6421.8,872.5,1002.4,696.1,985.3,2169.3,696.1,3950,203.5,182.6,554.8,941,10.3,19,2,2305.9,179.8,115.01,0.243255699
1902,2889.7,1816.8,9464,1767.8,1928.4,1205,1040.5,2482.7,1039.6,5696.8,155.5,162.8,583.4,901.7,11.9,19,2,2380,190,105,0.191966206
1903,2049.2,1140.2,5375.5,748.8,861,598.8,814.9,1790.8,561.2,3291.7,572.4,218.8,530.8,1321.9,11.3,19,2,1285.92,154.24,544,0.212111884
1904,3466,2248.6,10343.8,1434.9,1655.8,1159.2,1661.2,3342.4,1090.2,6284.5,438.9,264.7,927,1630.6,11,19,2,2540,320,205,0.217391134
1905,2362.3,1494.1,6973.7,887.7,1070.5,809.4,1080.5,2425.4,700.2,4299.4,610,142,499.3,1251.4,10.9,19,2,1017.5,115,59.5,0.214250326
