year,code,MahozNum,population,employment
base,2017,2,1349233.9900000002,387421.1000000001
base,2017,3,972556.6599999998,374518.9000000005
Max,2040,2,2120264.100000001,782166.7000000005
Max,2040,3,1538929.9999999998,691849.1999999996
Reg,2050,2,2120855.199999999,630137.3000000003
Reg,2050,3,1513642.0,553352.4
Max,2050,2,2518369.4000000013,969153.3000000006
Max,2050,3,1836973.8999999997,849408.3999999997
