TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt
223,1309.5,838.7,3115.1,456.4,508.3,331.9,394.1,921.9,502.5,1799.6,108.5,60.2,286.5,455.2,10.9,2,2
224,0,0,0,0,0,0,0,0,0,0,200.3,111.2,529.1,840.6,11,2,2
225,3507.8,2216.2,8344.3,1222.5,1361.4,889.2,1055.8,2469.3,1346,5025,1093.5,607.3,2888.7,4589.3,10.7,2,2
226,0,0,0,0,0,0,0,0,0,0,330.2,357.5,326,1013.7,10.7,2,2
227,0,0,0,0,0,0,0,0,0,0,508.2,550.2,501.7,1560,10.4,2,2
228,0,0,0,0,0,0,0,0,0,0,508.2,550.2,501.7,1560,11.5,2,2
229,429.4,577.8,1312.5,229,235.4,127.2,153.2,367.9,199.9,742.6,102.4,42.7,117.4,262.5,11.2,2,2
230,1839.5,978.9,4132.9,395.1,503.3,413.9,669.9,1582.2,568.5,2067.3,335.8,67.9,314.2,717.9,11.2,2,2
231,3369.8,1682.5,7571.2,723.8,922,758.2,1227.3,2898.4,1041.5,4121.5,460.1,93,430.5,983.7,10.8,2,2
232,3032.3,1260.8,4928.8,409.3,525,436.1,768.5,2042.9,747,3298,311.9,308.8,611.6,1232.2,10.7,2,2
233,1849.3,1007.9,4157.8,433.1,545.5,441.3,625.5,1590.3,522,2281.8,135.8,195.2,446.2,777.2,10.4,2,2
234,0,0,0,0,0,0,0,0,0,0,62.3,23.5,64.2,150,11.9,2,2
235,2914.1,1385.9,6552.1,682.6,859.7,695.4,985.6,2506.1,822.7,3595.5,362.2,520.5,1189.9,2072.6,12.1,2,2
236,3300,1854.8,7418.8,772.9,973.4,787.4,1116,2837.6,931.5,4071.7,55.3,79.4,181.5,316.2,11.7,2,2
237,674.1,1454.6,5287.1,550.8,693.7,561.2,795.3,2022.3,663.8,3038.4,236.2,89.3,243.4,568.9,10.9,2,2
