TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt
1606,1568.6,1118.1,2757.9,348.9,387,250.7,332.9,792.3,646.2,1581.5,49.6,82.8,1069.8,1202.3,28.8,16,1
1607,5544.4,4068.8,9748.1,1233.2,1367.9,886,1176.5,2800.3,2284.1,5620.4,798.2,275.6,1342.1,2415.9,24.4,16,1
1608,2095.2,2384.7,3683.8,466,516.9,334.8,444.6,1058.2,863.2,1947.2,421.8,823,3578.3,4823.2,27,16,1
1609,1184.4,825.1,2082.3,263.4,292.2,189.3,251.3,598.2,487.9,1165,106,119.7,1319.2,1544.9,25.6,16,1
1610,4737.5,3300.3,8329.4,1053.7,1168.8,757.1,1005.3,2392.8,1951.7,4287,45.3,51.5,565.3,662.1,28.5,16,1
1611,3632.9,3193.7,6387.3,808,896.3,580.6,770.9,1834.9,1496.6,3693.9,377.8,247.9,1847.6,2473.4,25,16,1
1612,3254.9,2030.7,5722.8,724,803.1,520.2,690.7,1644,1340.9,3338.7,102.4,54.9,509.4,666.6,22.1,16,1
1613,3160.4,2682.5,5556.6,702.9,779.7,505.1,670.7,1596.2,1302,3551.8,88.6,47.4,440.6,576.6,24.6,16,1
1614,3716.9,2359.9,6535,826.7,917,594,788.7,1877.3,1531.2,3835.9,340.7,46.4,632.6,1019.7,25.1,16,1
1615,2582.9,1651.4,4541.3,574.5,637.3,412.8,548.1,1304.6,1064.1,2397.5,104.8,153,1473.5,1731.3,25.3,16,1
1616,4232.2,3307.1,7441,941.3,1044.2,676.3,898.1,2137.6,1743.5,3899.4,355.7,407.6,6420.9,7184.1,24.6,16,1
1617,2678.4,1700.5,4709.1,595.7,660.8,428,568.4,1352.8,1103.4,2846,1012.8,462.3,2884.4,4359.5,28.4,16,1
1618,3098.9,2235.3,5448.5,689.3,764.6,495.2,657.6,1565.2,1276.7,2965.6,305.2,139.2,873,1317.3,27.4,16,1
1619,3137.4,2173,5516.2,697.8,774.1,501.4,665.8,1584.6,1292.5,3151.7,115,815.9,1014.1,1945,26.3,16,1
1620,2349.5,1457.9,4130.8,522.6,579.7,375.5,498.6,1186.6,967.9,2514.3,186.5,42.6,331.5,560.6,26.6,16,1
1621,1338.6,920.9,2353.4,297.7,330.2,213.9,284,676.1,551.4,1271,259,26.3,227.5,513.2,27,16,1
1622,2453.7,1589.4,4314,545.7,605.4,392.1,520.7,1239.3,1010.8,2112,416.3,20,155.8,592.2,27.4,16,1
1623,3218,2046.5,5657.9,715.8,793.9,514.3,682.9,1625.3,1325.7,3441.2,557.9,178.3,712.8,1449,25.1,16,1
1624,358.3,254.9,630,79.7,88.4,57.3,76,181,147.6,586.8,883.8,642.4,6461.7,7988,20.7,16,1
1625,1408.6,874.1,2476.6,313.3,347.5,225.1,298.9,711.4,580.3,1431.8,88.3,9.4,106.8,204.6,18.7,16,1
1626,870.9,764.8,1832.5,231.8,257.2,166.6,221.2,526.4,429.4,1068.5,80.7,61,409.9,551.5,20.6,16,1
1627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,16,1
1628,509,894.8,2160,273.3,303.1,196.3,260.7,620.5,506.1,1229.2,44.1,33.4,224.3,301.8,23,16,1
1629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3,16,1
1630,2499,1997.1,4393.6,555.8,616.5,399.4,530.3,1262.1,1029.5,2521.8,503.3,703.5,2676.1,3883,28.9,16,1
1631,1343.5,1049.8,2362,298.8,331.5,214.7,285.1,678.5,553.5,1185.5,33.2,27,1302.2,1362.3,27.1,16,1
1632,1355,1058.8,2382.3,301.4,334.3,216.5,287.5,684.4,558.2,1280.7,28.3,19.4,252.1,299.8,25.1,16,1
1633,586.6,458.4,1031.4,130.5,144.7,93.7,124.5,296.3,241.7,541.9,25,15.7,341.7,382.4,27.6,16,1
1634,443.6,356.5,779.2,98.6,109.3,70.8,94,223.8,182.6,450.1,18.9,0,79.5,98.4,26.8,16,1
1635,1449.9,886.6,1663.2,210.4,233.4,151.2,200.7,477.8,389.7,1395.9,0,18.8,146.4,161.4,30,16,1
1636,1449.9,886.6,1663.2,210.4,233.4,151.2,200.7,477.8,389.7,1395.9,23.6,6.1,131.8,161.4,23.7,16,1
1637,878.3,771.2,1848,233.8,259.3,168,223,530.9,433,1077.5,0,0,0,0,26.8,16,1
1638,690.3,606.2,1452.5,183.7,203.8,132,175.3,417.3,340.3,846.9,0,0,0,0,28.8,16,1
1639,1602.6,1102.6,2817.6,356.4,395.4,256.1,340.1,809.4,660.2,1521.7,250.1,25.4,219.7,495.5,20.4,16,1
1640,1169.6,1027.1,2461,311.3,345.3,223.7,297,707,576.6,1434.9,0,0,0,0,17.7,16,1
1641,1274.5,779.4,1462,184.9,205.2,132.9,176.5,420,342.6,1227,82.9,21.5,463.5,567.7,16.3,16,1
1701,384.8,253.9,676.4,85.6,94.9,61.5,81.6,194.3,158.5,418.9,93.2,6.6,65.3,164.9,15.4,17,1
1702,690.6,546.4,1214.3,153.6,170.4,110.4,146.6,348.8,284.5,762.9,18.3,4.9,146.7,169.6,14.9,17,1
1703,1050.8,760.7,1847.4,233.7,259.2,167.9,223,530.7,432.9,1101.4,1111.4,46.4,215.6,1373.5,13.9,17,1
1704,289.1,233,508.3,64.3,71.3,46.2,61.4,146,119.1,285.6,50.7,66.3,31.7,148.7,14.1,17,1
1705,1791.5,984.3,3149.9,398.5,442,286.3,380.2,904.9,738.1,2104.3,9.2,4.8,96.6,110.6,13.6,17,1
1706,892.2,608.3,1568.7,198.4,220.1,142.6,189.3,450.6,367.6,904.8,31,149.2,205.1,385.4,14.6,17,1
1707,1429,1103,2512.4,317.8,352.6,228.4,303.2,721.7,588.7,1376.8,154.3,56.6,300.5,511.4,16.2,17,1
1708,369.7,196.1,650,82.2,91.2,59.1,78.4,186.7,152.3,396.8,338.3,139.2,254.2,731.7,11.8,17,1
1709,0,0,0,0,0,0,0,0,0,0,0,1229.9,1043.7,2273.5,11.9,17,1
1710,1933.7,1335.7,3399.8,430.1,477.1,309,410.3,976.7,796.6,2008.1,135.1,55.6,101.6,292.3,11.5,17,1
1711,1556.9,1064.5,2737.4,346.3,384.1,248.8,330.4,786.4,641.4,1551.2,0,107.4,319.7,427.1,11.5,17,1
1712,1015.2,675.4,1784.9,225.8,250.5,162.2,215.4,512.7,418.2,1010.1,258.4,190.6,567.2,1016.2,11.1,17,1
1713,738,544.1,1297.4,164.1,182.1,117.9,156.6,372.7,304,638.5,32.1,125.9,345.8,503.8,11.4,17,1
1714,1191.5,937.2,2094.9,265,294,190.4,252.8,601.8,490.9,990.8,19.5,34.9,327.1,381.6,11.3,17,1
1715,2786.9,2694.9,4899.8,619.8,687.6,445.4,591.4,1407.5,1148.1,3186.5,33.1,66,589,688.1,11.3,17,1
1716,1457.4,1153.1,2562.4,324.2,359.6,232.9,309.3,736.1,600.4,1611.3,251,108.4,231.7,591.2,11.4,17,1
1717,1252.6,786.5,2202.2,278.6,309,200.2,265.8,632.6,516,1384,119.4,7.3,57.9,184.6,11.1,17,1
1718,5279.3,2195.7,9281.9,1174.2,1302.5,843.7,1120.3,2666.4,2174.9,8004.7,1462.9,501.4,5850.6,7814.9,11,17,1
1719,289.2,209.4,508.5,64.3,71.4,46.2,61.4,146.1,119.1,281.1,164.5,103.1,488.5,756.1,10.8,17,1
1720,666.9,1172.6,2968,375.5,416.5,269.8,358.2,852.6,695.4,1797.4,107.6,62.1,245,414.7,10.8,17,1
1721,384.8,253.9,676.4,85.6,94.9,61.5,81.6,194.3,158.5,418.9,73.1,5.2,51.2,129.2,11.7,17,1
1722,384.8,338.2,676.4,85.6,94.9,61.5,81.6,194.3,158.5,418.9,93.2,6.6,65.3,164.9,11.4,17,1
1723,650,514.3,1142.8,144.6,160.4,103.9,137.9,328.3,267.8,718,17.2,4.6,138.1,159.7,11.1,17,1
1724,650,514.3,1142.8,144.6,160.4,103.9,137.9,328.3,267.8,718,17.2,4.6,138.1,159.7,11.2,17,1
1725,650,514.3,1142.8,144.6,160.4,103.9,137.9,328.3,267.8,718,17.2,4.6,138.1,159.7,11,17,1
1726,494.5,358,870,110.1,122.1,79.1,105,249.9,203.8,480.6,348.9,14.6,67.7,431.2,10.9,17,1
1727,988.9,716,1738.8,220,244,158,209.9,499.5,407.4,1036.6,1046,43.7,202.9,1292.7,10.8,17,1
1728,494.5,358,870,110.1,122.1,79.1,105,249.9,203.8,480.6,348.9,14.6,67.7,431.2,10.7,17,1
1729,578.2,465.9,1016.6,128.6,142.7,92.4,122.7,292,238.2,551.7,30.9,19.4,91.8,142,10.7,17,1
1730,578.2,465.9,1016.6,128.6,142.7,92.4,122.7,292,238.2,551.7,30.9,19.4,91.8,142,10.6,17,1
1731,556.5,244.6,978.4,123.8,137.3,88.9,118.1,281.1,229.2,616.6,35.5,20.5,80.7,136.7,10.6,17,1
