Year,Scenario,TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt,schoolage,pensioner,Students
2017,2017,917,0,0,0,0,0,0,0,0,0,0,0,30,25,55,11.6,9,1,0,0,0
2017,2017,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,9,1,0,0,0
2017,2017,919,0,0,0,0,0,0,0,0,0,0,0,30,25,55,10.8,9,1,0,0,0
2017,2017,920,0,0,0,0,0,0,0,0,0,0,126,10.3,156.4,292.6,10.7,9,1,0,0,0
2017,2017,921,1557.68,1476.36,4640,830,540,360,720,1530,660,2780.18,180.2,291.7,452,923.8,10.6,9,1,890,660,146.04
2017,2017,922,0,0,0,0,0,0,0,0,0,0,0,53,147,200,10.8,9,1,0,0,0
2017,2017,923,0,0,0,0,0,0,0,0,0,0,0,53,147,200,10.6,9,1,0,0,0
2017,2017,924,0,0,0,0,0,0,0,0,0,0,0,53,147,200,10.7,9,1,0,0,0
2017,2017,925,0,0,0,0,0,0,0,0,0,0,575.1,134.7,160.6,870.4,10.8,9,1,0,0,0
2017,2017,1001,121,107.03,440,110,70,30,70,130,30,260,240.73,105.9,388.5,735.2,10.9,10,2,120,30,0
2017,2017,1002,2466,2065.14,8490,1930,1820,800,1250,2350,330,5248.32,93.58,47.2,153.8,294.6,11,10,2,2750,330,122
2017,2017,1003,2057.21,1929.87,7492.45,1739.25,1859.62,784.53,1062.64,1813.96,228.3,4532.44,93.58,47.2,153.8,294.6,11.2,10,2,2660.75,228.3,136.57
2017,2017,1004,685.74,454.09,2497.48,579.75,619.87,261.51,354.21,604.65,76.1,1510.81,93.58,47.2,153.8,294.6,11,10,2,886.92,76.1,45.52
2017,2017,1005,686,322.7,1720,390,310,140,180,670,50,1123.22,240.73,105.9,388.5,735.2,10.9,10,2,530,50,55
2017,2017,1006,2213.06,1816.35,8060.06,1871.01,2000.5,843.96,1143.14,1951.38,245.6,4875.81,93.58,47.2,153.8,294.6,10.7,10,2,2862.33,245.6,146.91
2017,2017,1101,505,715.57,1720,280,210,140,250,570,290,1045.7,304.7,27.8,324.9,657.4,10.7,11,1,340,290,40
2017,2017,1102,1441,1110.5,3890,690,880,320,410,1400,170,2460,101.6,31.7,136,269.3,11.3,11,1,1270,170,123
2017,2017,1103,733,556.25,2670,580,620,260,350,740,100,1436.64,32,0,60.4,92.4,11.1,11,1,910,100,32
2017,2017,1104,719,915.56,5150,1605,1155,460,680,1040,210,2584.51,82.57,45.8,427.7,556.1,11.3,11,1,1855,210,49.5
2017,2017,1105,338,735,1470,240,160,120,230,480,250,900,361,66.3,670.4,1097.7,11,11,1,270,250,41
2017,2017,1106,424,481.85,1560,260,380,80,250,440,130,801.89,82.57,45.8,427.7,556.1,10.5,11,1,500,130,0
2017,2017,1107,719,915.56,5150,1605,1155,460,680,1040,210,2584.51,82.57,45.8,427.7,556.1,11.3,11,1,1855,210,49.5
2017,2017,1201,0,0,0,0,0,0,0,0,0,0,713.2,276.1,206.1,1195.4,10.7,12,1,0,0,0
2017,2017,1202,0,0,0,0,0,0,0,0,0,0,1030.9,373.4,266.5,1670.8,11.3,12,1,0,0,0
2017,2017,1203,0,0,0,0,0,0,0,0,0,0,600.5,609.1,1714.9,2924.5,11.1,12,1,0,0,0
2017,2017,1204,0,0,0,0,0,0,0,0,0,0,687,248.6,175.8,1111.4,10.9,12,1,0,0,0
2017,2017,1205,0,0,0,0,0,0,0,0,0,0,156.7,0,0,156.7,11.2,12,1,0,0,0
2017,2017,1206,0,0,0,0,0,0,0,0,0,0,548.4,0,0,548.4,11.1,12,1,0,0,0
2017,2017,1207,0,0,0,0,0,0,0,0,0,0,687,248.6,175.8,1111.4,11.5,12,1,0,0,0
2017,2017,1208,0,0,0,0,0,0,0,0,0,0,1311.6,651.2,274.7,2237.5,11.5,12,1,0,0,0
2017,2017,1209,0,0,0,0,0,0,0,0,0,0,307.3,149,64.7,521,10.9,12,1,0,0,0
2017,2017,1210,0,0,0,0,0,0,0,0,0,0,174.75,86.8,36.7,298.2,11.8,12,1,0,0,0
2017,2017,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1,12,1,0,0,0
2017,2017,1212,0,0,0,0,0,0,0,0,0,0,313.4,0,0,313.4,15,12,1,0,0,0
2017,2017,1213,0,0,0,0,0,0,0,0,0,0,78.3,0,0,78.3,15.5,12,1,0,0,0
2017,2017,1214,0,0,0,0,0,0,0,0,0,0,755.9,87.8,90.2,933.9,15.1,12,1,0,0,0
2017,2017,1215,0,0,0,0,0,0,0,0,0,0,902.4,0,83.9,986.3,16.1,12,1,0,0,0
2017,2017,1216,0,0,0,0,0,0,0,0,0,0,374.9,43.6,44.4,462.9,15.9,12,1,0,0,0
2017,2017,1217,0,0,0,0,0,0,0,0,0,0,627.9,72.8,74.2,774.9,14.3,12,1,0,0,0
2017,2017,1218,20.01,0,50,0,0,0,0,0,40,0,36.7,141.7,47.6,226,17.9,12,1,0,40,1.88
2017,2017,1219,0,0,0,0,0,0,0,0,40,0,204.2,807.4,262.1,1273.7,17.9,12,1,0,40,0
2017,2017,1220,0,0,0,0,0,0,0,0,40,0,930.2,849.9,581.6,2361.7,19,12,1,0,40,0
2017,2017,1221,0,0,0,0,0,0,0,0,0,0,630.2,449.8,165.6,1245.6,19.5,12,1,0,0,0
