"Scenario","year","supertaz","hh_total","pop","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75up","emp_tot","indus","com_hotel","business","public","education","agri","student","univ","UO_Hi_Ed","pop_emp_employed"
"BASE",2020,4,54679.4305,158498.3537,14986.2712,14082.3738,12648.0170,11740.3023,10787.0367,10398.9913,10427.5703,10108.2198,8950.7629,8130.6929,6789.2994,6135.2482,6969.9565,7428.7072,6828.6175,11029.9105,52541.8058,1630.2627,21163.9992,14624.0686,8534.7488,6588.7266,0.0000,42211.2362,6047.0000,3058.0000,65754.3598
"BASE",2020,5,42060.9073,117465.8927,12550.2281,10553.1866,8997.2074,11585.5183,10475.8053,8750.7908,7032.1503,6481.8239,5384.8654,5038.4509,4558.1763,4542.3369,4510.7928,4440.2488,4228.1659,8336.1452,43458.9117,0.0000,12391.2399,11609.4652,10983.0785,8428.5709,46.5572,39616.9961,17234.0000,9120.5049,44866.8807
"BASE",2020,6,48982.2275,180645.5169,25792.6523,21818.9321,20677.7604,22774.1406,17864.3150,11960.9531,9032.7734,8186.6490,6646.2658,5633.5616,5429.8833,5353.5834,5305.0895,4663.7537,3835.6001,5669.6034,58109.7330,1111.6830,11886.9194,23819.7077,5176.2248,16115.1981,0.0000,93404.1369,7385.0000,32908.6398,42154.8448
"BASE",2020,7,52551.8550,239779.3816,31128.6144,28619.9954,26370.6766,23531.6829,21119.4119,19316.8695,15943.2624,13703.2114,12053.6496,10731.3074,8993.7240,8081.3780,6505.0803,4907.5465,3750.6316,5022.3396,40843.3864,3695.7468,15011.6672,4639.3633,5338.7088,11831.2509,326.6494,79189.2564,3150.0000,2920.4165,62333.3884
"BASE",2020,8,7705.0000,25627.0000,1987.0000,1918.0000,1914.0000,1816.0000,1797.0000,1603.0000,1534.0000,1544.0000,1436.0000,1457.0000,1419.0000,1400.0000,1441.0000,1435.0000,1298.0000,1628.0000,5302.9371,0.0000,2519.3433,1259.6246,600.4006,923.5686,0.0000,6401.9802,0.0000,182.0000,11892.4617
"BASE",2020,9,13651.6269,49318.4249,5457.2641,5295.2102,4937.3719,4691.9227,3933.5273,3028.6891,3233.1859,3238.6891,2925.4195,2728.2937,2371.0062,1901.9164,1670.7727,1387.9344,1016.6648,1500.5570,8092.3836,0.0000,3740.9953,1328.1715,864.9668,2158.2499,0.0000,14743.7493,0.0000,1282.0000,17569.8687
"BAU",2025,1,51556.7735,170258.1596,20999.0249,17472.9575,15017.3702,20707.3908,16483.1622,12637.5329,10286.0946,8701.2566,7512.3449,6482.2595,5865.4694,5319.1358,5054.9255,4824.2399,4398.2084,8496.7866,104441.4791,554.4519,37594.9440,28364.3929,20935.4887,16992.2016,0.0000,72941.7460,20072.5224,31163.0029,48538.4081
"BAU",2025,10,40842.9337,209945.9018,34567.0521,30796.5541,24813.1792,20681.6144,16121.6907,12857.1466,12447.9839,11248.2233,10405.6944,7797.7917,6113.1006,4977.7791,4311.6220,4118.9668,3394.2681,5293.2347,43540.3980,5493.7767,9293.1686,8080.5914,4982.1527,15042.5203,648.1884,103055.3212,0.0000,15946.7606,57487.7229
"BAU",2025,11,51813.9682,242812.8290,32783.5254,30898.0427,28737.9426,25999.0009,21304.4210,14501.2400,12276.9463,12616.9392,12861.2094,12450.4807,10374.5746,7953.1104,6663.8986,5165.8894,3643.5868,4582.0212,48634.4346,1763.2570,16701.6906,10408.5295,3958.1710,15694.2065,108.5801,107052.5110,0.0000,16812.0505,79489.1995
"BAU",2025,12,9839.6922,274151.9002,5383.8596,4747.5081,4566.0567,4322.3268,3449.1135,3476.0622,2736.9035,2526.4042,2271.9405,2063.6496,1874.5723,1541.6826,1432.2790,1356.6354,1170.5074,1704.0899,7082.9090,0.0000,2524.6944,1100.9118,971.8980,2485.4048,0.0000,17123.5926,0.0000,1980.5876,16323.6083
