"Scenario","year","nafanum","hh_total","pop","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75up","emp_tot","indus","com_hotel","business","public","education","agri","student","univ","UO_Hi_Ed","pop_emp_employed"
"BAU",2040,2,475634.4028,1922290.0111,225549.3837,203865.0404,186627.6379,207425.2688,172572.5158,144018.2473,120081.1525,107417.7211,94329.2494,82666.1115,71413.5299,65082.5661,56605.2445,49587.4209,40417.6444,93260.0038,573263.1214,24156.6684,168384.0186,160578.6053,90613.7753,128412.1924,1117.8613,718345.6227,108024.9540,170438.4852,575998.8573
"BAU",2045,10,50013.6642,199657.3895,15135.6098,18130.2142,19105.9850,17376.4292,16811.6337,11961.4667,10107.9073,10838.3715,12130.5440,13745.0268,13241.2799,11413.8268,9923.5797,7796.3632,5251.0762,6688.0756,64904.2395,5303.0917,27498.9604,16671.1336,4790.1767,10340.8400,300.0371,72385.8801,0.0000,0.0000,91564.1670
"BAU",2045,16,203259.0963,4936373.2484,144337.3433,129806.9288,112264.9287,103492.8797,90012.7386,72314.4041,64040.8021,55550.3624,44957.9386,37216.2260,29770.9824,27232.8408,24129.3707,19477.5209,14787.6152,26084.0588,164002.9440,14302.4596,36850.1013,23897.1076,15118.3159,72842.8127,992.1468,454375.2800,30912.2310,76322.1665,309052.6782
"BAU",2045,2,513426.0210,2130701.3111,247259.5768,223336.0533,202881.3726,227936.8375,193622.7566,156963.9051,133586.5226,117049.2313,106056.3228,93642.1143,82136.2633,70782.2045,64252.7423,55523.2984,47892.9703,106334.9307,635045.8125,27561.2603,183577.8290,180973.0021,100170.9479,141624.7001,1138.0732,791394.9945,119896.0257,195053.3246,644031.5295
"BAU",2050,10,50586.3283,200562.1790,14556.3458,17410.0402,18726.4405,17480.6550,17427.5067,12432.4070,10024.9664,10447.3497,11789.2919,13643.4250,13532.2602,11981.9135,10532.7074,8172.0452,5429.2681,6975.5565,71819.4629,6503.3030,31165.6678,18338.5209,5140.4400,10340.8400,330.6912,72385.8801,0.0000,0.0000,92731.6243
"BAU",2050,16,228806.1296,5308553.2846,161217.0246,146173.9512,128850.2218,119701.4574,103023.1879,83007.6052,68521.5765,63825.8810,54632.6703,43813.1292,36133.2071,28657.2302,25752.3024,22344.7525,17700.9057,31275.0007,184502.3588,16470.5866,41016.3490,26474.8090,16877.7528,82582.6742,1080.1873,516388.1211,34354.7408,90873.7886,350856.5802
"BAU",2050,2,559881.4268,2351813.8849,269531.2860,244389.8324,222001.6561,248939.6734,211322.9142,175058.3642,145232.1270,129985.7651,115385.5741,105265.3384,93005.2992,81324.8443,69785.2238,62841.4609,53779.6499,122445.7551,707097.9685,32173.2506,202506.7896,204155.6675,112163.8339,154902.3581,1196.0688,862508.4555,133248.1273,221859.2512,719245.5946
"IPLAN",2025,10,31821.0000,129248.3459,10837.8951,13024.4059,13116.4369,11207.7446,10016.7890,7074.3777,6750.0079,7722.6774,8488.6813,9160.9068,8201.0223,6559.9531,5518.5277,4500.6953,3151.4729,3916.7519,33148.9484,1696.4975,13369.9447,8893.1874,2699.1281,6284.0853,206.1055,43988.5969,0.0000,0.0000,58066.2901
"IPLAN",2025,16,114259.8701,3549744.9514,76028.0893,68784.0528,66401.0376,61328.8373,46457.3171,37010.7993,28027.2114,28068.0188,26468.6817,22760.1520,18519.8514,13840.0975,11687.5872,10327.9487,8182.2932,10426.0062,92829.1600,7744.1626,21516.6789,13989.6979,8749.0198,40290.0146,539.5863,248272.9614,18853.7139,35448.4937,166923.8239
"IPLAN",2025,2,355346.2641,1365369.2663,170722.4456,149543.7853,135027.1480,143866.5317,125175.8951,103487.1223,85403.0163,72572.4660,65811.7345,57230.2317,51234.6482,43323.7850,39892.8031,35606.9785,30799.2091,54520.0161,394684.7842,13737.5529,122662.5935,100320.9041,63738.3559,93284.3161,941.0617,529939.9662,73125.9213,100128.2107,402463.8985
"IPLAN",2030,10,36361.0000,148312.3459,12723.9970,15301.5758,15257.9694,12849.5669,11254.7372,7932.8909,7802.7663,9057.1016,9916.6010,10584.8672,9308.1562,7298.3733,6082.1272,5013.4925,3547.7899,4380.3335,40081.9246,2351.8537,16326.1257,10652.4468,3209.2145,7318.6113,223.6727,51230.2788,0.0000,0.0000,66297.0363
"IPLAN",2030,16,123946.2944,3857548.8343,85312.9753,75398.7312,66633.6863,68436.0843,58196.7591,41211.8736,33447.3101,27784.0887,27104.2924,25162.3890,21605.5618,17369.1499,12750.8879,10487.2155,8969.3309,14572.3112,100476.4881,8493.5770,23146.0796,15031.0253,9366.6881,43852.9511,586.1670,269206.2341,21071.3793,42050.2930,184948.2443
"IPLAN",2030,2,386169.1531,1509965.5929,183113.2776,166617.1920,147158.1110,160486.4100,135872.6809,113833.4111,94743.8867,81987.5739,70560.2747,64602.5455,56490.3686,50400.4050,42376.5593,38499.5122,33628.8991,68362.4338,438358.1306,15928.0459,134581.6016,114469.1875,70279.9169,102127.8661,971.5125,577685.9472,81727.3472,116932.5783,445669.2445
"IPLAN",2035,10,43401.0000,177876.3459,15649.9013,18834.1733,18579.7141,15395.6275,13173.6997,9263.6211,9435.5543,11127.1624,12131.5856,12793.3597,11024.7231,8442.7151,6955.2887,5808.2102,4162.1548,5098.8550,48915.3996,3131.0784,19936.6724,12829.1028,3847.1958,8927.1351,244.2151,62489.9457,0.0000,0.0000,79059.9419
"IPLAN",2035,16,135625.8437,4159486.3314,95929.4190,84350.9854,73359.2009,69989.1075,65642.5714,50298.4105,37786.3296,32645.3444,27019.4111,25822.1389,23937.0496,20254.9921,16028.4134,11492.1580,9216.4540,17502.9531,110230.1907,9821.0866,25152.3469,16397.7028,10159.5517,48063.5356,635.9670,294176.5997,23519.6220,49746.1712,206689.1794
"IPLAN",2035,2,417059.7345,1656249.7134,194730.3810,178358.1521,163538.9982,175871.2649,150485.5319,122698.3427,104174.7422,90858.2513,79696.5088,69172.9867,63540.9951,55550.4326,49307.2416,41035.0798,36484.6423,79440.1878,486851.5128,18984.8346,147357.7843,130801.3101,77715.2786,110990.1631,1002.1420,623872.5527,91223.0893,135933.3677,493468.4820
"IPLAN",2040,10,49441.0000,203240.3459,18159.8846,21864.5998,21429.3738,17579.9928,14820.2566,10405.4644,10836.3304,12902.9685,14031.7443,14688.0393,12497.5169,9424.6883,7704.6254,6490.1597,4689.3006,5715.4006,56798.3855,3895.2323,23215.8300,14731.1761,4385.6918,10306.0598,264.3955,72142.4187,0.0000,0.0000,90009.9838
"IPLAN",2040,16,147665.1652,4454403.0272,106410.5910,94203.6420,81601.8379,77007.6246,67575.6900,56638.3300,45199.7122,36841.9257,31336.7927,25755.1948,24531.0448,22423.1079,18636.1578,14436.3493,10121.5440,19869.4150,121166.7376,11270.4999,27219.1057,17839.7432,10994.0257,53154.0087,689.3544,326518.7030,25346.3761,56599.2383,229616.7231
"IPLAN",2040,2,443600.1575,1793008.2170,206738.1021,187917.1871,173752.2702,193374.2639,160973.2767,133326.3425,110398.2892,99004.5103,87631.8308,77599.9444,67641.4802,62041.0946,54143.9216,47607.2646,38943.5612,90543.6043,531556.1991,21992.1426,158001.2234,147537.3230,84559.4246,118455.2133,1010.8721,664491.4084,98308.3286,151536.3492,537414.1913
"IPLAN",2045,10,50013.6642,199657.3895,15135.6098,18130.2142,19105.9850,17376.4292,16811.6337,11961.4667,10107.9073,10838.3715,12130.5440,13745.0268,13241.2799,11413.8268,9923.5797,7796.3632,5251.0762,6688.0756,60296.7191,4481.6010,25060.2861,15592.7997,4575.6668,10306.0598,280.3057,72142.4187,0.0000,0.0000,91564.1670
"IPLAN",2045,16,169630.3538,4750433.4114,116053.7864,104261.3116,90767.9451,85332.9380,74827.4190,58798.1611,50848.9312,43456.8265,35265.1288,29612.9869,24541.9404,23068.5374,20747.4250,16818.3945,12748.4885,22386.8838,137001.2094,12593.7905,30930.0918,20280.5226,12505.6959,59877.9156,813.1928,369640.2487,27535.8000,64231.9088,250558.5767
"IPLAN",2045,2,469017.7921,1943407.2983,221490.3875,200432.1093,183768.7242,207147.3968,177055.7162,142852.0857,120400.5827,105079.3990,95800.0455,85523.1847,75968.3570,66123.5438,60425.0871,52425.2505,45442.3178,102028.9015,573216.5109,24284.6868,168177.8241,161324.7216,90872.4494,127541.0989,1015.7302,714142.6528,106800.2173,169715.4648,587953.1073
"IPLAN",2050,10,50586.3283,200562.1790,14556.3458,17410.0402,18726.4405,17480.6550,17427.5067,12432.4070,10024.9664,10447.3497,11789.2919,13643.4250,13532.2602,11981.9135,10532.7074,8172.0452,5429.2681,6975.5565,65084.9777,5299.7041,27592.6683,16758.6106,4826.1529,10306.0598,301.7820,72142.4187,0.0000,0.0000,92731.6243
"IPLAN",2050,16,184984.7241,5061957.3209,125193.1594,113538.5145,100273.7141,94455.2177,81839.6683,64942.6848,52751.8800,48694.0524,41288.4726,33358.9287,28055.0441,23041.6812,21203.5949,18569.6827,14755.3584,26072.4862,149440.7192,14098.7486,33380.9978,21905.2060,13476.9275,65685.5640,893.2753,406196.0657,29824.8641,73558.0930,273489.6244
"IPLAN",2050,2,501423.5543,2103287.2317,237187.4936,215029.6498,196305.6398,220559.4888,189082.9129,156863.2304,129185.1970,114770.2235,101789.4121,93679.5184,83842.3019,74307.6094,64423.8352,58438.9372,50252.3220,116050.3389,623345.9922,27441.6890,181327.9585,177623.4642,99125.9597,136776.1524,1050.7684,764278.9260,115678.5700,188124.3080,644191.6450
"JTMT",2025,10,31821.0000,129248.3459,10837.8951,13024.4059,13116.4369,11207.7446,10016.7890,7074.3777,6750.0079,7722.6774,8488.6813,9160.9068,8201.0223,6559.9531,5518.5277,4500.6953,3151.4729,3916.7519,35732.6935,2155.9502,14733.8744,9496.2903,2819.1016,6310.3359,217.1410,44172.3514,0.0000,0.0000,58066.2901
"JTMT",2025,16,115026.0961,3545515.8302,75049.8614,74991.5956,68535.9517,49108.8171,43185.1767,31409.7389,28727.3184,31745.5029,28939.4278,24064.9521,18178.0009,14721.4412,13108.9412,10756.0736,8067.1381,9498.9225,94827.4547,8235.8647,22235.6741,14615.7454,9024.0339,40116.7614,599.3753,246773.7119,18984.0134,33825.9636,170535.0401
"JTMT",2025,2,375670.0885,1447032.7097,175529.9221,156959.0110,145858.6518,148973.6833,135334.6713,104572.2073,84463.1847,76486.0895,68866.3465,66104.6909,57682.3386,50839.2340,47299.5677,40430.3351,33499.8613,52981.4645,420937.3024,15079.6238,130788.0473,109427.9511,67791.0590,96813.3876,1037.2336,553671.8529,73631.3002,103544.2546,434710.1084
"JTMT",2030,10,36361.0000,148312.3459,12723.9970,15301.5758,15257.9694,12849.5669,11254.7372,7932.8909,7802.7663,9057.1016,9916.6010,10584.8672,9308.1562,7298.3733,6082.1272,5013.4925,3547.7899,4380.3335,43500.7660,2957.6144,18124.3847,11447.6016,3367.3924,7365.5505,238.2224,51558.8533,0.0000,0.0000,66297.0363
"JTMT",2030,16,128733.2354,3867818.8743,88007.0081,87427.3129,78979.5541,55321.8159,48685.9563,35952.7356,33270.9789,36650.8675,32883.2628,26715.0492,19949.6412,16060.4183,14347.0754,11631.3348,8672.3579,10157.3183,107619.3262,9227.0625,25008.4417,16484.3244,10121.9440,46053.3845,724.1690,284019.4122,21431.1435,38993.8195,193227.9770
"JTMT",2030,2,419544.1646,1643398.9340,194417.1458,177185.9901,165158.4957,167184.8923,151246.5154,119481.3986,97919.4694,90270.4806,77994.9622,73139.0872,66769.3157,59166.2961,54133.8966,48417.2939,39471.9083,60209.7343,480368.4375,17810.7366,147276.5942,128573.1216,76939.7778,108613.0273,1155.1800,620950.0364,83122.7268,122043.0288,499791.7771
"JTMT",2035,10,43401.0000,177876.3459,15649.9013,18834.1733,18579.7141,15395.6275,13173.6997,9263.6211,9435.5543,11127.1624,12131.5856,12793.3597,11024.7231,8442.7151,6955.2887,5808.2102,4162.1548,5098.8550,53693.1338,3978.2321,22451.5298,13941.1234,4068.4069,8989.2787,264.5628,62924.9511,0.0000,0.0000,79059.9419
"JTMT",2035,16,142524.7166,4173237.9117,98521.1541,97865.4338,88342.0800,61920.6782,54427.7392,40107.2500,37157.6986,40975.6279,36702.7125,29715.5697,22136.3969,17775.9427,15880.5336,12840.3134,9551.3552,11106.0338,121489.5507,11177.8113,28053.5724,18624.8282,11352.4870,51459.2219,821.6299,317412.0259,23861.6547,44896.1667,215176.2464
"JTMT",2035,2,471780.9536,1875849.9858,218109.4676,200833.0446,189555.2127,191204.6004,169325.6963,131169.3659,111901.8910,105403.5954,93640.3765,84571.8524,74650.3208,68464.3505,63251.0791,56160.4433,46121.3447,70181.3700,552109.5206,22061.7063,166521.7825,151373.5412,88070.4125,122826.0279,1256.0501,704768.9432,92549.6955,142255.8683,578576.8688
"JTMT",2040,10,49441.0000,203240.3459,18159.8846,21864.5998,21429.3738,17579.9928,14820.2566,10405.4644,10836.3304,12902.9685,14031.7443,14688.0393,12497.5169,9424.6883,7704.6254,6490.1597,4689.3006,5715.4006,63008.6403,4996.2239,26484.2296,16176.3983,4673.1858,10387.7625,290.8402,72714.3378,0.0000,0.0000,90009.9838
"JTMT",2040,16,161151.9346,4489729.1344,113877.3683,113239.6026,101444.1121,69895.1544,61368.4035,45416.8413,42681.0677,47114.5196,41996.7298,33785.7286,24842.3084,19548.9114,17321.2997,13796.2642,10144.9967,11441.7585,140014.0281,13371.3700,32194.8905,21412.6747,13147.2834,58970.9103,916.8992,365151.5935,26609.7885,50397.0270,245322.1624
"JTMT",2040,2,523221.6393,2102013.8343,238737.6545,221738.3294,210950.5601,214971.6316,189713.9884,143990.0412,121459.2671,119690.4169,108014.6630,100371.0340,84757.7657,74803.2558,71954.6745,64228.4523,52665.9655,82594.8607,624385.9764,26329.3015,184781.0055,176259.8821,99717.5981,135979.9993,1318.1898,779639.3916,103208.5937,160327.4424,656806.8726
"JTMT",2045,10,50013.6642,199657.3895,15135.6098,18130.2142,19105.9850,17376.4292,16811.6337,11961.4667,10107.9073,10838.3715,12130.5440,13745.0268,13241.2799,11413.8268,9923.5797,7796.3632,5251.0762,6688.0756,70227.9315,6251.0609,30313.0985,17915.4903,5037.7130,10387.7625,322.8063,72714.3378,0.0000,0.0000,91564.1670
"JTMT",2045,16,178684.2337,4746762.7501,112082.8150,108758.6990,98849.7667,75331.2613,71478.9591,52070.1224,44479.6661,45967.6563,40568.3588,35543.0712,29088.9799,24471.1341,22308.8133,17434.1967,12373.4002,15059.5430,154625.6836,15815.9429,36225.5372,24131.4145,14819.7314,62625.8502,1007.2073,382704.1441,31108.8898,59129.0763,267366.4976
"JTMT",2045,2,567338.3561,2304591.1560,241588.5088,218759.4277,216474.1026,242186.4568,225041.4186,167492.5290,129971.5775,120539.9071,113110.1414,111311.0354,102640.4267,92403.3503,87346.9366,77081.8013,61882.0884,95317.2389,703981.0136,31283.1344,206092.6376,206292.6415,113875.5194,145083.2311,1353.8496,814904.8024,120658.7857,190916.5089,747399.4407
"JTMT",2050,10,50586.3283,200562.1790,14556.3458,17410.0402,18726.4405,17480.6550,17427.5067,12432.4070,10024.9664,10447.3497,11789.2919,13643.4250,13532.2602,11981.9135,10532.7074,8172.0452,5429.2681,6975.5565,75629.0893,7179.2711,33172.3441,19225.8338,5316.9506,10387.7625,346.9272,72714.3378,0.0000,0.0000,92731.6243
"JTMT",2050,16,195177.5885,5051896.8752,120521.7382,116544.9368,106357.0674,82491.2566,79781.4949,57653.8597,48370.6154,49129.7326,43444.7798,39403.2545,32518.0058,27384.4832,24945.1788,19331.0600,13643.8680,16452.3628,168437.5780,17591.1361,39916.3513,26475.0690,16426.1415,66917.8505,1111.0296,409072.3217,33138.2487,64189.3565,294751.9561
"JTMT",2050,2,590079.2096,2408013.4176,247982.9652,224192.2762,220789.9405,250219.4075,235680.2907,177655.1156,136672.0566,124188.9189,115388.8170,116759.3332,109317.3574,101695.3500,93676.1150,81455.8429,66804.3966,104016.1134,750351.3586,34619.1241,218708.9430,222737.0111,122441.9238,150454.8472,1389.5094,839525.3872,128529.8468,205027.7765,797288.9585
