"Scenario","year","ravtaz","hh_total","pop","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75up","emp_tot","indus","com_hotel","business","public","education","agri","student","univ","UO_Hi_Ed","pop_emp_employed"
"BAU",2035,59,8563.2275,36858.3623,5280.2698,4293.0995,3900.2817,5466.6331,3925.0028,2750.1438,2029.6521,1469.2802,1272.2733,1073.2140,1129.0481,933.5696,791.2244,763.3852,608.9858,1172.2990,5191.6139,0.0000,875.6375,525.3825,350.2550,3440.3390,0.0000,21217.0889,1022.9505,9368.0786,8480.1679
"BAU",2035,6,6916.6061,17579.4773,1275.8958,1117.5203,1049.0812,1187.9114,1311.9907,1307.7564,1007.0032,882.0548,727.7005,805.9771,778.8532,704.1206,747.2203,703.8011,843.5660,3129.0245,5745.1748,0.0000,1925.5402,1856.4960,866.1049,1097.0338,0.0000,5731.6792,1060.8375,564.6843,7310.7425
"BAU",2035,60,5710.6972,27963.3148,4336.5483,3681.7678,3391.3425,4244.7249,3017.8601,1937.7755,1328.6041,924.3584,1023.6289,1018.7962,836.3658,585.7967,446.7835,403.0540,306.9887,478.9193,3008.8148,0.0000,797.9521,296.6647,349.8166,1564.3813,0.0000,10029.8489,0.0000,4265.6553,5771.1611
"BAU",2035,61,4406.9386,23149.3803,4152.8259,3554.5412,2951.8488,2393.2160,1708.3858,1554.7977,1416.6959,1143.9999,989.6423,616.6960,543.8061,432.3931,358.2344,369.1480,317.3738,645.7754,3146.1907,0.0000,799.7713,348.8532,330.5670,1666.9993,0.0000,11421.9454,0.0000,2707.5732,4875.3831
"BAU",2035,62,1081.3149,5681.7730,880.1958,740.7687,685.1547,823.6482,608.7660,404.4023,277.1019,191.9240,206.4394,202.5844,172.9569,125.1122,97.5694,88.9552,67.6089,108.5850,732.7803,0.0000,157.9019,71.7736,57.4189,445.6860,0.0000,2951.3590,0.0000,682.5867,1191.0656
"BAU",2035,63,5959.2889,23823.9185,2378.9612,1978.0505,1793.8512,1618.7422,2032.6834,2041.7059,1592.9144,1320.2293,1036.4635,1099.0234,1110.0965,1053.7241,1041.0718,854.7950,804.5186,2067.0874,3625.5573,0.0000,1655.2108,622.8991,576.0992,771.3482,0.0000,5388.2079,0.0000,120.0456,10230.3465
"BAU",2035,64,6992.9962,25524.2176,2091.0805,1851.3026,1881.1874,1942.2551,2523.1284,2210.7188,1534.5827,1249.6978,1066.5621,1276.7963,1414.8647,1355.1454,1287.3412,956.2839,822.5468,2060.7238,4807.7968,0.0000,2352.5439,836.6527,952.5939,666.0063,0.0000,4583.4372,0.0000,263.0916,11450.1293
"BAU",2035,65,13552.1770,68708.3480,7654.9077,7722.2199,7331.4325,6683.2343,6005.8660,5550.9021,5687.0790,5078.5827,3946.7431,2968.8754,2514.1522,2280.8274,1835.8016,1437.9767,831.4210,1178.3265,9477.8893,0.0000,3959.9461,1319.9820,1319.9820,2877.9791,0.0000,20145.8535,0.0000,0.0000,17414.3895
"BAU",2035,66,11438.0396,50253.3553,4966.8768,4598.8794,4702.9203,4462.6271,4226.6148,3614.4029,3972.0323,3723.3044,3184.0159,2642.4884,2135.4806,2144.8562,1646.3129,1492.9277,1089.9745,1649.6412,8448.6857,214.0040,2814.9438,1418.0380,1255.1848,2746.5152,0.0000,19225.6061,0.0000,0.0000,13367.9179
"BAU",2035,67,8005.2573,33704.2151,3357.2085,3113.4109,3183.8459,3022.1453,2863.4706,2444.8936,2462.6509,2502.8489,2144.0644,1783.7443,1441.5016,1442.5516,1105.8991,1002.8636,730.3943,1102.7215,7024.5383,559.0651,2144.1146,385.4002,644.9115,3179.2339,111.8130,16889.9588,4773.7688,30.4801,8904.7511
"BAU",2035,68,98.7148,542.9314,58.8550,59.9438,61.3000,59.2451,57.3871,44.8683,39.6273,28.8876,28.8207,28.7028,23.1957,17.4731,11.9215,10.8108,5.91967,5.97282,5359.1466,2634.1442,1597.3125,526.8288,531.6363,66.8211,2.40371,467.7479,0.0000,0.0000,133.7624
"BAU",2035,69,14551.8275,74888.2191,7990.4954,7460.1312,6935.3660,6581.0071,7012.0814,6853.0325,6148.6113,4706.3423,3912.8729,3117.4883,3149.1793,3163.0055,2427.8068,2201.6107,1607.3783,1621.8101,9989.2472,1771.6850,3543.3700,354.3370,1063.0110,2902.5072,354.3370,20317.5507,0.0000,0.0000,19521.6714
"BAU",2035,7,1267.1100,2564.3406,128.2462,113.8889,107.5333,98.5327,558.1367,420.7377,104.5120,92.6193,77.2582,86.0442,82.3199,73.5427,79.2431,76.7727,95.5929,369.3601,21792.9164,0.0000,1330.4125,10382.3949,6248.9966,3831.1124,0.0000,2460.1691,9483.8873,0.0000,1100.4954
"BAU",2035,70,103.4457,672.3971,116.8277,103.4115,93.4293,83.6492,63.8838,43.0841,30.9814,22.1154,28.4365,30.1667,20.4615,11.7604,7.57973,6.23225,4.84032,5.53721,22.1015,0.0000,0.0000,0.0000,0.0000,22.1015,0.0000,154.7107,0.0000,58.7827,135.7363
"BAU",2035,71,12937.7328,60726.2804,5473.8340,5177.4666,4924.7392,5356.0108,5074.1161,4094.3242,3119.3460,3008.4988,2836.1554,3129.6251,3072.4094,2622.6018,2140.5281,1721.3270,1456.0549,3490.4601,10968.5255,1256.2804,3806.9626,2071.3441,1148.3845,2685.5539,0.0000,18518.1393,0.0000,1257.8627,23308.7543
"BAU",2035,72,0.0000,50261.8016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"BAU",2035,73,0.0000,291163.2945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"BAU",2035,74,10191.1318,45393.9608,5488.6941,5278.3247,4935.6684,5168.1838,4297.5677,3233.8032,2638.7850,2662.4082,2268.3378,2111.5282,1779.0417,1466.1503,1213.1059,934.7636,762.1127,1155.4855,8788.8885,100.4645,2847.7371,1119.3688,1213.6210,3507.6970,0.0000,18788.7807,1742.8045,2562.7066,16731.2548
"BAU",2035,75,19590.8061,124689.1332,23657.7097,19387.4758,15643.1525,13991.8793,12412.5880,9431.6354,7273.3242,5036.4657,3949.3422,3538.3980,3336.0692,2743.0311,1779.6209,1001.1147,738.9663,768.3602,13917.9053,318.9558,2147.4511,888.3714,695.5236,9867.6034,0.0000,66545.4112,681.9670,13836.7710,25695.3154
