TAZ_1318_N,full_code
5312,133
5339,133
7405,142
5313,133
5316,133
5315,133
5309,133
4602,132
5008,133
5306,133
5317,133
5322,133
8015,143
8110,143
8011,143
5218,133
5217,133
5205,133
5204,133
5210,133
5211,133
5009,133
5201,133
8402,143
8301,143
5375,133
8331,143
8330,143
8401,143
8322,143
8302,143
8013,143
8212,143
8213,143
8326,143
8320,143
8314,143
8315,143
8311,143
8310,143
8214,143
8428,143
8343,143
8447,143
8448,143
8403,143
8329,143
8438,143
8442,143
8445,143
8430,143
8437,143
8435,143
8432,143
8450,143
8446,143
8449,143
8443,143
8444,143
8427,143
8426,143
8406,143
8404,143
8423,143
8421,143
8409,143
8413,143
8420,143
8410,143
8417,143
8412,143
8436,143
8431,143
8424,143
8433,143
8422,143
8425,143
8452,143
8416,143
8415,143
8439,143
8418,143
8440,143
8342,143
8332,143
8313,143
8312,143
8111,143
8112,143
8120,143
8215,143
8107,143
8108,143
8105,143
8106,143
8204,143
5516,133
5372,133
5370,133
8211,143
5602,133
5601,133
5515,133
5514,133
5501,133
5369,133
5348,133
5347,133
8002,143
5635,133
5637,133
5617,133
5616,133
5606,133
8001,143
5508,133
5506,133
5349,133
5330,133
5331,133
8210,143
5615,133
5619,133
5517,133
5636,133
8323,143
8319,143
8324,143
8318,143
8317,143
8316,143
5638,133
5620,133
8203,143
8201,143
5371,133
5314,133
5512,133
5511,133
5343,133
5342,133
5336,133
5333,133
5335,133
5334,133
5346,133
5344,133
5345,133
5332,133
8012,143
5630,133
5629,133
5631,133
5634,133
5645,133
5643,133
5644,133
5646,133
5605,133
5609,133
5632,133
5614,133
5612,133
5610,133
5624,133
5611,133
5623,133
5622,133
5603,133
5613,133
5626,133
5627,133
5625,133
5604,133
5607,133
5373,133
5367,133
5404,133
5365,133
5364,133
5507,133
5356,133
5354,133
5363,133
5357,133
5324,133
5352,133
5350,133
5325,133
5355,133
5326,133
5368,133
5353,133
5351,133
5329,133
5327,133
5328,133
5216,133
5215,133
5203,133
5212,133
5202,133
5225,133
5213,133
7512,142
8007,143
8008,143
8016,143
7513,142
8009,143
7611,142
7618,142
7609,142
7610,142
7514,142
8006,143
7509,142
8004,143
8005,143
7603,142
5223,133
5226,133
5108,133
5116,133
5123,133
7515,142
5114,133
5117,133
5104,133
5118,133
5110,133
5111,133
5112,133
5119,133
5221,133
5124,133
5224,133
5222,133
5207,133
5209,133
5220,133
5122,133
5206,133
5121,133
5219,133
5102,133
5107,133
5101,133
5115,133
7620,142
7621,142
7601,142
7612,142
7630,142
7631,142
7617,142
7614,142
7615,142
7616,142
7613,142
6604,141
6002,141
6605,141
6603,141
6103,141
6011,141
6514,141
3003,131
6412,141
6162,141
6161,141
6163,141
6142,141
6134,141
6135,141
6123,141
6105,141
6309,141
6522,141
3013,131
3015,131
4001,132
3025,131
3022,131
3014,131
3322,131
2124,121
2127,121
2617,122
5005,133
3321,131
4006,132
2510,122
2616,122
4022,132
4056,132
2501,122
2504,122
2606,122
2607,122
2608,122
4021,132
4055,132
2605,122
4053,132
3201,131
6420,141
6119,141
5302,133
2939,123
1111,110
1114,110
1113,110
1116,110
1118,110
1115,110
1220,110
1209,110
1214,110
1217,110
1211,110
1213,110
1210,110
1707,110
1706,110
1708,110
1710,110
1126,110
1711,110
1403,110
1401,110
1815,110
1413,110
2410,122
5305,133
1817,110
2301,122
2411,122
2805,123
2865,123
2862,123
2861,123
1939,110
1931,110
1904,110
1901,110
2427,122
2517,122
1938,110
1933,110
1932,110
1927,110
1914,110
1913,110
1903,110
1906,110
2454,122
1937,110
1936,110
1934,110
1915,110
2453,122
1925,110
2702,123
2863,123
2837,123
2839,123
2926,123
2927,123
2936,123
2928,123
2924,123
2869,123
2870,123
2851,123
2849,123
2934,123
2932,123
2920,123
2930,123
2922,123
2923,123
1726,110
1715,110
1714,110
2868,123
2852,123
2848,123
2827,123
2810,123
2806,123
2829,123
2824,123
2811,123
2831,123
2844,123
2833,123
2836,123
5303,133
2940,123
2935,123
2938,123
2937,123
2929,123
5310,133
2941,123
2933,123
2902,123
1720,110
2901,123
1722,110
1723,110
1718,110
1719,110
2906,123
2904,123
1724,110
2915,123
2907,123
2905,123
2807,123
2910,123
2925,123
2911,123
2909,123
2912,123
2913,123
2908,123
2921,123
2914,123
2903,123
1721,110
2918,123
2825,123
2919,123
2916,123
2826,123
2809,123
1725,110
1717,110
2808,123
5307,133
5308,133
2866,123
2845,123
2854,123
2846,123
2853,123
2847,123
2860,123
2859,123
2858,123
2856,123
2841,123
2840,123
2843,123
2842,123
2857,123
2812,123
1818,110
2818,123
2816,123
2803,123
2834,123
2817,123
2835,123
2821,123
2830,123
2832,123
2822,123
2819,123
2823,123
2820,123
1727,110
1713,110
2815,123
1501,110
1502,110
1327,110
1326,110
1307,110
1524,110
1519,110
1323,110
1701,110
1813,110
1801,110
1518,110
1319,110
1316,110
1420,110
1419,110
1415,110
1601,110
1704,110
1522,110
1703,110
1702,110
1705,110
1523,110
1520,110
1525,110
1515,110
1526,110
1508,110
1603,110
1602,110
1805,110
1612,110
1418,110
1613,110
1912,110
1908,110
1812,110
1803,110
1809,110
1807,110
1527,110
1811,110
1810,110
1802,110
1804,110
1504,110
1510,110
1505,110
1511,110
1509,110
1507,110
1506,110
1330,110
1328,110
1320,110
1517,110
1516,110
1514,110
1513,110
1512,110
1503,110
1325,110
1322,110
1610,110
1329,110
1315,110
1317,110
1929,110
1928,110
1930,110
1911,110
1926,110
1604,110
1606,110
1909,110
1907,110
1306,110
1301,110
1303,110
1122,110
1123,110
1120,110
1302,110
1405,110
1404,110
1407,110
1408,110
1406,110
1421,110
