scenario,year,ID,AREA,TAZ_OLD,TAZ_1318_S,TAZ_1318_N,TYPE,CULTURALM,CULTURALL,UNIVERSITY,U_STUDENTS,COLLEGE,CSTUDENTS,YESHIVA,YSTUDENTS,EDUCATIONH,H_CLASS,H_STUDENTS,EDUCATIONE,E_CLASS,E_STUDENTS,OFFICE,MALL,MALL_AREA,STREET,STR_AREA,MARKET,MARKET_ARE,HEALTH,BEDS_HEALT,SOCECO,SECTOR,SECTOR_JEW,SECTOR_ARA,SECTOR_ORT,URBAN,POPULATION,HOUSEHOLDS,HH_JEW,HH_ARAB,HH_ORTO,EMPL_TOT,EMPL_COMM,EMPL_SERV,EMPL_INDU,EMPL_OFFIC,AGE_0_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_64,AGE_65_74,AGE_75,WOMEN,MEN,WORKERS,PARKCOST,PARKWALK,PARKCAP,SOLDIERS,ARMY,MLIC2,MLIC3,MLIC4,MLIC5,MLIC6,FLIC2,FLIC3,FLIC4,FLIC5,FLIC6,GE,GE_NAME,SEMEL,CITY_H,CITY_E,MUNICIPAL,nafa
BAU,2025,365,1260000,1112,11030,1112,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,792,0,0,0,0,9,1,1,0,0,1,271,82,3.3,0,0,44,22,22,0,0,75,17,15,27,102,21,15,138,133,137,0,0,89,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,368,231000,1113,11140,1113,3,0,0,0,0,0,0,0,0,0,0,0,1,17,119,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,5237,2095,2.5,0,0,825,0,825,0,0,1215,253,268,694,1799,374,634,2766,2471,2715,0,1,2596,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,367,87700,1114,11180,1114,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17800,0,0,0,0,0,0,8,1,1,0,0,1,289,152,1.9,0,0,4538,579,3959,0,0,52,11,14,50,92,19,50,156,133,162,0,1,3021,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,370,258000,1115,11170,1115,3,0,0,0,0,0,0,0,0,0,0,0,1,17,483,0,0,0,1,3009,0,0,0,0,9,1,1,0,0,1,3643,1518,2.4,0,0,933,907,26,0,0,652,132,226,646,1213,251,523,1879,1764,2037,0,1,2269,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,1273,938000,1116,11210,1116,4,0,1,1,26570,0,0,0,0,0,0,0,0,0,0,0,0,0,1,303575,0,0,0,0,8,1,1,0,0,1,1569,320,4.9,0,0,13107,8433,4674,0,0,201,124,447,302,325,47,123,859,710,909,0,1,10550,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,752,346000,1117,11230,1117,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1852,0,1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,369,348000,1118,11200,1118,3,0,0,0,0,0,0,0,0,0,0,0,1,17,484,0,0,0,0,0,0,0,0,0,8,1,1,0,0,1,4226,1761,2.4,0,0,1667,0,1667,0,0,540,336,1204,814,875,126,332,2313,1913,2372,0,1,2785,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,1272,424000,1119,11190,1119,3,0,0,1,1474,0,0,0,0,1,47,1538,1,9,217,0,0,0,1,2864,0,0,0,0,8,1,1,0,0,1,5010,2637,1.9,0,0,2965,1536,1429,0,0,912,195,234,875,1600,320,876,2706,2304,2812,0,1,4788,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,629,697000,1120,11080,1120,3,0,0,0,0,0,0,0,0,0,0,0,1,20,509,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,6600,2444,2.7,0,0,3048,0,3048,0,0,1430,404,352,682,2295,663,774,3468,3132,3299,0,1,4323,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,649,460000,1121,11020,1121,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1069,0,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,0,0,0,0,0,0,0,0,0,0,0,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
