"scenario","year","TZ28","U_STUDENTS","CSTUDENTS","YSTUDENTS","H_CLASS","H_STUDENTS","E_CLASS","E_STUDENTS","MALL_AREA","STR_AREA","MARKET_ARE","BEDS_HEALT","POPULATION","HOUSEHOLDS","HH_JEW","HH_ARAB","HH_ORTO","EMPL_TOT","EMPL_COMM","EMPL_SERV","EMPL_INDU","EMPL_OFFIC","AGE_0_14","AGE_15_19","AGE_20_24","AGE_25_34","AGE_35_64","AGE_65_74","AGE_75","WOMEN","MEN","WORKERS","PARKCOST","PARKWALK","PARKCAP","SOLDIERS"
"BAU",2040,1,44178,22898,913,875,23636,1408,32684,182658,968478,181320,2127,634152,276300,457.0467,69.7408,32.9985,599451,141367,295876,18710,143501,119092,32036,36501,125571,215383,51213,54348,319113,315039,367903,216,504,678863,9064
"BAU",2040,10,0,2125,0,193,5581,382,10512,26500,174938,0,114,123123,38604,70.7000,0.0000,0.0000,54748,5472,35365,6652,7260,30627,8800,7349,12649,42732,10874,10090,62819,60304,64156,80,103,63751,0
"BAU",2040,11,11388,0,0,241,7291,485,12322,57639,349554,0,100,120774,43653,104.6000,0.0000,0.0000,76913,10334,41772,10200,14607,26314,7785,7729,14558,40862,12423,11108,61988,58786,64928,258,388,95507,0
"BAU",2040,12,1032,0,463,200,5680,251,6164,45000,292781,0,287,82196,27741,77.5000,0.0000,0.0000,49678,7535,26445,5672,10027,17561,5659,5384,8523,26239,9755,9075,42039,40157,40127,162,244,62791,0
"BAU",2040,13,0,449,0,186,5110,372,9244,99434,221482,5462,817,150379,51472,101.4000,0.0000,0.0000,61161,16189,34811,807,9352,35021,8622,7348,15211,49084,16927,18165,78042,72337,85159,180,252,89378,0
"BAU",2040,14,7614,14345,1106,580,15956,1051,24830,54855,223654,9844,1660,282050,91981,146.4476,0.0000,33.6400,121883,10878,59923,22849,28228,73907,17588,15424,32806,89395,26310,26622,143813,138237,142120,212,265,153043,0
"BAU",2040,15,0,1425,396,126,2928,504,12485,13781,212473,3178,1714,92245,25690,54.7000,0.0000,0.0000,46772,6746,28484,9083,2457,28618,7076,5898,12877,27585,5655,4530,45321,46924,51769,27,38,48810,157
"BAU",2040,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,44330,0,21710,5842,16778,0,0,0,0,0,0,0,0,0,0,5,7,34326,0
"BAU",2040,17,2109,0,819,319,7878,964,20827,56468,402939,4266,0,189240,62400,120.5115,176.2578,0.0000,84232,21543,36286,15121,11284,50054,14026,13387,26609,55004,14159,16009,94552,94686,84812,161,186,112955,0
"BAU",2040,18,0,775,410,215,6056,587,13621,13000,118016,0,231,108227,29719,60.2980,0.0000,15.8474,33394,2645,25196,5047,506,30401,11149,8039,10711,34022,6303,7597,54959,53268,58784,12,32,49620,753
"BAU",2040,19,0,0,0,141,3441,406,9572,5642,189215,0,10,82962,24080,70.3168,0.0000,10.5370,36649,4817,14656,12133,5043,25879,5233,4439,11221,26817,5799,3572,41561,41401,38415,0,24,45456,2297
"BAU",2040,2,1797,1093,505,275,6505,476,10275,17000,147522,0,10,121136,46758,108.9453,0.0000,5.1615,30031,6597,16881,3900,2654,21836,6867,7222,15199,41298,13553,15167,63313,57823,63360,251,376,76804,0
"BAU",2040,20,3512,5840,1568,592,15247,737,18219,110685,537303,3760,656,262136,83068,123.0583,0.0000,56.6904,100255,14611,47058,35346,3238,65106,19351,18443,31775,76807,22464,28192,134328,127808,121963,160,211,154978,343
"BAU",2040,21,0,0,619,214,5641,244,6452,27600,182520,0,0,107803,33028,65.0000,0.0000,4.3,40272,6957,26080,7080,153,29471,8465,7295,12458,35308,7936,6868,53445,54358,50008,0,23,51465,4094
"BAU",2040,22,1290,0,978,1022,30211,861,20817,31018,263853,0,10,125019,34871,78.9000,0.0000,3.3,43898,6222,31580,3669,2424,38545,12194,8330,10339,44177,6496,4944,62963,62056,69280,115,163,61873,0
"BAU",2040,23,0,0,1449,174,4762,557,13808,23287,122286,0,0,125021,27581,62.8166,0.0000,33.9350,41101,5288,33016,2797,0,49489,14200,8648,13126,32435,4023,3097,62145,62876,49022,19,34,52426,1616
"BAU",2040,24,0,570,0,334,10050,799,19572,3148,193405,7459,0,217722,59729,81.3114,30.3000,5.104,87118,6805,53570,13069,13673,60688,18755,17598,30677,68009,11080,10909,108150,109572,98319,57,95,97668,0
"BAU",2040,25,3030,6636,834,556,14473,843,21133,99339,506484,7928,833,312659,108533,173.0750,0.0000,33.6865,141060,19942,83763,9900,27458,70823,18820,18867,39138,94548,32777,37691,159701,152958,150821,390,456,183018,694
"BAU",2040,26,0,5629,0,78,1342,432,10547,7426,297173,0,0,62528,21204,50.2000,4.5,0.0000,27390,9607,15951,1832,0,16162,6009,4139,6332,20164,4780,4943,30729,31799,31705,0,19,40112,0
"BAU",2040,27,0,0,0,459,13730,839,20428,41215,124947,0,260,160656,45260,93.5000,0.0000,0.0000,64382,9286,47674,6140,1282,40986,12967,10426,15957,55101,11746,13475,80603,80054,87742,35,71,84733,297
"BAU",2040,28,478,4171,0,341,9740,691,16715,0,482611,2898,0,173520,44277,31.1000,72.8000,0.0000,45567,12373,30099,3096,0,50521,17123,15261,24828,51216,8317,6256,86044,87476,66713,5,34,67578,0
"BAU",2040,3,0,28563,0,603,16545,837,21560,34000,428058,0,727,257686,90348,180.0889,0.0000,4.727,97126,17733,38936,14754,25703,59429,19302,17361,30914,85539,22882,22270,132604,125082,135995,16,81,150864,0
"BAU",2040,4,2221,12592,549,232,6884,852,21875,73781,275637,0,0,259531,110792,142.5000,0.0000,0.0000,124292,16445,66148,13689,28012,51143,14373,14897,42292,88193,21135,27508,135368,124163,150135,390,585,185093,0
"BAU",2040,5,2775,0,4507,193,6095,927,25411,13339,230570,5788,234,272902,63114,95.7901,0.0000,208.2561,94579,11157,56643,15521,11258,110433,31435,25691,38411,47693,9988,9245,133443,139459,73779,195,274,114437,0
"BAU",2040,6,3512,12991,459,572,15918,962,22273,101908,617497,6474,46,280193,96759,161.1000,0.0000,0.0000,117512,21935,61929,12456,21190,55620,18653,17686,36944,92631,30597,28059,142405,137788,153584,390,457,179557,4140
"BAU",2040,7,25768,20167,1075,603,16473,1079,27141,52066,422742,0,1659,259003,77969,205.5791,0.0000,10.8121,105283,14517,67586,13231,9952,66900,19643,16705,27255,84559,21521,22417,131705,127296,132503,234,344,139833,1013
"BAU",2040,8,3410,0,2730,674,19825,1247,29893,59359,554535,6003,1587,365071,118542,186.5685,0.0000,31.1330,206946,31054,79807,33033,63051,89628,23181,19731,42566,115043,35482,39440,185790,179281,184277,280,350,225777,0
"BAU",2040,9,1302,927,0,71,2380,318,8329,13176,274402,0,0,62661,21178,76.0000,0.0000,0.0000,24218,4711,15584,1548,2373,15870,4668,3596,5898,21005,5692,5932,32475,30186,30979,124,161,37483,3423
"BAU",2050,1,51898,26901,913,903,24636,1510,35080,182658,1329129,181320,2127,726662,349232,416.2805,69.4094,28.3355,696155,168025,338228,20296,169606,139518,34889,41420,138909,237891,65120,68916,365507,361156,411772,380,488,766029,10063
"BAU",2050,10,0,2497,0,272,7524,573,15865,26500,254138,0,114,162677,56175,64.4000,0.0000,0.0000,75260,8208,48988,7615,10447,41151,11482,9777,16025,54632,14282,15332,82834,79843,83078,76,102,84176,0
"BAU",2050,11,13378,0,0,303,9411,679,17070,57639,478434,0,100,133900,53280,95.8000,0.0000,0.0000,85900,12202,46640,10496,16565,30190,8109,8323,15638,43646,14955,13033,68687,65213,70367,216,367,106547,0
"BAU",2050,12,1212,0,463,200,5680,326,7991,45000,386597,0,287,88177,32731,70.8000,0.0000,0.0000,53674,9387,27455,5881,10954,19325,5885,5755,8815,27260,10375,10762,45078,43099,42157,150,238,68494,0
"BAU",2050,13,0,527,0,186,5110,424,10702,99434,238654,5462,817,174132,66370,90.9000,0.0000,0.0000,72713,17829,42087,929,11870,41284,9780,8562,16820,54831,19313,23538,90347,83785,96619,175,250,105888,0
"BAU",2050,14,8946,16850,1106,737,20539,1460,33669,54855,301990,9844,1660,333831,119964,136.4280,0.0000,30.0451,156201,14293,75869,25347,40692,90677,20392,18405,37292,103155,30177,33728,169923,163907,163891,654,269,185831,0
"BAU",2050,15,0,1675,396,258,5785,779,19609,13781,284153,3178,1714,123361,37176,51.0000,0.0000,0.0000,60025,9227,37806,9539,3452,38974,9188,7868,16607,36192,7686,6844,60567,62794,68246,27,38,62202,174
"BAU",2050,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,48397,0,24311,5958,18128,0,0,0,0,0,0,0,0,0,0,0,5,34844,0
"BAU",2050,17,2479,0,819,336,8332,1157,25050,56468,573219,4266,0,205037,67220,121.4485,175.4063,0.0000,95858,25570,40338,15444,14507,55329,14866,14557,27714,57565,15313,19688,102428,102607,90057,154,183,119654,0
"BAU",2050,18,0,911,410,319,8639,1023,23879,13000,174176,0,231,131298,39623,54.7009,0.0000,14.3821,40581,3755,31528,4314,984,38018,13244,9617,12422,40080,7552,10364,66568,64730,69148,12,32,60663,836
"BAU",2050,19,0,0,0,173,4041,527,11915,5642,251474,0,10,98642,30802,64.7485,0.0000,9.7557,43832,6371,17738,13411,6312,32048,6123,5232,12731,31102,6779,4620,49407,49233,44720,0,21,53301,2550
"BAU",2050,2,2112,1284,505,296,6995,498,10860,17000,175278,0,10,118688,51133,97.9585,0.0000,4.4492,31526,6791,18343,3461,2930,21597,6298,6896,14400,38593,14626,16272,62034,56654,60813,251,376,81455,0
"BAU",2050,20,4126,6861,1568,642,16499,942,24355,110685,655023,3760,656,273900,97684,111.3983,0.0000,50.7812,110589,18407,55531,32927,3725,68543,19606,19270,31827,77607,23584,33462,140377,133523,125147,156,206,171559,381
"BAU",2050,21,0,0,619,244,6447,458,11710,27600,242172,0,0,140730,48264,58.5000,0.0000,3.8,51693,8793,34890,7792,218,39256,10812,9587,15746,44633,10391,10302,69713,71017,64110,0,21,68331,4721
"BAU",2050,22,1516,0,978,1452,42887,1021,24523,31018,348489,0,10,140930,42980,72.5000,0.0000,3,53674,7123,37399,4049,5101,45263,13405,9234,11195,48393,7297,6151,70977,69953,76131,105,159,71422,0
"BAU",2050,23,0,0,1449,211,5504,757,18999,23287,169461,0,0,144737,36823,56.5878,0.0000,29.8320,48140,6424,38928,2787,0,59239,16027,9783,14617,36269,4817,3989,72039,72698,55278,14,34,62637,1794
"BAU",2050,24,0,670,0,415,13435,1055,25276,3148,268681,7459,0,292213,89192,75.7509,27.0000,4.2756,119834,9586,74823,16392,19033,83142,24826,23934,39407,88755,15166,16974,145177,147034,128619,53,95,131709,0
"BAU",2050,25,3560,7795,834,597,15322,1029,26032,99339,654424,7928,833,361634,140413,155.4589,0.0000,28.9659,175517,23998,108172,10472,32878,82901,21219,21897,43397,105265,37931,49024,184600,177034,170866,366,451,219629,771
"BAU",2050,26,0,6612,0,78,1342,563,13895,7426,431561,0,0,66405,25096,45.2000,4,0.0000,29490,10787,17045,1656,0,17467,6211,4400,6458,20717,5144,6005,32646,33759,33041,0,18,44374,0
"BAU",2050,27,0,0,0,753,19302,1413,34817,41215,192159,0,260,184819,58323,83.4000,0.0000,0.0000,75087,9827,57463,6224,1574,48341,14619,12061,17777,61483,13511,17024,92646,92173,99090,30,68,99192,330
"BAU",2050,28,561,4900,0,464,13337,1309,31845,0,781015,2898,0,205754,59682,27.8000,64.6000,0.0000,59717,18703,37891,3124,0,61457,19917,18220,28393,59132,10133,8498,102016,103738,77137,5,33,85231,0
"BAU",2050,3,0,33555,0,645,17945,921,23278,34000,459522,0,727,276010,105663,172.5115,0.0000,4.0508,109856,19112,44469,14740,31532,65328,19745,18282,32009,88071,26946,25628,141929,134081,137947,16,75,167929,0
"BAU",2050,4,2609,14795,549,232,6884,908,23187,73781,302961,0,0,286255,135647,128.4000,0.0000,0.0000,140468,17880,75744,14221,32624,57305,14832,16054,45582,93316,25784,33374,149277,136978,162586,360,570,212119,0
"BAU",2050,5,3260,0,4507,207,6462,927,25411,13339,233450,5788,234,306735,78539,90.1350,0.0000,186.1791,114639,12865,70988,17344,13442,126790,33415,28508,42243,51773,12512,11488,150058,156677,81218,195,274,132649,0
"BAU",2050,6,4126,15262,459,677,18965,1167,25954,101908,709513,6474,46,290762,111368,146.2000,0.0000,0.0000,124885,22839,66472,12800,22773,59569,19420,18469,36695,93005,31456,32154,147466,143296,155709,342,447,195292,4596
"BAU",2050,7,30272,23692,1075,775,20606,1341,33382,52066,509300,0,1659,310855,102540,187.3917,0.0000,9.34144,129481,17560,83340,14620,13958,82256,22781,19611,30986,98033,26884,30297,158014,152839,156099,218,338,167921,1124
"BAU",2050,8,4006,0,2730,674,19825,1385,33402,59359,674451,6003,1587,428947,155223,169.3508,0.0000,26.6948,257341,38268,97196,36420,85456,107085,26599,23137,47843,130696,41500,52087,218230,210717,212319,244,341,269582,0
"BAU",2050,9,1530,1088,0,169,5910,506,12376,13176,455446,0,0,70241,25494,76.7000,0.0000,0.0000,27174,6284,15831,1731,3324,18425,4948,3935,6485,22751,6828,6870,36337,33904,34061,112,163,42358,3802
"IPLAN",2025,1,30992,16065,913,843,22517,1254,29035,182658,2635691,181320,1995,486518,212848,463.3495,79.6950,33.3556,474952,108071,238646,17837,110393,92556,23999,27146,89476,175965,34400,42995,245191,241327,273354,216,497,535548,7543
