"scenario","year","sectorzn","U_STUDENTS","CSTUDENTS","YSTUDENTS","H_CLASS","H_STUDENTS","E_CLASS","E_STUDENTS","MALL_AREA","STR_AREA","MARKET_ARE","BEDS_HEALT","POPULATION","HOUSEHOLDS","HH_JEW","HH_ARAB","HH_ORTO","EMPL_TOT","EMPL_COMM","EMPL_SERV","EMPL_INDU","EMPL_OFFIC","AGE_0_14","AGE_15_19","AGE_20_24","AGE_25_34","AGE_35_64","AGE_65_74","AGE_75","WOMEN","MEN","WORKERS","PARKCOST","PARKWALK","PARKCAP","SOLDIERS"
"IPLAN",2025,32,2392,0,3805,791,23595,1146,27268,84742,415847,6003,1545,378149,118514,261.9333,0.0000,31.4368,210977,26995,100814,43038,40126,92368,26385,23035,41404,125865,32185,36914,192446,185703,183095,360,461,243907,0
"IPLAN",2025,33,9338,20177,2780,1427,38623,2547,60178,254612,984015,23762,2251,706758,227016,505.1487,201.2526,34.5456,296817,50968,144649,64791,36407,168221,50399,47295,87315,234388,58080,61060,357301,349455,345165,784,934,414234,1664
"IPLAN",2025,41,2461,11530,834,1079,28949,1818,44764,147980,663698,10826,1076,557139,172019,348.4318,77.3000,34.0204,217419,38582,131146,27981,19710,139142,46537,40876,63420,183440,38916,44820,280468,276671,253889,430,579,305156,825
"IPLAN",2025,42,905,0,2181,826,24468,1369,32604,57453,305988,7459,10,336836,86533,216.9112,30.3000,42.4744,128874,13155,80307,20091,15321,103246,34929,26916,36397,109382,13518,12461,167779,169057,152993,186,282,162528,1345
"IPLAN",2025,43,2464,4641,2378,1061,27450,1389,34718,128697,489880,3760,882,470624,141351,315.4023,0.0000,86.7213,171370,23930,86715,54812,5908,123177,39884,34679,51979,151659,32066,37191,238744,231882,219935,172,279,247297,8000
"IPLAN",2030,10,37601,19492,913,843,22517,1308,30377,182658,5285894,181320,2127,515891,248612,425.2628,73.4585,30.0791,508984,248256,156943,25156,78631,97789,25182,28673,95337,186795,36726,45423,259695,256195,290219,210,489,606862,7543
"IPLAN",2030,21,10801,789,0,228,6671,494,12874,70815,914098,0,100,209131,78905,150.5000,0.0000,0.0000,120009,33989,66308,5585,14137,49297,14082,12320,20356,74656,18472,19948,107722,101409,104336,350,483,143094,2849
"IPLAN",2030,22,26185,27887,5056,550,16193,2049,54275,113803,1638907,5788,1893,591539,205764,331.1696,0.0000,205.3826,255075,62044,126317,32905,33816,173380,49483,42538,75226,172377,33739,44811,299026,292515,253876,731,1063,359500,3103
"IPLAN",2030,23,1530,25243,505,784,20290,1062,25361,51000,920764,0,737,397597,154857,271.6133,0.0000,9.0221,125011,36770,46770,19760,21702,85264,26302,24536,43347,140492,34547,43083,206107,191490,200442,267,453,230708,0
"IPLAN",2030,31,878,2191,463,554,15631,807,20456,170934,946120,5462,1218,303787,108355,234.6000,0.0000,0.0000,149006,41120,75804,10527,21546,68816,20932,18623,29753,106253,29380,30036,156296,147491,155139,405,575,195783,0
"IPLAN",2030,32,2902,0,3805,791,23595,1165,27780,84742,1843851,6003,1587,402271,135366,245.1757,0.0000,28.2928,243517,68616,87796,35289,51818,98346,28146,24507,43937,134164,34221,38947,204646,197623,194929,364,466,274416,0
"IPLAN",2030,33,11267,24479,2780,1446,39060,2803,65607,254612,1997101,23762,3420,758541,259942,479.1540,186.2918,32.0548,324214,81732,145713,48912,47865,181712,54489,50673,93305,251995,61809,64559,383323,375218,370389,784,934,458778,1664
"IPLAN",2030,41,2985,13989,834,1109,29649,2181,53683,147980,1742683,10826,1093,587578,194269,325.3578,71.8000,30.7630,234219,71461,114887,21658,26217,147194,49157,43176,67019,193368,40772,46910,295684,291894,267464,430,579,336503,825
"IPLAN",2030,42,1098,485,2181,972,28767,1741,43028,57453,1168111,7459,10,351344,97840,203.1948,28.2000,39.0580,140619,38822,77811,11744,12238,107816,36066,27862,38290,114269,14126,12920,175071,176272,159292,186,283,181338,1345
"IPLAN",2030,43,2990,5631,2378,1061,27450,1591,39778,128697,1626050,3760,897,525961,170187,295.5141,0.0000,79.9901,195885,58980,91331,32977,12611,137207,44386,38604,57935,169874,36106,41843,267101,258862,245757,172,282,287649,8124
"IPLAN",2040,10,44178,22898,913,875,23636,1408,32684,182658,971336,181320,2127,596979,262871,471.0000,72.0000,31.0000,613988,144262,309368,19893,140462,110679,29473,34140,120380,202466,47994,51843,300233,296745,347859,210,495,668595,9064
