"scenario","year","TZ28","pop","emp"
"tama1076",2050,25,0,7658
"tama1077",2050,25,0,10602
"tama1078",2050,25,0,20658
"tama1079",2050,25,1723,179
"tama108",2050,1,3704,5889
"tama1080",2050,25,3093,52
"tama1081",2050,25,5383,546
"tama1082",2050,25,8194,1811
"tama1083",2050,25,6941,2287
"tama1084",2050,25,3973,493
"tama1085",2050,25,0,162
"tama1086",2050,27,8613,2460
"tama1087",2050,27,14001,3298
"tama1088",2050,27,30363,8124
"tama1089",2050,27,5690,4747
"tama109",2050,1,2332,19541
"tama1090",2050,27,7092,1742
"tama1091",2050,27,13064,6485
"tama1092",2050,27,4571,862
"tama1093",2050,27,5912,1200
"tama1094",2050,27,6059,1781
"tama1095",2050,27,4353,2099
"tama1096",2050,28,1645,660
"tama1097",2050,28,2404,3213
"tama1098",2050,28,2748,470
"tama1099",2050,27,5632,1309
"tama110",2050,1,5646,16195
"tama1100",2050,27,2198,1354
"tama1101",2050,27,5437,1598
"tama1102",2050,27,9264,2023
"tama1103",2050,27,0,11279
"tama1104",2050,27,5985,609
"tama1105",2050,27,8905,2164
"tama1106",2050,27,8061,4675
"tama1107",2050,27,7847,2044
"tama1108",2050,27,10100,2392
"tama1109",2050,27,6844,2626
"tama111",2050,1,0,28162
"tama1110",2050,28,18648,5983
"tama1111",2050,28,6816,1249
"tama1112",2050,28,6153,1126
"tama1113",2050,28,9499,1698
"tama1114",2050,28,7301,2756
"tama1115",2050,28,4313,86
"tama1116",2050,28,28014,5742
"tama1117",2050,28,0,534
"tama1118",2050,28,15857,7524
"tama1119",2050,28,15341,3229
"tama112",2050,1,3414,5289
"tama1120",2050,28,4250,751
"tama1121",2050,28,6803,1345
"tama1122",2050,28,4451,1140
"tama1123",2050,28,9494,215
"tama1124",2050,28,4451,2034
"tama1125",2050,28,2190,233
"tama1126",2050,28,1369,115
"tama1127",2050,28,3742,325
"tama1128",2050,27,3704,2440
"tama1129",2050,27,2171,882
"tama113",2050,1,4303,2229
"tama1130",2050,27,1453,895
"tama1131",2050,27,1585,6755
"tama1132",2050,27,3587,2473
"tama1133",2050,27,4592,7921
"tama1134",2050,28,8967,1639
"tama1135",2050,28,9855,2819
"tama1136",2050,28,5169,1019
"tama1137",2050,28,987,1193
"tama1138",2050,28,3566,1138
"tama1139",2050,28,1478,585
"tama114",2050,1,12098,4392
"tama1140",2050,28,451,1001
"tama1141",2050,27,9814,3463
"tama1142",2050,24,2813,1695
"tama1143",2050,24,1989,573
"tama1144",2050,24,12020,1868
"tama1145",2050,24,647,1213
"tama1146",2050,24,2261,1001
"tama1147",2050,24,3161,901
"tama1148",2050,24,7368,1703
"tama1149",2050,24,1100,414
"tama115",2050,1,0,3015
"tama1150",2050,24,2799,1005
"tama1151",2050,24,1678,616
"tama1152",2050,24,2531,1417
"tama1153",2050,24,12967,3856
"tama1154",2050,24,780,1271
"tama1155",2050,24,20913,3613
"tama1156",2050,24,10540,2982
"tama1157",2050,24,0,9190
"tama1158",2050,24,10851,2712
"tama1159",2050,24,9462,1001
"tama116",2050,1,6521,3211
"tama1160",2050,24,15686,3706
"tama1161",2050,24,19009,4245
"tama1162",2050,24,0,4536
"tama1163",2050,24,0,4032
"tama1164",2050,24,2022,5683
"tama1165",2050,24,0,20504
"tama1166",2050,24,4070,286
"tama1167",2050,24,8173,1829
"tama1168",2050,24,6164,1430
"tama1169",2050,24,6329,756
"tama117",2050,1,3670,2259
"tama1170",2050,24,8080,1339
"tama1171",2050,24,5717,1007
"tama1172",2050,24,13632,2426
"tama1173",2050,24,7121,1172
"tama1174",2050,24,5813,431
"tama1175",2050,24,13718,1688
"tama1176",2050,24,10582,883
"tama1177",2050,24,18778,5725
"tama1178",2050,24,908,141
"tama1179",2050,23,19990,9213
"tama118",2050,1,2997,2242
"tama1180",2050,23,7004,776
"tama1181",2050,23,5329,1193
"tama1182",2050,23,12857,1138
"tama1183",2050,23,14679,2571
"tama1184",2050,23,5479,2100
"tama1185",2050,23,6620,1260
"tama1186",2050,23,4193,2521
"tama1187",2050,23,4698,2521
"tama1188",2050,23,871,689
"tama1189",2050,23,5342,5324
"tama119",2050,1,3707,4627
"tama1190",2050,23,0,1028
"tama1191",2050,23,0,368
"tama1192",2050,23,0,2125
"tama1193",2050,23,4146,1062
"tama1194",2050,23,975,597
"tama1195",2050,23,1156,355
"tama1196",2050,16,0,10994
"tama1197",2050,23,901,718
"tama1198",2050,23,887,219
"tama1199",2050,23,6158,3224
"tama120",2050,1,4959,7075
"tama1200",2050,23,1374,568
"tama1201",2050,23,1921,887
"tama1202",2050,22,254,365
"tama1203",2050,22,3468,2090
"tama1204",2050,22,12175,1643
"tama1205",2050,22,17750,20955
"tama1206",2050,22,7061,4503
"tama1207",2050,22,4680,1491
"tama1208",2050,22,7598,2287
"tama1209",2050,22,8110,112
"tama121",2050,1,1464,8910
"tama1210",2050,22,6060,1712
"tama1211",2050,22,5033,581
"tama1212",2050,22,6732,920
"tama1213",2050,22,127,19709
"tama1214",2050,22,7535,364
"tama1215",2050,22,9372,485
"tama1216",2050,22,9551,364
"tama1217",2050,22,9117,739
"tama1218",2050,22,5967,739
"tama1219",2050,22,6543,2253
"tama122",2050,1,3375,1668
"tama1220",2050,22,0,3183
"tama1221",2050,22,4907,1560
"tama1222",2050,22,2360,2823
"tama1223",2050,22,5852,1958
"tama1224",2050,15,1165,1229
"tama1225",2050,15,1410,478
"tama1226",2050,21,6385,3086
"tama1227",2050,21,0,4837
"tama1228",2050,21,8236,3782
"tama1229",2050,21,5663,1982
"tama123",2050,1,2270,1832
"tama1230",2050,21,1775,927
"tama1231",2050,21,3179,1416
"tama1232",2050,21,5311,2397
"tama1233",2050,21,1133,290
"tama1234",2050,21,891,275
"tama1235",2050,21,1738,1201
"tama1236",2050,21,2814,1391
"tama1237",2050,21,2390,932
"tama1238",2050,21,12415,4361
"tama1239",2050,21,7363,1809
"tama124",2050,1,1690,1073
"tama1240",2050,18,8066,2904
"tama1241",2050,18,2262,590
"tama1242",2050,18,4381,1956
"tama1243",2050,18,4738,1602
"tama1244",2050,18,8131,2936
"tama1245",2050,18,8305,2789
"tama1246",2050,18,0,3968
"tama1247",2050,18,7412,1447
"tama1248",2050,18,8626,2389
"tama1249",2050,21,1604,942
"tama125",2050,1,3710,1575
"tama1250",2050,18,6759,1704
"tama1251",2050,18,1642,547
"tama1252",2050,18,9810,4138
"tama1253",2050,19,2104,607
"tama1254",2050,19,1059,2250
"tama1255",2050,19,2289,1587
"tama1256",2050,19,627,455
"tama1257",2050,19,1591,570
"tama1258",2050,19,1982,948
"tama1259",2050,21,1561,584
"tama126",2050,1,4282,2950
"tama1260",2050,21,2944,1242
"tama1261",2050,21,3349,2282
"tama1262",2050,19,12066,3589
"tama1263",2050,21,2158,1228
"tama1264",2050,19,0,7830
"tama1265",2050,19,0,9911
"tama1266",2050,19,3433,923
"tama1267",2050,19,6096,1394
"tama1268",2050,19,6699,1372
"tama1269",2050,19,5446,648
"tama127",2050,1,6211,6258
"tama1270",2050,19,7425,1887
"tama1271",2050,19,5305,974
"tama1272",2050,19,11679,1422
"tama1273",2050,19,6115,2075
"tama1274",2050,19,9035,511
"tama1275",2050,19,7145,84
"tama1276",2050,19,0,5118
"tama1277",2050,19,21383,7020
"tama1278",2050,19,1933,446
"tama1279",2050,19,5142,1120
"tama128",2050,1,2182,9019
"tama1280",2050,18,11813,4234
"tama1281",2050,18,3003,1578
"tama1282",2050,18,5448,3067
"tama1283",2050,18,726,259
"tama1284",2050,18,13047,4605
"tama1285",2050,18,10929,3214
"tama1286",2050,18,6241,1135
"tama1287",2050,18,6273,2069
"tama1288",2050,20,0,4009
"tama1289",2050,20,0,4382
"tama129",2050,1,3152,2109
"tama1290",2050,20,0,8500
"tama1291",2050,20,0,7157
"tama1292",2050,20,3425,18888
"tama1293",2050,20,7022,3222
"tama1294",2050,20,7359,1883
"tama1295",2050,20,8519,2367
"tama1296",2050,20,4044,703
"tama1297",2050,20,2884,735
"tama1298",2050,20,6639,3753
"tama1299",2050,20,3950,596
"tama130",2050,1,1660,1223
"tama1300",2050,20,6921,1058
"tama1301",2050,18,11130,4400
"tama1302",2050,20,8785,3870
"tama1303",2050,20,8350,2118
"tama1304",2050,20,5619,1114
"tama1305",2050,20,3566,506
"tama1306",2050,20,6236,1109
"tama1307",2050,20,6062,1224
"tama1308",2050,20,5585,2648
"tama1309",2050,20,6338,968
"tama131",2050,1,1337,698
"tama1310",2050,20,6822,1078
"tama1311",2050,20,3675,612
"tama1312",2050,20,3728,1253
"tama1313",2050,20,2801,618
"tama1314",2050,20,2778,340
"tama1315",2050,20,4659,715
"tama1316",2050,20,6269,6874
"tama1317",2050,20,7828,2569
"tama1318",2050,20,7644,2927
"tama1319",2050,20,5365,2326
"tama132",2050,1,2049,1996
"tama1320",2050,20,6494,2378
"tama1321",2050,20,5284,836
"tama1322",2050,20,5540,815
"tama1323",2050,20,4316,653
"tama1324",2050,20,5963,841
"tama1325",2050,20,11522,1802
"tama1326",2050,20,7284,1380
"tama1327",2050,20,7284,1414
"tama1328",2050,20,11655,10874
"tama1329",2050,20,5063,825
"tama133",2050,1,2169,837
"tama1330",2050,20,3854,898
"tama1331",2050,20,11257,2556
"tama1332",2050,20,8357,1825
"tama1333",2050,20,11225,1411
"tama1334",2050,20,8494,1302
"tama1335",2050,20,6280,1528
"tama1336",2050,20,15307,2444
"tama1337",2050,20,12675,2321
"tama1338",2050,20,3545,781
"tama134",2050,1,2433,1928
"tama135",2050,1,1509,1161
"tama136",2050,1,2021,2519
"tama137",2050,1,2224,1265
"tama138",2050,1,2178,1738
"tama139",2050,1,2234,1362
"tama140",2050,1,2048,3504
"tama141",2050,1,799,1443
"tama142",2050,1,2214,4857
"tama143",2050,1,2850,1623
"tama144",2050,1,2552,3949
"tama145",2050,1,8100,2369
"tama146",2050,1,8292,1980
"tama147",2050,1,4248,1733
"tama148",2050,1,5095,2096
"tama149",2050,1,5916,4357
"tama150",2050,1,3005,4610
"tama151",2050,1,4374,4219
"tama152",2050,1,2264,3767
"tama153",2050,1,5550,2502
"tama154",2050,1,3965,1763
"tama155",2050,1,4407,3548
"tama156",2050,1,3380,923
"tama157",2050,1,375,3923
"tama158",2050,1,2686,2072
"tama159",2050,1,1204,8832
"tama160",2050,1,57,6022
"tama161",2050,1,31,7797
"tama162",2050,1,5543,5489
"tama163",2050,1,4531,5772
"tama164",2050,1,3206,3493
"tama165",2050,1,3572,4150
"tama166",2050,1,2703,9223
"tama167",2050,1,2559,2363
"tama168",2050,1,3850,3041
"tama169",2050,1,3262,1527
"tama170",2050,1,4115,1402
"tama171",2050,1,3856,2648
"tama172",2050,1,2633,2920
"tama173",2050,1,1194,3056
"tama174",2050,1,4971,2094
"tama175",2050,1,2424,1659
"tama176",2050,1,1125,3122
"tama177",2050,1,837,1676
"tama178",2050,1,1196,2409
"tama179",2050,1,579,11079
"tama180",2050,1,494,2219
"tama181",2050,1,1209,1796
"tama182",2050,1,1815,3354
"tama183",2050,1,2810,5392
"tama184",2050,1,3747,951
"tama185",2050,1,576,20860
"tama186",2050,1,0,1189
"tama187",2050,1,1293,2142
"tama188",2050,1,6137,6530
"tama189",2050,1,1998,17071
"tama190",2050,1,1487,14302
"tama191",2050,1,318,3942
"tama192",2050,1,2174,8208
"tama193",2050,1,407,4050
"tama194",2050,1,1851,15246
"tama195",2050,1,1294,12784
"tama196",2050,1,1933,15428
"tama197",2050,1,161,19238
"tama198",2050,1,2543,7835
"tama199",2050,1,182,13907
"tama200",2050,1,4930,11091
"tama201",2050,1,812,786
"tama202",2050,1,3152,12036
"tama203",2050,1,3288,13257
"tama204",2050,1,331,11032
"tama205",2050,1,3219,5307
"tama206",2050,1,6077,4791
"tama207",2050,1,2941,6967
"tama208",2050,1,5145,5678
"tama209",2050,1,4696,3954
"tama210",2050,1,3681,5318
"tama211",2050,1,1423,676
"tama212",2050,1,3555,1087
"tama213",2050,1,6979,2288
"tama214",2050,1,5048,4153
"tama215",2050,1,5012,3334
"tama216",2050,1,2834,16234
"tama217",2050,1,0,2945
"tama218",2050,1,7344,1870
"tama219",2050,1,6512,3934
"tama220",2050,1,10443,5471
"tama221",2050,1,4608,2823
"tama222",2050,1,6339,1758
"tama223",2050,1,2247,212
"tama224",2050,1,2519,1247
"tama225",2050,1,2098,964
"tama226",2050,1,8061,1747
"tama227",2050,1,5005,1436
"tama228",2050,1,4641,1272
"tama229",2050,1,7392,2453
"tama230",2050,1,0,527
"tama231",2050,1,0,643
"tama232",2050,1,3274,6056
"tama233",2050,1,1038,2391
"tama234",2050,1,3038,1797
"tama235",2050,1,1464,14577
"tama236",2050,1,3006,6429
"tama237",2050,1,977,3112
"tama238",2050,1,1491,8336
"tama239",2050,1,5976,2737
"tama240",2050,1,2722,2757
"tama241",2050,1,0,6952
"tama242",2050,1,2441,6417
"tama243",2050,1,3240,3020
"tama244",2050,1,6525,2541
"tama245",2050,1,2184,1901
"tama246",2050,1,7905,2502
"tama247",2050,1,3816,1253
"tama248",2050,1,2103,1769
"tama249",2050,1,9036,5745
"tama250",2050,1,6942,7308
"tama251",2050,1,579,7974
"tama252",2050,1,5133,11364
"tama253",2050,1,6063,9742
"tama254",2050,1,2820,1969
"tama255",2050,1,4001,1933
"tama256",2050,1,3896,1638
"tama257",2050,1,2954,871
"tama258",2050,1,3376,10905
"tama259",2050,1,1081,9488
"tama260",2050,1,3919,2228
"tama261",2050,1,3130,21549
"tama262",2050,1,18894,5801
"tama263",2050,1,7691,5253
"tama264",2050,1,6365,873
"tama265",2050,1,286,3562
"tama266",2050,4,3953,711
"tama267",2050,4,1876,310
"tama268",2050,1,6463,896
"tama269",2050,1,5251,2364
"tama270",2050,1,3529,1998
"tama271",2050,1,9076,1824
"tama272",2050,1,440,3548
"tama273",2050,1,10317,2398
"tama274",2050,1,3635,1617
"tama275",2050,1,5371,2868
"tama276",2050,1,1353,1190
"tama277",2050,1,5193,2017
"tama278",2050,1,3207,2548
"tama279",2050,1,3431,1173
"tama280",2050,1,3330,696
"tama281",2050,1,6864,1392
