"scenario","year","TZ28","pop","emp"
"tama577",2050,3,11223,4144
"tama578",2050,2,5594,1224
"tama579",2050,2,8193,1740
"tama580",2050,2,7288,4017
"tama581",2050,2,9054,1825
"tama582",2050,2,7947,2320
"tama583",2050,2,9040,1458
"tama584",2050,2,13582,1901
"tama585",2050,2,7405,869
"tama586",2050,2,4890,1716
"tama587",2050,2,4674,1164
"tama588",2050,2,5208,1299
"tama589",2050,2,6019,1281
"tama590",2050,2,4462,508
"tama591",2050,2,6433,1269
"tama592",2050,2,4317,1239
"tama593",2050,2,4697,962
"tama594",2050,2,6187,1482
"tama595",2050,2,10269,1230
"tama596",2050,2,4866,433
"tama597",2050,2,4550,674
"tama598",2050,2,4779,647
"tama599",2050,2,6289,436
"tama600",2050,2,3565,344
"tama601",2050,2,3510,1423
"tama602",2050,2,3147,915
"tama603",2050,2,496,770
"tama604",2050,2,5271,751
"tama605",2050,2,3624,466
"tama606",2050,2,4902,264
"tama607",2050,2,3272,449
"tama608",2050,2,11350,2549
"tama609",2050,2,7317,5362
"tama610",2050,2,5875,465
"tama611",2050,2,5608,724
"tama612",2050,2,10878,1029
"tama613",2050,2,12214,13342
"tama614",2050,2,2138,157
"tama615",2050,2,7517,651
"tama616",2050,2,9342,1276
"tama617",2050,2,15031,2507
"tama618",2050,2,4564,818
"tama619",2050,2,10422,3229
"tama620",2050,12,0,7465
"tama621",2050,12,62,28
"tama622",2050,12,650,15013
"tama623",2050,12,0,9013
"tama624",2050,12,1730,683
"tama625",2050,12,7094,1807
"tama626",2050,12,7094,1806
"tama627",2050,12,4739,1287
"tama628",2050,12,5018,4760
"tama629",2050,12,7742,3169
"tama630",2050,12,10094,4572
"tama631",2050,12,6063,943
"tama632",2050,12,4102,1188
"tama633",2050,12,10216,3912
"tama634",2050,12,7379,2663
"tama635",2050,12,4526,1706
"tama636",2050,12,5086,3131
"tama637",2050,12,3290,2248
"tama638",2050,12,3183,1033
"tama639",2050,12,4456,1408
"tama640",2050,12,10156,2214
"tama641",2050,12,8068,1722
"tama642",2050,12,5430,969
"tama643",2050,12,6638,5628
"tama644",2050,12,5665,1489
"tama645",2050,12,5917,2024
"tama646",2050,12,0,10410
"tama647",2050,12,4244,919
"tama648",2050,13,8677,2860
"tama649",2050,13,7034,1904
"tama650",2050,13,13372,4745
"tama651",2050,13,521,5348
"tama652",2050,13,1991,388
"tama653",2050,13,6117,1152
"tama654",2050,13,9099,1544
"tama655",2050,13,2457,1561
"tama656",2050,13,2839,683
"tama657",2050,13,2705,785
"tama658",2050,13,5171,747
"tama659",2050,13,7069,734
"tama660",2050,13,4336,357
"tama661",2050,13,0,8124
"tama662",2050,13,3171,5476
"tama663",2050,13,3477,813
"tama664",2050,13,3519,2354
"tama665",2050,13,4612,1235
"tama666",2050,13,3812,808
"tama667",2050,13,4572,969
"tama668",2050,13,5323,749
"tama669",2050,13,2353,19490
"tama670",2050,13,6520,1203
"tama671",2050,13,3288,841
"tama672",2050,13,4542,1241
"tama673",2050,13,6055,1584
"tama674",2050,13,5026,2756
"tama675",2050,13,2979,851
"tama676",2050,13,2674,1411
"tama677",2050,13,3976,1359
"tama678",2050,13,3670,1958
"tama679",2050,13,3605,409
"tama680",2050,13,2575,697
"tama681",2050,13,4047,1330
"tama682",2050,13,146,4233
"tama683",2050,13,4982,774
"tama684",2050,24,611,10533
"tama685",2050,12,736,818
"tama686",2050,10,3172,803
"tama687",2050,10,713,992
"tama688",2050,10,3054,513
"tama689",2050,11,5447,2035
"tama690",2050,10,9895,2870
"tama691",2050,10,5939,1229
"tama692",2050,10,5244,1126
"tama693",2050,10,8701,6256
"tama694",2050,10,4310,1239
"tama695",2050,10,4738,847
"tama696",2050,10,5714,1053
"tama697",2050,10,10264,7804
"tama698",2050,10,7513,2035
"tama699",2050,10,4057,3443
"tama70",2050,1,18089,10786
"tama700",2050,10,16474,5676
"tama701",2050,10,8213,2529
"tama702",2050,10,3204,1444
"tama703",2050,10,7531,3035
"tama704",2050,10,14009,3914
"tama705",2050,10,18235,9517
"tama706",2050,10,5864,2551
"tama707",2050,10,2635,1272
"tama708",2050,10,21537,6052
"tama709",2050,10,0,7710
"tama71",2050,1,2866,8320
"tama710",2050,10,0,11952
"tama711",2050,8,7900,2365
"tama712",2050,8,2644,1886
"tama713",2050,8,0,1588
"tama714",2050,8,2644,529
"tama715",2050,8,5223,1575
"tama716",2050,8,7138,1595
"tama717",2050,8,13711,2153
"tama718",2050,8,14855,478
"tama719",2050,8,0,9178
"tama72",2050,1,7904,5514
"tama720",2050,8,0,27943
"tama721",2050,8,7426,2431
"tama722",2050,8,8139,1004
"tama723",2050,8,8293,2588
"tama724",2050,8,18519,3478
"tama725",2050,8,0,3314
"tama726",2050,8,8500,2799
"tama727",2050,8,19228,4029
"tama728",2050,8,0,10101
"tama729",2050,8,0,16628
"tama73",2050,1,6086,941
"tama730",2050,8,0,17095
"tama731",2050,8,0,24268
"tama732",2050,8,3041,4315
"tama733",2050,8,0,12314
"tama734",2050,8,0,6802
"tama735",2050,8,1006,17217
"tama736",2050,8,2074,8019
"tama737",2050,8,5823,1493
"tama738",2050,8,5580,1677
"tama739",2050,8,8529,5220
"tama74",2050,1,9113,2253
"tama740",2050,8,7667,3721
"tama741",2050,8,3349,315
"tama742",2050,8,9357,2074
"tama743",2050,8,10405,2273
"tama744",2050,8,9530,2045
"tama745",2050,8,22934,22911
"tama746",2050,8,7493,2129
"tama747",2050,8,13414,5451
"tama748",2050,8,5949,1480
"tama749",2050,8,4355,890
"tama75",2050,1,6358,7042
"tama750",2050,8,7039,1079
"tama751",2050,8,3805,477
"tama752",2050,8,4668,784
"tama753",2050,8,8860,12679
"tama754",2050,8,3757,983
"tama755",2050,8,4884,743
"tama756",2050,8,3791,526
"tama757",2050,8,7539,2283
"tama758",2050,8,9500,2900
"tama759",2050,8,6175,1866
"tama76",2050,1,6394,3155
"tama760",2050,8,4657,3351
"tama761",2050,8,4843,2228
"tama762",2050,8,2809,829
"tama763",2050,8,11350,2063
"tama764",2050,8,4108,287
"tama765",2050,8,8714,2766
"tama766",2050,8,9222,3173
"tama767",2050,8,9244,5072
"tama768",2050,8,4337,395
"tama769",2050,8,5330,970
"tama77",2050,1,2320,1131
"tama770",2050,8,4936,868
"tama771",2050,8,7307,1280
"tama772",2050,8,10547,3973
"tama773",2050,8,8610,1386
"tama774",2050,8,4330,2278
"tama775",2050,8,9164,1432
"tama776",2050,8,21684,2172
"tama777",2050,8,10397,1332
"tama778",2050,8,7538,1509
"tama779",2050,8,5163,731
"tama78",2050,1,1837,1758
"tama780",2050,8,6954,1119
"tama781",2050,8,7307,1467
"tama782",2050,7,15852,3665
"tama783",2050,7,11900,5444
"tama784",2050,7,6574,3889
"tama785",2050,7,9881,1544
"tama786",2050,7,12334,4325
"tama787",2050,7,4864,1482
"tama788",2050,7,9698,1216
"tama789",2050,7,7936,1383
"tama79",2050,1,7536,4110
"tama790",2050,7,6158,865
"tama791",2050,7,3528,709
"tama792",2050,7,2796,1249
"tama793",2050,7,13107,3878
"tama794",2050,7,5497,1186
"tama795",2050,7,12431,3812
"tama796",2050,7,1501,180
"tama797",2050,7,6505,663
"tama798",2050,7,6702,1282
"tama799",2050,7,0,5982
"tama80",2050,1,22183,6694
"tama800",2050,7,5867,4531
"tama801",2050,7,17793,5131
"tama802",2050,7,2237,247
"tama803",2050,7,6234,2887
"tama804",2050,7,3524,516
"tama805",2050,7,0,2710
"tama806",2050,16,0,9482
"tama807",2050,16,0,31859
"tama808",2050,15,15057,6986
"tama809",2050,7,2099,672
"tama81",2050,1,6287,3113
"tama810",2050,15,1681,1042
"tama811",2050,7,988,474
"tama812",2050,15,1605,940
"tama813",2050,15,12344,5039
"tama814",2050,15,16439,17035
"tama815",2050,15,4705,1988
"tama816",2050,15,3634,2211
"tama817",2050,17,4105,566
"tama818",2050,17,7280,7736
"tama819",2050,17,682,21957
"tama82",2050,1,8294,2260
"tama820",2050,17,11242,7756
"tama821",2050,17,8983,4192
"tama822",2050,17,10749,2131
"tama823",2050,17,5386,1642
"tama824",2050,17,2118,825
"tama825",2050,17,1970,409
"tama826",2050,17,7401,8540
"tama827",2050,17,12827,8591
"tama828",2050,17,5925,2408
"tama829",2050,17,6730,851
"tama83",2050,1,569,6876
"tama830",2050,17,5089,1056
"tama831",2050,17,7074,1114
"tama832",2050,17,3628,783
"tama833",2050,17,4786,1775
"tama834",2050,17,323,662
"tama835",2050,17,7938,1686
"tama836",2050,17,6880,1059
"tama837",2050,17,7627,8023
"tama838",2050,17,7601,821
"tama839",2050,17,5773,814
"tama84",2050,1,5543,1635
"tama840",2050,17,4781,1102
"tama841",2050,17,4812,802
"tama842",2050,17,8357,6661
"tama843",2050,17,4144,1046
"tama844",2050,17,9209,759
"tama845",2050,17,0,4252
"tama846",2050,17,2877,7574
"tama847",2050,17,5044,511
"tama848",2050,17,2970,3690
"tama849",2050,17,7067,1373
"tama85",2050,1,5485,30559
"tama850",2050,17,7519,1522
"tama851",2050,17,5602,903
"tama852",2050,17,17073,6165
"tama853",2050,17,4782,428
"tama854",2050,17,5115,925
"tama855",2050,17,7309,884
"tama856",2050,17,6015,824
"tama857",2050,17,1786,2322
"tama858",2050,17,1371,1868
"tama859",2050,17,471,3444
"tama86",2050,1,0,5963
"tama860",2050,17,2577,6752
"tama861",2050,17,9819,1829
"tama862",2050,17,6734,818
"tama863",2050,6,0,482
"tama864",2050,6,17310,2754
"tama865",2050,6,0,13042
"tama866",2050,6,0,1331
"tama867",2050,6,20148,5562
"tama868",2050,6,9122,3455
"tama869",2050,6,3815,1140
"tama87",2050,1,6513,3333
"tama870",2050,6,8517,1955
"tama871",2050,6,0,23512
"tama872",2050,6,0,14391
"tama873",2050,6,10735,12133
"tama874",2050,6,6581,431
"tama875",2050,6,6151,967
"tama876",2050,6,10583,466
"tama877",2050,6,7537,430
"tama878",2050,6,5373,1021
"tama879",2050,6,13675,3113
"tama88",2050,1,7805,6986
"tama880",2050,6,6923,2310
"tama881",2050,6,0,12906
"tama882",2050,6,511,0
"tama883",2050,6,11228,4380
"tama884",2050,6,7488,484
"tama885",2050,6,8543,1180
"tama886",2050,6,5728,941
"tama887",2050,6,4389,569
"tama888",2050,6,5231,1778
"tama889",2050,6,6129,998
"tama89",2050,1,15053,11589
"tama890",2050,6,4403,337
"tama891",2050,6,4331,1084
"tama892",2050,6,2019,343
"tama893",2050,6,7411,2157
"tama894",2050,6,10608,2534
"tama895",2050,6,8721,1325
"tama896",2050,6,5533,328
"tama897",2050,6,10294,7078
"tama898",2050,6,7080,293
"tama899",2050,6,8594,1120
"tama90",2050,1,0,3485
"tama900",2050,6,4969,516
"tama901",2050,6,4535,730
"tama902",2050,6,4202,983
"tama903",2050,6,4570,1494
"tama904",2050,6,4194,1207
"tama905",2050,6,3471,454
"tama906",2050,6,3443,7210
"tama907",2050,6,4170,16565
"tama908",2050,6,4615,3458
"tama909",2050,6,7235,3319
"tama91",2050,1,0,1124
"tama910",2050,6,3191,962
"tama911",2050,6,6291,497
"tama912",2050,6,6690,794
"tama913",2050,6,8135,1080
"tama914",2050,6,11429,1863
"tama915",2050,6,6520,1885
"tama916",2050,6,3306,592
"tama917",2050,6,12370,2554
"tama918",2050,6,6140,1152
"tama919",2050,6,7538,823
"tama92",2050,1,8788,3075
"tama920",2050,6,10870,1473
"tama921",2050,6,4807,913
"tama922",2050,6,5586,1791
"tama923",2050,6,2841,688
"tama924",2050,6,5086,585
"tama925",2050,6,0,7116
"tama926",2050,6,0,236
"tama927",2050,6,7099,1626
"tama928",2050,6,0,24
"tama929",2050,15,1499,6757
"tama93",2050,1,2546,2516
"tama930",2050,15,7413,3921
"tama931",2050,15,10590,3366
"tama932",2050,15,25901,8849
"tama933",2050,15,7267,7102
"tama934",2050,15,17855,4716
"tama935",2050,15,28296,10943
"tama936",2050,14,3462,547
"tama937",2050,14,621,93
"tama938",2050,14,8933,675
"tama939",2050,14,4674,3415
"tama94",2050,1,0,3529
"tama940",2050,14,8639,1909
"tama941",2050,14,10301,2192
"tama942",2050,14,8069,840
"tama943",2050,14,4126,960
"tama944",2050,14,3550,824
"tama945",2050,14,3116,938
"tama946",2050,14,3644,1083
"tama947",2050,14,5346,570
"tama948",2050,14,4211,7692
"tama949",2050,14,0,4643
"tama95",2050,1,0,2061
"tama950",2050,14,0,10805
"tama951",2050,14,14248,1323
"tama952",2050,14,2069,308
"tama953",2050,14,0,36467
"tama954",2050,14,6737,979
"tama955",2050,14,0,2891
"tama956",2050,14,384,1453
"tama957",2050,14,3636,141
"tama958",2050,14,9425,2460
"tama959",2050,14,9657,2236
"tama96",2050,1,551,1041
"tama960",2050,14,5189,1091
"tama961",2050,14,4098,2201
"tama962",2050,14,4875,815
"tama963",2050,14,4595,571
"tama964",2050,14,5359,1927
"tama965",2050,14,5015,1952
"tama966",2050,14,0,3234
"tama967",2050,14,4241,649
"tama968",2050,14,11949,7140
"tama969",2050,14,10490,2236
"tama97",2050,1,7987,2480
"tama970",2050,14,8547,236
"tama971",2050,14,3610,621
"tama972",2050,14,2873,4845
"tama973",2050,14,3938,2303
"tama974",2050,14,5621,4031
"tama975",2050,14,5000,585
"tama976",2050,14,4594,665
"tama977",2050,14,7940,741
"tama978",2050,14,9425,2460
"tama979",2050,14,3627,487
"tama98",2050,1,7769,1863
"tama980",2050,14,9465,1122
"tama981",2050,14,8426,1725
"tama982",2050,14,9259,1287
"tama983",2050,14,11118,1039
"tama984",2050,14,6974,971
"tama985",2050,14,7588,900
"tama986",2050,14,5968,923
"tama987",2050,14,20667,11776
"tama988",2050,14,9179,2284
"tama989",2050,14,5064,950
"tama99",2050,1,7851,1667
"tama990",2050,14,4329,558
"tama991",2050,14,1338,4784
"tama992",2050,21,9801,1552
"tama993",2050,21,8092,1579
"tama994",2050,21,0,3494
"tama995",2050,21,9587,1499
"tama996",2050,26,4492,956
"tama997",2050,26,6905,5887
"tama998",2050,26,0,3945
"tama999",2050,26,4034,1634
"trends",2050,1,726662,696159
"trends",2050,10,162701,75281
"trends",2050,11,135392,86110
"trends",2050,12,88165,53672
"trends",2050,13,174132,72718
"trends",2050,14,333832,156202
"trends",2050,15,123417,60099
"trends",2050,16,0,48515
"trends",2050,17,204980,95784
"trends",2050,18,131368,40608
"trends",2050,19,98642,43831
"trends",2050,2,118474,31495
"trends",2050,20,273817,110562
"trends",2050,21,140731,51703
"trends",2050,22,140910,53667
"trends",2050,23,144740,48021
"trends",2050,24,292211,119835
"trends",2050,25,361635,175519
"trends",2050,26,66402,29490
"trends",2050,27,184819,75089
"trends",2050,28,205753,59721
"trends",2050,3,276227,109887
"trends",2050,4,286255,140466
"trends",2050,5,306735,114638
"trends",2050,6,290532,124524
"trends",2050,7,310836,129490
"trends",2050,8,428947,257347
"trends",2050,9,68449,26932
