scenario,year,taz,pop,emp
conv,2050,2002,3079,1346
conv,2050,2003,2594,517
conv,2050,2004,7827,2703
conv,2050,2005,4510,2368
conv,2050,2006,0,1944
conv,2050,2007,4209,1025
conv,2050,2008,3579,638
conv,2050,2009,9013,3188
conv,2050,2010,5145,1632
conv,2050,2011,4937,1111
conv,2050,2012,3210,314
conv,2050,2013,4210,2836
conv,2050,2014,3056,595
conv,2050,2015,3183,2044
conv,2050,2016,3379,2191
conv,2050,2017,5809,851
conv,2050,2018,3608,651
conv,2050,2019,0,141
conv,2050,2020,3800,1717
conv,2050,2021,0,8034
conv,2050,2022,2831,1044
conv,2050,2023,3798,5699
conv,2050,2024,0,1152
conv,2050,2025,8013,9309
conv,2050,2026,0,13344
conv,2050,2027,0,17816
conv,2050,2028,0,2642
conv,2050,2029,2992,777
conv,2050,2030,4059,692
conv,2050,2031,5139,3782
conv,2050,2032,2260,2439
conv,2050,2033,5638,1583
conv,2050,2034,4713,1056
conv,2050,2035,6176,2085
conv,2050,2036,7730,2531
conv,2050,2037,4828,1931
conv,2050,2038,5741,1302
conv,2050,2039,3822,923
conv,2050,2040,3875,1342
conv,2050,2041,5121,1333
conv,2050,2042,4036,1220
conv,2050,2043,1769,2818
conv,2050,2044,0,8583
conv,2050,2045,13448,4720
conv,2050,2046,7551,5124
conv,2050,2047,6664,2228
conv,2050,2048,4388,2648
conv,2050,2101,121,2298
conv,2050,2102,0,4246
conv,2050,2103,2438,1034
conv,2050,2104,3424,1504
conv,2050,2105,4260,2973
conv,2050,2106,4572,1428
conv,2050,2107,16160,6270
conv,2050,2108,15024,6058
conv,2050,2109,4565,1531
conv,2050,2110,4144,1688
conv,2050,2111,3842,1535
conv,2050,2112,1398,288
conv,2050,2113,5854,1450
conv,2050,2114,1852,381
conv,2050,2115,4748,1602
conv,2050,2116,4613,1495
conv,2050,2117,9345,3440
conv,2050,2118,0,1218
conv,2050,2119,4063,1487
conv,2050,2120,5822,2915
conv,2050,2121,3554,725
conv,2050,2122,5604,1856
conv,2050,2123,4475,633
conv,2050,2125,0,6498
conv,2050,2126,5077,1858
conv,2050,2127,1014,237
conv,2050,2201,10627,3181
conv,2050,2202,962,9768
conv,2050,2203,1215,7786
conv,2050,2204,8675,2282
conv,2050,2205,3378,550
conv,2050,2206,4542,822
conv,2050,2207,8533,1126
conv,2050,2208,151,5494
conv,2050,2209,301,5540
conv,2050,2210,470,7115
conv,2050,2211,4855,1145
conv,2050,2212,7954,2085
conv,2050,2213,10732,1906
conv,2050,2214,9811,1990
conv,2050,2215,2148,1345
conv,2050,2216,9659,1640
conv,2050,2217,10160,2918
conv,2050,2218,10371,2112
conv,2050,2219,3786,774
conv,2050,2220,12393,3063
conv,2050,2221,8936,1636
conv,2050,2222,2232,473
conv,2050,2223,5422,2745
conv,2050,2224,4090,1109
conv,2050,2225,2982,570
conv,2050,2226,6902,1846
conv,2050,2227,9341,2619
conv,2050,2228,6990,1219
conv,2050,2229,7943,3339
conv,2050,2230,5841,745
conv,2050,2231,6987,835
conv,2050,2232,3036,466
conv,2050,2233,5461,557
conv,2050,2234,7093,686
conv,2050,2235,2672,7270
conv,2050,2236,287,3043
conv,2050,2237,9767,1758
conv,2050,2238,7919,1018
conv,2050,2239,4042,1025
conv,2050,2240,6466,1218
conv,2050,2301,984,1040
conv,2050,2302,9578,1139
conv,2050,2303,8956,1925
conv,2050,2304,3608,1002
conv,2050,2305,5870,1232
conv,2050,2306,3907,2655
conv,2050,2307,12123,3010
conv,2050,2308,9061,1560
conv,2050,2309,11886,2644
conv,2050,2310,4116,926
conv,2050,2311,5657,660
conv,2050,2312,6852,3051
conv,2050,2313,0,5324
conv,2050,2314,4746,1110
conv,2050,2315,12273,2069
conv,2050,2316,1373,4388
conv,2050,2317,4318,873
conv,2050,2401,0,5298
conv,2050,2402,6942,2134
conv,2050,2403,6800,1392
conv,2050,2404,3583,2740
conv,2050,2405,7082,1059
conv,2050,2406,4072,628
conv,2050,2407,5732,1066
conv,2050,2408,2669,210
conv,2050,2409,4461,1512
conv,2050,2410,0,21568
conv,2050,2411,0,22344
conv,2050,2412,2106,6491
conv,2050,2413,1612,7359
conv,2050,2414,5208,704
conv,2050,2415,5344,1107
conv,2050,2416,7588,2469
conv,2050,2417,3369,2423
conv,2050,2418,6258,1620
conv,2050,2419,2665,987
conv,2050,2420,3222,747
conv,2050,2421,4138,450
conv,2050,2422,3509,466
conv,2050,2423,5323,2952
conv,2050,2424,4724,731
conv,2050,2425,4931,5737
conv,2050,2426,3535,321
conv,2050,2427,1888,581
conv,2050,2428,8507,1315
conv,2050,2429,5257,793
conv,2050,2430,7442,655
conv,2050,2431,7447,1126
conv,2050,2432,4478,726
conv,2050,2433,8113,882
conv,2050,2434,1936,5435
conv,2050,2435,4739,678
conv,2050,2436,8484,517
conv,2050,2437,8862,1916
conv,2050,2438,8350,694
conv,2050,2439,6291,492
conv,2050,2440,6497,784
conv,2050,2441,3182,596
conv,2050,2442,3182,596
conv,2050,2443,4701,581
conv,2050,2444,7003,619
conv,2050,2445,4946,6078
conv,2050,2446,514,354
conv,2050,2447,802,345
conv,2050,2448,8155,1950
conv,2050,2449,5571,1248
conv,2050,2450,1061,810
conv,2050,2451,3182,771
conv,2050,2452,10390,1517
conv,2050,2453,0,88
conv,2050,2454,16700,7921
conv,2050,2455,2225,14151
conv,2050,2456,16305,6885
conv,2050,2457,6672,2441
conv,2050,2458,11251,5619
conv,2050,2501,5117,495
conv,2050,2502,5785,1775
conv,2050,2503,4419,2321
conv,2050,2504,3412,623
conv,2050,2505,4585,4266
conv,2050,2506,4037,1466
conv,2050,2507,4955,548
conv,2050,2508,2123,272
conv,2050,2509,1426,968
conv,2050,2510,4996,948
conv,2050,2511,3134,857
conv,2050,2601,5479,1743
conv,2050,2602,1881,755
conv,2050,2603,1416,4334
conv,2050,2604,1467,520
conv,2050,2605,3330,678
conv,2050,2606,2334,282
conv,2050,2607,4543,1307
conv,2050,2608,2208,387
conv,2050,2609,4074,835
conv,2050,2610,7699,1086
conv,2050,2611,2709,326
conv,2050,2612,0,1637
conv,2050,2613,0,1638
conv,2050,2614,3315,1289
conv,2050,2615,0,9256
conv,2050,2616,7481,864
conv,2050,2618,0,4392
conv,2050,2701,6195,8106
conv,2050,2702,3967,2091
conv,2050,2703,4640,1008
conv,2050,2704,5273,723
conv,2050,2801,386,160
conv,2050,2806,0,167
conv,2050,2807,5476,595
conv,2050,2808,0,5213
conv,2050,2809,5488,652
conv,2050,2810,4533,220
conv,2050,2811,4299,380
conv,2050,2812,3413,1916
conv,2050,2813,2301,11489
conv,2050,2814,2113,4182
conv,2050,2815,2436,853
conv,2050,2816,3495,1122
conv,2050,2817,3082,956
conv,2050,2818,2402,301
conv,2050,2819,3777,2136
conv,2050,2820,1957,1119
conv,2050,2821,3507,1117
conv,2050,2822,2596,1564
conv,2050,2823,3951,582
conv,2050,2824,4642,548
conv,2050,2825,2634,415
conv,2050,2826,2368,384
conv,2050,2827,3178,1634
conv,2050,2828,3993,442
conv,2050,2829,4278,2873
conv,2050,2830,2070,880
conv,2050,2831,5347,1043
conv,2050,2832,2591,304
conv,2050,2833,3159,491
conv,2050,2834,3581,551
conv,2050,2835,2411,467
conv,2050,2836,5119,2044
conv,2050,2837,4556,914
conv,2050,2838,0,8493
conv,2050,2839,0,2983
conv,2050,2840,2161,147
conv,2050,2841,2974,321
conv,2050,2842,1636,128
conv,2050,2843,1849,323
conv,2050,2844,5987,1885
conv,2050,2845,11177,354
conv,2050,2846,642,1062
conv,2050,2847,3022,326
conv,2050,2848,4261,927
conv,2050,2849,5948,1322
conv,2050,2850,5132,1274
conv,2050,2851,5017,487
conv,2050,2852,4537,628
conv,2050,2853,4327,544
conv,2050,2854,12204,1209
conv,2050,2855,3349,724
conv,2050,2856,4372,322
conv,2050,2857,4479,297
conv,2050,2858,2281,795
conv,2050,2859,3887,786
conv,2050,2860,4301,278
conv,2050,2861,336,259
conv,2050,2862,0,6849
conv,2050,2863,0,4908
conv,2050,2864,0,11
conv,2050,2865,5373,2181
conv,2050,2866,3517,1200
conv,2050,2867,1378,255
conv,2050,2868,5182,843
conv,2050,2869,6029,1017
conv,2050,2870,3332,279
conv,2050,2871,6058,1917
conv,2050,2872,12116,3823
conv,2050,2873,4131,1309
conv,2050,2874,8260,2611
conv,2050,2901,4648,938
conv,2050,2902,5547,1107
conv,2050,2903,4939,4008
conv,2050,2904,5973,1079
conv,2050,2905,5903,1523
conv,2050,2906,6976,1033
conv,2050,2907,10142,1263
conv,2050,2908,5843,626
conv,2050,2909,3372,1213
conv,2050,2910,3197,746
conv,2050,2911,3908,816
conv,2050,2912,4202,859
conv,2050,2913,3239,329
conv,2050,2914,5458,955
conv,2050,2915,3738,952
conv,2050,2916,3969,733
conv,2050,2917,4286,973
conv,2050,2918,7582,832
conv,2050,2919,5119,391
conv,2050,2920,3694,470
conv,2050,2921,5609,654
conv,2050,2922,6176,372
conv,2050,2923,3925,325
conv,2050,2924,2904,970
conv,2050,2925,2788,578
conv,2050,2926,340,388
conv,2050,2927,4249,415
conv,2050,2928,3127,361
conv,2050,2929,4021,199
conv,2050,2930,3270,433
conv,2050,2931,10600,2150
conv,2050,2932,4777,3435
conv,2050,2933,4340,320
conv,2050,2934,3637,471
conv,2050,2935,9384,783
conv,2050,2936,1704,9756
conv,2050,2937,2819,238
conv,2050,2938,8412,754
conv,2050,2940,8900,1036
conv,2050,2941,13044,1953
conv,2050,2942,3433,551
conv,2050,2943,10687,3237
conv,2050,3001,0,6643
conv,2050,3003,59,23
conv,2050,3005,678,12815
conv,2050,3006,0,9093
conv,2050,3007,1602,598
conv,2050,3008,6570,1582
conv,2050,3009,6570,1582
conv,2050,3010,4389,1126
conv,2050,3011,4169,3672
conv,2050,3012,7014,2690
conv,2050,3013,9307,3990
conv,2050,3014,5667,833
conv,2050,3015,3799,1042
conv,2050,3016,9823,3578
conv,2050,3017,6649,2245
conv,2050,3018,3265,1011
conv,2050,3019,4248,2704
conv,2050,3020,2830,1954
conv,2050,3021,2712,908
conv,2050,3022,3477,1034
conv,2050,3023,8295,1635
conv,2050,3025,7209,1475
conv,2050,3026,5137,866
conv,2050,3027,5241,4620
conv,2050,3028,4243,936
conv,2050,3029,4364,1097
conv,2050,3030,0,5979
conv,2050,3031,3930,803
conv,2050,3101,9052,2814
conv,2050,3102,6411,1595
conv,2050,3103,12187,3973
conv,2050,3104,207,3886
conv,2050,3105,1822,325
conv,2050,3106,5575,965
conv,2050,3107,8293,1293
conv,2050,3108,2240,1307
conv,2050,3109,2588,571
conv,2050,3110,2543,709
conv,2050,3111,4713,625
conv,2050,3112,6456,616
conv,2050,3113,4164,437
conv,2050,3114,0,7619
conv,2050,3115,3135,5735
conv,2050,3116,3454,846
conv,2050,3117,3273,1857
conv,2050,3118,4259,1058
conv,2050,3119,3902,818
conv,2050,3120,4167,811
conv,2050,3121,4834,625
conv,2050,3122,2293,14365
conv,2050,3123,6751,1247
conv,2050,3124,3183,777
conv,2050,3125,3991,1021
conv,2050,3126,5866,1343
conv,2050,3127,5026,2354
conv,2050,3128,3006,744
conv,2050,3129,2617,1192
conv,2050,3130,3923,1297
conv,2050,3131,3465,1741
conv,2050,3132,3870,506
conv,2050,3133,2560,841
conv,2050,3134,3868,1692
conv,2050,3135,121,2468
conv,2050,3136,4066,515
conv,2050,3137,401,8003
conv,2050,3201,677,704
conv,2050,3202,3199,792
conv,2050,3203,664,998
conv,2050,3204,2636,448
conv,2050,3205,4492,1552
conv,2050,3301,8624,3107
conv,2050,3302,5154,1097
conv,2050,3303,4643,1009
conv,2050,3304,8348,5942
conv,2050,3305,4075,1140
conv,2050,3306,4112,755
conv,2050,3307,4959,940
conv,2050,3308,9103,7469
conv,2050,3309,6846,2015
conv,2050,3310,3521,3073
conv,2050,3311,14298,5065
conv,2050,3312,7198,2264
conv,2050,3313,3290,1361
conv,2050,3314,7429,2897
conv,2050,3315,14103,3923
conv,2050,3316,4699,4310
conv,2050,3317,6332,2634
conv,2050,3319,2287,1135
conv,2050,3320,18076,5483
conv,2050,3321,0,6880
conv,2050,3324,0,8822
conv,2050,4002,5289,1630
conv,2050,4003,2141,1453
conv,2050,4004,0,1223
conv,2050,4005,2141,407
conv,2050,4007,4231,1213
conv,2050,4008,5781,1228
conv,2050,4009,11106,1657
conv,2050,4010,10397,339
conv,2050,4012,0,5008
conv,2050,4013,0,14256
conv,2050,4014,6003,1873
conv,2050,4015,6298,785
conv,2050,4016,6466,1153
conv,2050,4017,14777,1649
conv,2050,4018,0,2443
conv,2050,4019,7777,2061
conv,2050,4020,16613,3422
conv,2050,4021,0,8713
conv,2050,4022,0,15869
