scenario,year,taz,pop,emp
conv,2050,6116,3240,708
conv,2050,6117,3447,7211
conv,2050,6118,3842,526
conv,2050,6119,4962,1555
conv,2050,6120,5074,1596
conv,2050,6121,189,5261
conv,2050,6122,1050,1274
conv,2050,6123,7467,3518
conv,2050,6124,5748,929
conv,2050,6125,2460,363
conv,2050,6126,3142,268
conv,2050,6127,4587,648
conv,2050,6128,4096,573
conv,2050,6129,2191,376
conv,2050,6130,2191,376
conv,2050,6131,2879,555
conv,2050,6132,1370,374
conv,2050,6133,2761,309
conv,2050,6134,8184,1271
conv,2050,6135,0,5221
conv,2050,6136,189,5261
conv,2050,6137,189,5261
conv,2050,6138,5509,1952
conv,2050,6139,7812,1772
conv,2050,6140,6229,455
conv,2050,6141,5485,3017
conv,2050,6142,1338,4070
conv,2050,6143,5700,597
conv,2050,6144,13605,4787
conv,2050,6145,5830,1714
conv,2050,6146,5908,1734
conv,2050,6147,8100,2373
conv,2050,6148,5074,857
conv,2050,6149,3512,10721
conv,2050,6150,4542,192
conv,2050,6151,14300,812
conv,2050,6152,4497,2137
conv,2050,6153,4964,717
conv,2050,6154,3736,436
conv,2050,6155,3925,331
conv,2050,6156,2510,318
conv,2050,6157,4090,430
conv,2050,6158,5422,300
conv,2050,6159,3249,527
conv,2050,6160,3864,854
conv,2050,6161,0,11185
conv,2050,6162,0,6034
conv,2050,6163,0,6070
conv,2050,6164,0,14161
conv,2050,6165,1723,182
conv,2050,6166,3093,53
conv,2050,6167,5549,554
conv,2050,6168,8446,1840
conv,2050,6169,7033,2323
conv,2050,6170,3973,501
conv,2050,6171,0,164
conv,2050,6201,8612,2586
conv,2050,6202,13779,3378
conv,2050,6203,29332,8150
conv,2050,6204,2928,3280
conv,2050,6301,7349,1886
conv,2050,6302,12793,6400
conv,2050,6303,4737,933
conv,2050,6304,6127,1300
conv,2050,6305,6059,1788
conv,2050,6306,4512,2272
conv,2050,6307,1691,690
conv,2050,6308,2471,3365
conv,2050,6309,2824,492
conv,2050,6310,5837,1418
conv,2050,6311,2277,1466
conv,2050,6312,5635,1730
conv,2050,6402,9319,2149
conv,2050,6403,0,8682
conv,2050,6404,5985,659
conv,2050,6405,9229,2344
conv,2050,6410,8354,5061
conv,2050,6411,8133,2213
conv,2050,6420,10467,2589
conv,2050,6421,7093,2844
conv,2050,6501,19169,6264
conv,2050,6502,7006,1249
conv,2050,6503,6153,1126
conv,2050,6510,9764,1778
conv,2050,6511,7505,2756
conv,2050,6512,4313,86
conv,2050,6513,25373,5271
conv,2050,6514,0,534
conv,2050,6515,13045,6368
conv,2050,6516,15669,3369
conv,2050,6520,4410,816
conv,2050,6521,6993,1409
conv,2050,6522,4575,1194
conv,2050,6523,9494,215
conv,2050,6524,4575,2034
conv,2050,6525,2251,244
conv,2050,6526,1369,115
conv,2050,6527,3847,340
conv,2050,6601,3773,1880
conv,2050,6602,2240,840
conv,2050,6603,1505,969
conv,2050,6604,1643,7312
conv,2050,6605,3684,2503
conv,2050,6606,4607,7614
conv,2050,6701,9218,1716
conv,2050,6702,10132,2953
conv,2050,6703,5169,1019
conv,2050,6704,1015,1193
conv,2050,6705,3663,1010
conv,2050,6706,1519,585
conv,2050,6707,464,1001
conv,2050,6708,10154,3715
conv,2050,7001,2609,1348
conv,2050,7002,2046,647
conv,2050,7003,12367,2109
conv,2050,7004,666,1370
conv,2050,7005,2326,1131
conv,2050,7006,3253,1018
conv,2050,7007,8641,2108
conv,2050,7008,1131,467
conv,2050,7009,2879,1135
conv,2050,7010,1726,696
conv,2050,7011,2604,1601
conv,2050,7012,13356,4325
conv,2050,7013,803,1436
conv,2050,7101,21516,4080
conv,2050,7110,10075,3097
conv,2050,7120,0,10380
conv,2050,7121,10311,2811
conv,2050,7122,6092,590
conv,2050,7123,15312,3920
conv,2050,7124,18545,4484
conv,2050,7125,0,3575
conv,2050,7201,0,2503
conv,2050,7202,1783,5274
conv,2050,7203,0,16810
conv,2050,7205,4188,324
conv,2050,7206,8409,2067
conv,2050,7207,5103,1437
conv,2050,7208,6512,853
conv,2050,7209,8313,1513
conv,2050,7210,5882,1137
conv,2050,7211,14025,2741
conv,2050,7212,7326,1324
conv,2050,7213,5981,486
conv,2050,7214,14114,1906
conv,2050,7215,10887,997
conv,2050,7216,19320,6466
conv,2050,7217,934,158
conv,2050,7301,19990,9642
conv,2050,7302,7004,776
conv,2050,7303,5329,1248
conv,2050,7304,12857,1138
conv,2050,7305,14679,2571
conv,2050,7401,5479,2100
conv,2050,7402,6620,1260
conv,2050,7403,4193,2521
conv,2050,7404,4698,2521
conv,2050,7405,871,689
conv,2050,7501,5342,5572
conv,2050,7502,0,1075
conv,2050,7503,0,385
conv,2050,7504,0,2223
conv,2050,7505,4146,1112
conv,2050,7506,975,597
conv,2050,7507,1156,363
conv,2050,7508,0,9017
conv,2050,7509,901,718
conv,2050,7510,887,230
conv,2050,7511,6158,3375
conv,2050,7512,1374,522
conv,2050,7513,1921,887
conv,2050,7514,254,365
conv,2050,7515,3468,1999
conv,2050,7601,12175,1643
conv,2050,7602,12320,14827
conv,2050,7603,6975,4149
conv,2050,7604,5525,1394
conv,2050,7605,8755,2630
conv,2050,7606,8110,107
conv,2050,7607,7114,1593
conv,2050,7608,5033,581
conv,2050,7609,6732,920
conv,2050,7610,63,18668
conv,2050,7611,7535,364
conv,2050,7612,9372,485
conv,2050,7613,9551,364
conv,2050,7614,9117,739
conv,2050,7615,5967,739
conv,2050,7616,7780,2155
conv,2050,7617,0,2625
conv,2050,7619,5835,1492
conv,2050,7630,2360,2823
conv,2050,7631,5852,1958
conv,2050,8001,1149,1200
conv,2050,8002,1410,474
conv,2050,8003,6074,2944
conv,2050,8004,0,4123
conv,2050,8005,7999,3650
conv,2050,8006,5584,1935
conv,2050,8007,1751,904
conv,2050,8008,3135,1382
conv,2050,8009,5237,2340
conv,2050,8010,1118,283
conv,2050,8011,878,269
conv,2050,8012,1761,1204
conv,2050,8013,2746,1345
conv,2050,8014,2356,909
conv,2050,8021,9690,3455
conv,2050,8022,7340,1766
conv,2050,8101,8332,3029
conv,2050,8102,2337,616
conv,2050,8103,4381,2040
conv,2050,8104,4895,1671
conv,2050,8105,8399,3062
conv,2050,8106,8579,2909
conv,2050,8107,0,2985
conv,2050,8108,7412,1447
conv,2050,8109,8911,2492
conv,2050,8110,1582,919
conv,2050,8111,6759,1704
conv,2050,8112,1696,571
conv,2050,8120,10134,4316
conv,2050,8201,2097,651
conv,2050,8202,1055,2417
conv,2050,8203,2281,1704
conv,2050,8204,625,489
conv,2050,8205,1586,613
conv,2050,8206,1975,1018
conv,2050,8210,1539,570
conv,2050,8211,2903,1213
conv,2050,8212,3302,2228
conv,2050,8213,12025,3856
conv,2050,8214,2128,1198
conv,2050,8310,0,6259
conv,2050,8311,0,9434
conv,2050,8314,3421,992
conv,2050,8315,5834,1386
conv,2050,8316,5871,1315
conv,2050,8317,5114,639
conv,2050,8318,6897,1883
conv,2050,8319,5287,1047
conv,2050,8320,8174,1190
conv,2050,8321,6095,2229
conv,2050,8322,9004,549
conv,2050,8323,7363,90
conv,2050,8324,0,3573
conv,2050,8325,21285,7269
conv,2050,8326,1929,479
conv,2050,8327,5125,1203
conv,2050,8328,8711,3707
conv,2050,8329,2995,1619
conv,2050,8330,5627,3200
conv,2050,8331,750,271
conv,2050,8340,13478,4802
conv,2050,8341,11290,3353
conv,2050,8342,6447,1183
conv,2050,8343,6480,2158
conv,2050,8401,0,4009
conv,2050,8402,0,4380
conv,2050,8403,0,8497
conv,2050,8404,0,7154
conv,2050,8405,3425,18884
conv,2050,8406,7029,3170
conv,2050,8407,7367,1851
conv,2050,8408,8527,2329
conv,2050,8409,4048,692
conv,2050,8410,2887,723
conv,2050,8411,6646,3693
conv,2050,8412,3954,586
conv,2050,8413,6928,1041
conv,2050,8414,11142,4330
conv,2050,8415,8794,3808
conv,2050,8416,8359,2084
conv,2050,8417,5624,1097
conv,2050,8418,3569,497
conv,2050,8419,6243,1091
conv,2050,8420,6068,1204
conv,2050,8421,5590,2606
conv,2050,8422,6345,953
conv,2050,8423,6829,1061
conv,2050,8424,3678,601
conv,2050,8425,3732,1233
conv,2050,8426,2804,608
conv,2050,8427,2781,334
conv,2050,8428,4664,703
conv,2050,8429,6226,6693
conv,2050,8430,7757,2532
conv,2050,8431,7581,2871
conv,2050,8432,5317,2292
conv,2050,8433,6437,2340
conv,2050,8434,5290,823
conv,2050,8435,5546,803
conv,2050,8436,4320,642
conv,2050,8437,5969,828
conv,2050,8438,11536,1773
conv,2050,8439,7291,1357
conv,2050,8440,7291,1391
conv,2050,8441,10123,10683
conv,2050,8442,5068,812
conv,2050,8443,3857,883
conv,2050,8444,11268,2515
conv,2050,8445,8366,1795
conv,2050,8446,11236,1389
conv,2050,8447,8503,1281
conv,2050,8448,6286,1504
conv,2050,8449,15323,2406
conv,2050,8450,12687,2285
conv,2050,8451,3525,765
trends,2050,1101,17928,5551
trends,2050,1102,2613,5107
trends,2050,1103,5736,1992
trends,2050,1104,4505,220
trends,2050,1105,7669,1030
trends,2050,1106,5315,3195
trends,2050,1107,3860,1211
trends,2050,1108,1922,508
trends,2050,1109,1281,747
trends,2050,1110,5749,1723
trends,2050,1111,17570,2341
trends,2050,1112,3997,850
trends,2050,1113,6583,1106
trends,2050,1114,574,6468
trends,2050,1115,5535,1362
trends,2050,1116,3024,18926
trends,2050,1117,0,2201
trends,2050,1118,4958,2025
trends,2050,1119,5873,3575
trends,2050,1120,10266,4273
trends,2050,1121,0,1313
trends,2050,1122,0,438
trends,2050,1123,7551,1406
trends,2050,1124,2317,1468
trends,2050,1125,0,1865
trends,2050,1126,0,785
trends,2050,1201,404,402
trends,2050,1202,5890,956
trends,2050,1203,6275,825
trends,2050,1204,6255,870
trends,2050,1205,2769,1604
trends,2050,1206,6621,1960
trends,2050,1207,7440,1390
trends,2050,1208,7631,2581
trends,2050,1209,4166,1138
trends,2050,1210,4719,4449
trends,2050,1211,4299,1781
trends,2050,1212,5357,1921
trends,2050,1213,3143,3718
trends,2050,1214,538,14685
trends,2050,1215,1739,5427
trends,2050,1216,0,13917
trends,2050,1217,2552,3616
trends,2050,1218,3420,829
trends,2050,1220,8975,1719
trends,2050,1301,0,1897
trends,2050,1302,5355,1796
trends,2050,1303,2597,866
trends,2050,1304,2152,880
trends,2050,1305,2650,1802
trends,2050,1306,3509,2713
trends,2050,1307,974,3942
trends,2050,1308,3153,1239
trends,2050,1309,2387,1449
trends,2050,1310,2088,1291
trends,2050,1311,3767,1074
trends,2050,1312,5312,2473
trends,2050,1313,4774,2677
trends,2050,1314,2198,5897
trends,2050,1315,3058,1546
trends,2050,1316,1685,808
trends,2050,1317,1283,659
trends,2050,1318,2080,1438
trends,2050,1319,2202,605
trends,2050,1320,2315,2004
trends,2050,1321,1532,758
trends,2050,1322,1940,2403
trends,2050,1323,2258,823
trends,2050,1324,2207,1058
trends,2050,1325,2225,964
trends,2050,1326,1571,2208
trends,2050,1327,660,944
trends,2050,1328,2075,3932
trends,2050,1329,2655,1118
trends,2050,1330,2347,2739
trends,2050,1401,6565,1131
trends,2050,1403,9298,1770
trends,2050,1404,4810,1585
trends,2050,1405,3942,981
trends,2050,1406,5108,2564
trends,2050,1407,4076,4345
trends,2050,1408,3509,1891
trends,2050,1409,2555,3319
trends,2050,1410,4363,1134
trends,2050,1411,4660,1594
trends,2050,1412,5243,3542
trends,2050,1413,5189,1077
trends,2050,1414,713,7592
trends,2050,1415,2729,1390
trends,2050,1416,1116,5722
trends,2050,1417,87,5319
trends,2050,1418,40,5433
trends,2050,1419,5370,3574
trends,2050,1420,3994,3186
trends,2050,1421,3719,3138
trends,2050,1501,3478,2794
trends,2050,1502,2003,6141
trends,2050,1503,2381,1605
trends,2050,1504,3382,2060
trends,2050,1505,2956,1120
trends,2050,1506,3824,962
trends,2050,1507,3505,1849
trends,2050,1508,3201,3105
trends,2050,1509,1102,546
trends,2050,1510,4549,1430
trends,2050,1511,2147,1127
trends,2050,1512,1084,2825
trends,2050,1513,927,1446
trends,2050,1514,986,1651
trends,2050,1515,542,9709
trends,2050,1516,349,1569
trends,2050,1517,1148,1565
trends,2050,1518,1527,3488
trends,2050,1519,2605,4329
trends,2050,1520,3005,712
trends,2050,1521,588,7207
trends,2050,1522,0,464
trends,2050,1523,1068,1355
trends,2050,1524,4957,5301
trends,2050,1525,1736,15799
trends,2050,1526,1131,13738
trends,2050,1527,271,3966
trends,2050,1601,2952,9369
trends,2050,1602,455,3852
trends,2050,1603,2487,16004
trends,2050,1604,1388,11954
trends,2050,1605,2112,14662
trends,2050,1606,176,18438
trends,2050,1607,2612,7315
trends,2050,1608,122,11320
trends,2050,1609,4845,10327
trends,2050,1610,1113,824
trends,2050,1611,4107,12121
trends,2050,1612,4041,13291
trends,2050,1613,254,10009
trends,2050,1701,2978,6426
trends,2050,1702,5945,4899
trends,2050,1703,2634,7837
trends,2050,1704,5023,3450
trends,2050,1705,3566,1755
trends,2050,1706,2328,4182
trends,2050,1707,1112,356
trends,2050,1708,2516,417
trends,2050,1709,5541,964
trends,2050,1710,4427,1636
trends,2050,1711,4382,1249
trends,2050,1712,2300,9221
trends,2050,1713,0,10185
trends,2050,1714,6141,661
trends,2050,1715,5062,1459
trends,2050,1716,8666,1875
trends,2050,1717,3751,1026
trends,2050,1718,5156,545
trends,2050,1719,1590,81
trends,2050,1720,1783,478
trends,2050,1721,1484,370
trends,2050,1722,5882,508
trends,2050,1723,3715,345
trends,2050,1724,3444,295
trends,2050,1725,5732,660
trends,2050,1726,0,598
trends,2050,1727,0,2329
trends,2050,1801,2757,3423
trends,2050,1802,909,2733
trends,2050,1803,2232,2034
trends,2050,1804,1190,8566
trends,2050,1805,2144,4704
trends,2050,1806,798,2717
trends,2050,1807,1019,8906
trends,2050,1808,4611,1729
trends,2050,1809,2369,2881
trends,2050,1810,0,9467
trends,2050,1811,1721,4885
trends,2050,1812,2564,1645
trends,2050,1813,6492,2240
trends,2050,1814,1544,722
trends,2050,1815,5509,833
trends,2050,1816,2610,417
trends,2050,1817,1652,807
trends,2050,1818,5778,1890
trends,2050,1901,5640,3314
trends,2050,1902,555,6975
trends,2050,1903,5302,8876
trends,2050,1904,4713,5940
trends,2050,1905,1995,754
trends,2050,1906,2831,740
trends,2050,1907,2826,725
trends,2050,1908,1237,316
trends,2050,1909,2955,8664
trends,2050,1910,611,5871
trends,2050,1911,3196,1263
trends,2050,1912,1615,13503
trends,2050,1913,10348,2302
trends,2050,1914,6249,2226
trends,2050,1915,4504,335
trends,2050,1916,286,1378
trends,2050,1917,2797,273
trends,2050,1919,2125,408
trends,2050,1920,4729,351
trends,2050,1921,3818,923
trends,2050,1922,2086,457
trends,2050,1923,6481,702
trends,2050,1924,368,1500
trends,2050,1925,8008,969
trends,2050,1926,3063,551
trends,2050,1927,4353,955
trends,2050,1928,983,431
trends,2050,1929,3530,1321
trends,2050,1930,2198,1649
trends,2050,1931,2338,543
trends,2050,1932,2352,265
trends,2050,1933,4857,533
trends,2050,1934,10203,1758
trends,2050,1935,6623,436
trends,2050,1936,7091,860
trends,2050,1937,7069,686
trends,2050,1939,11455,3495
trends,2050,2001,3534,1008
trends,2050,2002,1946,871
trends,2050,2003,1640,325
trends,2050,2004,4948,1697
trends,2050,2005,4371,1836
trends,2050,2006,0,1672
trends,2050,2007,2709,674
trends,2050,2008,3536,469
trends,2050,2009,5697,2002
trends,2050,2010,3396,1026
trends,2050,2011,4636,797
trends,2050,2012,3172,213
trends,2050,2013,3988,1938
trends,2050,2014,3019,442
trends,2050,2015,3079,1608
trends,2050,2016,3303,1723
trends,2050,2017,5630,598
trends,2050,2018,3497,470
trends,2050,2019,0,122
trends,2050,2020,3683,1324
trends,2050,2021,0,4860
trends,2050,2022,2744,797
trends,2050,2023,3681,3578
trends,2050,2024,0,799
trends,2050,2025,3374,5660
trends,2050,2026,0,7905
trends,2050,2027,0,12406
trends,2050,2028,0,2391
trends,2050,2029,2780,584
trends,2050,2030,3851,498
trends,2050,2031,4216,3432
trends,2050,2032,1854,2215
trends,2050,2033,5341,1210
trends,2050,2034,4404,754
trends,2050,2035,3905,1310
trends,2050,2036,1772,564
trends,2050,2037,4770,1494
trends,2050,2038,5438,983
trends,2050,2039,3697,697
trends,2050,2040,3401,996
trends,2050,2041,1702,963
trends,2050,2042,2551,766
trends,2050,2043,1118,1768
trends,2050,2044,0,5174
trends,2050,2045,8500,2963
trends,2050,2046,1923,1282
trends,2050,2047,1843,607
trends,2050,2048,1214,1197
trends,2050,2101,30,560
trends,2050,2102,0,1433
trends,2050,2103,1894,658
trends,2050,2104,2842,987
trends,2050,2105,3768,1712
trends,2050,2106,3996,942
trends,2050,2107,3989,1516
trends,2050,2108,4156,1648
trends,2050,2109,4303,1287
trends,2050,2110,3906,1432
trends,2050,2111,3244,1009
trends,2050,2112,386,78
trends,2050,2113,2566,558
trends,2050,2114,512,104
trends,2050,2115,1286,424
trends,2050,2116,1254,397
trends,2050,2117,3450,923
trends,2050,2118,0,854
trends,2050,2119,1124,405
trends,2050,2120,5148,1978
trends,2050,2121,2628,389
trends,2050,2122,5028,1248
trends,2050,2123,3943,391
trends,2050,2125,0,1895
trends,2050,2126,1405,507
trends,2050,2127,281,64
trends,2050,2201,14205,4219
trends,2050,2202,1094,11263
trends,2050,2203,1326,8785
trends,2050,2204,11597,3026
trends,2050,2205,4516,729
trends,2050,2206,6072,1091
trends,2050,2207,11406,1494
trends,2050,2208,147,5922
trends,2050,2209,293,5972
trends,2050,2210,457,7670
trends,2050,2211,6490,1519
trends,2050,2212,10633,2765
trends,2050,2213,14347,2527
trends,2050,2214,13116,2640
trends,2050,2215,2871,1782
trends,2050,2216,12655,2175
trends,2050,2217,13582,3870
trends,2050,2218,8623,2109
trends,2050,2219,5061,1027
trends,2050,2220,16566,4061
trends,2050,2221,11765,2170
trends,2050,2222,2984,628
trends,2050,2223,7248,3641
trends,2050,2224,5467,1471
trends,2050,2225,3986,755
trends,2050,2226,9227,2449
trends,2050,2227,12487,3474
trends,2050,2228,9344,1617
trends,2050,2229,10544,4428
trends,2050,2230,7809,990
trends,2050,2231,9340,1108
trends,2050,2232,4058,618
trends,2050,2233,7301,740
trends,2050,2234,9481,910
trends,2050,2235,2709,5650
trends,2050,2236,310,2687
trends,2050,2237,13057,2331
trends,2050,2238,10514,1348
trends,2050,2239,5403,1361
trends,2050,2240,8644,1616
trends,2050,2301,907,3073
trends,2050,2302,8524,1100
trends,2050,2303,7970,1860
trends,2050,2304,3780,902
trends,2050,2305,5345,1177
trends,2050,2306,3725,2486
trends,2050,2307,11295,2847
trends,2050,2308,7534,1558
trends,2050,2309,10108,2611
trends,2050,2310,3580,904
trends,2050,2311,4921,646
trends,2050,2312,5961,2980
trends,2050,2313,0,5318
trends,2050,2314,3946,1109
trends,2050,2315,10205,2068
trends,2050,2316,1141,4385
trends,2050,2317,3591,873
trends,2050,2401,0,4881
trends,2050,2402,5772,2131
trends,2050,2403,5654,1390
trends,2050,2404,4325,3464
trends,2050,2405,5888,1058
trends,2050,2406,3386,628
trends,2050,2407,4766,1064
trends,2050,2408,2219,210
trends,2050,2409,3710,1510
trends,2050,2410,0,19698
trends,2050,2411,0,20498
trends,2050,2412,1032,6036
trends,2050,2413,1340,7351
trends,2050,2414,4330,703
trends,2050,2415,4444,1106
trends,2050,2416,6951,2384
trends,2050,2417,3427,2266
trends,2050,2418,5619,1575
trends,2050,2419,2711,922
trends,2050,2420,2679,746
trends,2050,2421,3440,449
trends,2050,2422,2918,466
trends,2050,2423,4426,2949
trends,2050,2424,3928,730
trends,2050,2425,4706,5468
trends,2050,2426,2982,354
trends,2050,2427,1633,785
trends,2050,2428,7073,1314
trends,2050,2429,4371,793
trends,2050,2430,6188,654
trends,2050,2431,6192,1126
trends,2050,2432,3723,725
trends,2050,2433,6746,881
trends,2050,2434,373,4852
trends,2050,2435,3940,677
trends,2050,2436,7055,516
trends,2050,2437,7369,1913
trends,2050,2438,6943,694
trends,2050,2439,5231,491
trends,2050,2440,5402,783
trends,2050,2441,2645,595
trends,2050,2442,2645,595
trends,2050,2443,3909,580
trends,2050,2444,5823,619
trends,2050,2445,4410,5059
trends,2050,2446,493,286
trends,2050,2447,802,277
trends,2050,2448,6781,1948
trends,2050,2449,4289,535
trends,2050,2450,882,809
trends,2050,2451,2645,771
trends,2050,2452,8639,1515
trends,2050,2453,0,88
trends,2050,2454,13105,3762
trends,2050,2455,1743,7533
trends,2050,2456,12510,3240
trends,2050,2457,5119,1149
trends,2050,2458,13537,5298
trends,2050,2501,5117,424
trends,2050,2502,5785,1381
trends,2050,2503,4419,1983
trends,2050,2504,3412,1225
trends,2050,2505,4513,9155
trends,2050,2506,4037,1140
trends,2050,2507,4955,405
trends,2050,2508,2123,174
trends,2050,2509,1232,627
trends,2050,2510,4391,628
trends,2050,2511,2404,404
trends,2050,2601,2204,726
trends,2050,2602,1762,608
trends,2050,2603,3195,6671
trends,2050,2604,1322,405
trends,2050,2605,3330,515
trends,2050,2606,2323,154
trends,2050,2607,3486,615
trends,2050,2608,1694,182
trends,2050,2609,3465,480
trends,2050,2610,7253,789
trends,2050,2611,1770,224
trends,2050,2612,0,663
trends,2050,2613,0,663
trends,2050,2614,3299,995
trends,2050,2615,0,6057
trends,2050,2616,6817,407
trends,2050,2618,0,1736
trends,2050,2701,6527,7381
trends,2050,2702,4092,1990
trends,2050,2703,4906,955
trends,2050,2704,5577,684
trends,2050,2801,386,157
trends,2050,2806,0,278
trends,2050,2807,4491,566
trends,2050,2808,0,5131
trends,2050,2809,5649,618
trends,2050,2810,4533,209
trends,2050,2811,4299,377
trends,2050,2812,3413,2102
trends,2050,2813,1350,11404
trends,2050,2814,1753,4078
trends,2050,2815,2505,807
trends,2050,2816,3545,1121
trends,2050,2817,3111,978
trends,2050,2818,2470,286
trends,2050,2819,3835,2133
trends,2050,2820,1957,1333
trends,2050,2821,3507,1332
trends,2050,2822,2654,1523
trends,2050,2823,4035,567
trends,2050,2824,4743,535
trends,2050,2825,2714,393
trends,2050,2826,2438,364
trends,2050,2827,2539,1210
trends,2050,2828,4110,420
trends,2050,2829,4372,2796
trends,2050,2830,2114,857
trends,2050,2831,5344,1243
trends,2050,2832,2591,362
trends,2050,2833,3230,478
trends,2050,2834,3657,536
trends,2050,2835,2482,442
trends,2050,2836,5413,1937
trends,2050,2837,4556,887
trends,2050,2838,0,8485
trends,2050,2839,0,2980
trends,2050,2840,2224,140
trends,2050,2841,3059,304
trends,2050,2842,1684,121
trends,2050,2843,1904,307
trends,2050,2844,5987,1842
trends,2050,2845,11177,340
trends,2050,2846,642,1265
trends,2050,2847,3071,325
trends,2050,2848,4386,879
trends,2050,2849,3971,820
trends,2050,2850,5427,1208
trends,2050,2851,5164,462
trends,2050,2852,4670,596
trends,2050,2853,4327,538
trends,2050,2854,12204,1172
trends,2050,2855,3542,685
trends,2050,2856,4500,307
trends,2050,2857,4611,281
trends,2050,2858,2344,754
trends,2050,2859,4083,745
trends,2050,2860,4549,264
trends,2050,2861,337,248
trends,2050,2862,0,6843
trends,2050,2863,0,4842
trends,2050,2864,0,11
trends,2050,2865,4992,2105
trends,2050,2866,3719,1138
trends,2050,2867,1456,241
trends,2050,2868,5338,798
trends,2050,2869,6210,964
trends,2050,2870,3429,264
trends,2050,2871,6406,1816
trends,2050,2872,12812,3623
trends,2050,2873,4368,1240
trends,2050,2874,8736,2475
trends,2050,2901,3080,444
trends,2050,2902,4101,760
trends,2050,2903,4839,3159
trends,2050,2904,4416,745
trends,2050,2905,3912,918
trends,2050,2906,3678,502
trends,2050,2907,5123,559
trends,2050,2908,3084,273
trends,2050,2909,3372,956
trends,2050,2910,3197,717
trends,2050,2911,3908,788
trends,2050,2912,4202,831
trends,2050,2913,2306,230
trends,2050,2914,3617,588
trends,2050,2915,2477,574
trends,2050,2916,2507,430
trends,2050,2917,417,487
trends,2050,2918,4724,474
trends,2050,2919,3560,273
trends,2050,2920,3201,373
trends,2050,2921,3717,416
trends,2050,2922,4093,258
trends,2050,2923,2601,215
trends,2050,2924,2904,917
trends,2050,2925,2788,559
trends,2050,2926,340,358
trends,2050,2927,4249,415
trends,2050,2928,2072,229
trends,2050,2929,2665,143
trends,2050,2930,2167,273
trends,2050,2931,1031,838
trends,2050,2932,3057,2352
trends,2050,2933,2876,215
trends,2050,2934,3152,373
trends,2050,2935,5060,344
trends,2050,2936,321,6841
trends,2050,2937,1868,157
trends,2050,2938,717,251
trends,2050,2940,759,346
trends,2050,2941,1112,651
trends,2050,2942,293,183
trends,2050,2943,911,1080
trends,2050,3001,0,3732
trends,2050,3003,59,22
trends,2050,3005,543,11199
trends,2050,3006,0,6538
trends,2050,3007,1223,485
trends,2050,3008,4165,799
trends,2050,3009,4165,800
trends,2050,3010,3886,940
trends,2050,3011,2643,1856
trends,2050,3012,6449,2350
trends,2050,3013,6558,2032
trends,2050,3014,3594,420
trends,2050,3015,2409,593
trends,2050,3016,6228,2104
trends,2050,3017,4848,1753
trends,2050,3018,2917,819
trends,2050,3019,3438,1740
trends,2050,3020,2437,1299
trends,2050,3021,2336,727
trends,2050,3022,2435,740
trends,2050,3023,6666,1208
trends,2050,3025,4655,761
trends,2050,3026,3707,558
trends,2050,3027,3868,3026
trends,2050,3028,3248,663
trends,2050,3029,2766,688
trends,2050,3030,0,4819
trends,2050,3031,2492,406
trends,2050,3101,6383,2043
trends,2050,3102,8051,1840
trends,2050,3103,15305,4583
trends,2050,3104,267,2075
trends,2050,3105,2288,376
trends,2050,3106,7001,1113
trends,2050,3107,10414,1492
trends,2050,3108,2813,1508
trends,2050,3109,3250,660
trends,2050,3110,3193,818
trends,2050,3111,5919,722
trends,2050,3112,8107,712
trends,2050,3113,5229,504
trends,2050,3114,0,8793
trends,2050,3115,3467,5574
trends,2050,3116,4338,977
trends,2050,3117,3154,1515
trends,2050,3118,5349,1222
trends,2050,3119,4900,943
trends,2050,3120,5233,937
trends,2050,3121,6071,721
trends,2050,3122,2079,16485
trends,2050,3123,8478,1439
trends,2050,3124,3997,897
trends,2050,3125,4774,1177
trends,2050,3126,7027,1454
trends,2050,3127,5232,2109
trends,2050,3128,3228,696
trends,2050,3129,2894,1160
trends,2050,3130,4339,1260
trends,2050,3131,3355,1417
trends,2050,3132,4860,583
trends,2050,3133,3066,910
trends,2050,3134,4857,1954
trends,2050,3135,108,1456
trends,2050,3136,5106,593
trends,2050,3137,247,9148
trends,2050,3201,430,595
trends,2050,3202,3731,841
trends,2050,3203,774,1060
trends,2050,3204,3074,476
trends,2050,3205,2839,975
trends,2050,3301,10095,3146
trends,2050,3302,6011,1163
trends,2050,3303,5414,1071
trends,2050,3304,9380,5965
trends,2050,3305,4709,1194
trends,2050,3306,4796,802
trends,2050,3307,5783,998
trends,2050,3308,10668,7434
trends,2050,3309,8024,2005
trends,2050,3310,4107,3260
trends,2050,3311,16675,5374
trends,2050,3312,8395,2401
trends,2050,3313,3802,1425
trends,2050,3314,8348,2909
trends,2050,3315,16447,4163
trends,2050,3316,1160,1043
trends,2050,3317,7385,2795
trends,2050,3319,2667,1204
trends,2050,3320,21256,5983
trends,2050,3321,0,7299
trends,2050,3324,0,11270
trends,2050,4002,5673,1795
trends,2050,4003,2327,1577
trends,2050,4004,0,1327
trends,2050,4005,2327,444
trends,2050,4007,4598,1317
trends,2050,4008,6283,1333
trends,2050,4009,12069,1799
trends,2050,4010,11153,373
trends,2050,4012,0,6042
trends,2050,4013,0,16865
trends,2050,4014,6524,2033
trends,2050,4015,6844,852
trends,2050,4016,6660,1277
trends,2050,4017,15219,1827
trends,2050,4018,0,2664
trends,2050,4019,8009,2285
trends,2050,4020,18055,3716
trends,2050,4021,0,9510
