taz,superzone,pop_conv,emp_conv,pop_trends,emp_trends,pop_focus,emp_focus,pop_tama70,emp_tama70
1414,תל אביב -יפו,603,7367,713,7592,603,6417,375,3923
1415,תל אביב -יפו,2674,1814,2729,1390,2674,1813,2686,2072
1416,תל אביב -יפו,1116,6465,1116,5722,1116,6464,1204,8832
1417,תל אביב -יפו,74,5162,87,5319,74,4541,57,6022
1418,תל אביב -יפו,34,5271,40,5433,34,4593,31,7797
1419,תל אביב -יפו,5261,4661,5370,3574,5261,4661,5543,5489
1420,תל אביב -יפו,3913,4155,3994,3186,3913,4154,4531,5772
1421,תל אביב -יפו,3644,4092,3719,3138,3644,4091,3206,3493
1501,תל אביב -יפו,3332,3448,3478,2794,3332,3448,3572,4150
1502,תל אביב -יפו,1856,6943,2003,6141,1856,6942,2703,9223
1503,תל אביב -יפו,2485,2044,2381,1605,2485,2043,2559,2363
1504,תל אביב -יפו,3530,2623,3382,2060,3530,2622,3850,3041
1505,תל אביב -יפו,3085,1426,2956,1120,3085,1426,3262,1527
1506,תל אביב -יפו,3992,1226,3824,962,3992,1225,4115,1402
1507,תל אביב -יפו,3658,2355,3505,1849,3658,2355,3856,2648
1508,תל אביב -יפו,2707,3013,3201,3105,2707,2625,2633,2920
1509,תל אביב -יפו,1150,693,1102,546,1150,693,1194,3056
1510,תל אביב -יפו,4748,1820,4549,1430,4748,1820,4971,2094
1511,תל אביב -יפו,2241,1435,2147,1127,2241,1435,2424,1659
1512,תל אביב -יפו,916,2742,1084,2825,916,2389,1125,3122
1513,תל אביב -יפו,784,1403,927,1446,784,1222,837,1676
1514,תל אביב -יפו,1029,2102,986,1651,1029,2102,1196,2409
1515,תל אביב -יפו,458,9422,542,9709,458,8208,579,11079
1516,תל אביב -יפו,364,1999,349,1569,364,1998,494,2219
1517,תל אביב -יפו,971,1518,1148,1565,971,1323,1209,1796
1518,תל אביב -יפו,1496,4549,1527,3488,1496,4548,1815,3354
1519,תל אביב -יפו,2569,5159,2605,4329,2569,5158,2810,5392
1520,תל אביב -יפו,2945,929,3005,712,2945,929,3747,951
1521,תל אביב -יפו,584,6469,588,7207,584,6469,576,20860
1522,תל אביב -יפו,0,604,0,464,0,604,0,1189
1523,תל אביב -יפו,1059,1355,1068,1355,1059,1355,1293,2142
1524,תל אביב -יפו,4857,6914,4957,5301,4857,6912,6137,6530
1525,תל אביב -יפו,1468,15332,1736,15799,1468,13356,1998,17071
1526,תל אביב -יפו,957,13332,1131,13738,957,11613,1487,14302
1527,תל אביב -יפו,229,3848,271,3966,229,3352,318,3942
1601,תל אביב -יפו,2496,9092,2952,9369,2496,7920,2174,8208
1602,תל אביב -יפו,385,3737,455,3852,385,3256,407,4050
1603,תל אביב -יפו,2104,15530,2487,16004,2104,13528,1851,15246
1604,תל אביב -יפו,1174,11600,1388,11954,1174,10105,1294,12784
1605,תל אביב -יפו,1786,14228,2112,14662,1786,12395,1933,15428
1606,תל אביב -יפו,149,17892,176,18438,149,15586,161,19238
1607,תל אביב -יפו,2209,7098,2612,7315,2209,6184,2543,7835
1608,תל אביב -יפו,103,10986,122,11320,103,9570,182,13907
1609,תל אביב -יפו,4098,10022,4845,10327,4098,8730,4930,11091
1610,תל אביב -יפו,941,800,1113,824,941,697,812,786
1611,תל אביב -יפו,3474,11762,4107,12121,3474,10246,3152,12036
1612,תל אביב -יפו,3418,12897,4041,13291,3418,11235,3288,13257
1613,תל אביב -יפו,215,9713,254,10009,215,8461,331,11032
1701,תל אביב -יפו,2870,5606,2978,6426,2870,5604,3219,5307
1702,תל אביב -יפו,5788,5460,5945,4899,5788,5460,6077,4791
1703,תל אביב -יפו,2539,6835,2634,7837,2539,6834,2941,6967
1704,תל אביב -יפו,4921,4500,5023,3450,4921,4499,5145,5678
1705,תל אביב -יפו,3493,2290,3566,1755,3493,2289,4696,3954
1706,תל אביב -יפו,2622,3560,2328,4182,2622,3560,3681,5318
1707,תל אביב -יפו,1181,363,1112,356,1181,363,1423,676
1708,תל אביב -יפו,2465,544,2516,417,2465,543,3555,1087
1709,תל אביב -יפו,5428,1257,5541,964,5428,1257,6979,2288
1710,תל אביב -יפו,4337,2134,4427,1636,4337,2134,5048,4153
1711,תל אביב -יפו,4294,1628,4382,1249,4294,1628,5012,3334
1712,תל אביב -יפו,2239,10276,2300,9221,2239,10275,2834,16234
1713,תל אביב -יפו,0,2387,0,10185,0,2386,0,2945
1714,תל אביב -יפו,6017,862,6141,661,6017,862,7344,1870
1715,תל אביב -יפו,4959,1904,5062,1459,4959,1904,6512,3934
1716,תל אביב -יפו,8491,2446,8666,1875,8491,2445,10443,5471
1717,תל אביב -יפו,3675,1337,3751,1026,3675,1337,4608,2823
1718,תל אביב -יפו,5051,710,5156,545,5051,710,6339,1758
1719,תל אביב -יפו,1558,105,1590,81,1558,105,2247,212
1720,תל אביב -יפו,1746,624,1783,478,1746,624,2519,1247
1721,תל אביב -יפו,1454,482,1484,370,1454,482,2098,964
1722,תל אביב -יפו,5763,662,5882,508,5763,662,8061,1747
1723,תל אביב -יפו,3640,449,3715,345,3640,449,5005,1436
1724,תל אביב -יפו,3374,385,3444,295,3374,385,4641,1272
1725,תל אביב -יפו,5615,860,5732,660,5615,860,7392,2453
1726,תל אביב -יפו,0,608,0,598,0,608,0,527
1727,תל אביב -יפו,0,546,0,2329,0,545,0,643
1801,תל אביב -יפו,2701,4464,2757,3423,2701,4464,3274,6056
1802,תל אביב -יפו,891,3565,909,2733,891,3565,1038,2391
1803,תל אביב -יפו,2187,2652,2232,2034,2187,2651,3038,1797
1804,תל אביב -יפו,1079,9877,1190,8566,1079,9391,1464,14577
1805,תל אביב -יפו,1944,5424,2144,4704,1944,5158,3006,6429
1806,תל אביב -יפו,675,2637,798,2717,675,2296,977,3112
1807,תל אביב -יפו,898,9657,1019,8906,898,8923,1491,8336
1808,תל אביב -יפו,4517,2254,4611,1729,4517,2253,5976,2737
1809,תל אביב -יפו,2321,3758,2369,2881,2321,3758,2722,2757
1810,תל אביב -יפו,0,6341,0,9467,0,6341,0,6952
1811,תל אביב -יפו,1675,5444,1721,4885,1675,5443,2441,6417
1812,תל אביב -יפו,2512,2146,2564,1645,2512,2146,3240,3020
1813,תל אביב -יפו,6360,2920,6492,2240,6360,2920,6525,2541
1814,תל אביב -יפו,1513,942,1544,722,1513,942,2184,1901
1815,תל אביב -יפו,5397,1087,5509,833,5397,1086,7905,2502
1816,תל אביב -יפו,2557,544,2610,417,2557,544,3816,1253
1817,תל אביב -יפו,1520,957,1652,807,1520,920,2103,1769
1818,תל אביב -יפו,5661,2465,5778,1890,5661,2465,9036,5745
1901,תל אביב -יפו,5394,4182,5640,3314,5394,4128,6942,7308
1902,תל אביב -יפו,469,6768,555,6975,469,5896,579,7974
1903,תל אביב -יפו,4484,8613,5302,8876,4484,7503,5133,11364
1904,תל אביב -יפו,4507,7494,4713,5940,4507,7399,6063,9742
1905,תל אביב -יפו,1955,984,1995,754,1955,984,2820,1969
1906,תל אביב -יפו,2774,966,2831,740,2774,966,4001,1933
1907,תל אביב -יפו,2769,945,2826,725,2769,944,3896,1638
1908,תל אביב -יפו,1212,410,1237,316,1212,410,2954,871
1909,תל אביב -יפו,2499,8407,2955,8664,2499,7324,3376,10905
1910,תל אביב -יפו,516,5698,611,5871,516,4963,1081,9488
1911,תל אביב -יפו,3131,1647,3196,1263,3131,1647,3919,2228
1912,תל אביב -יפו,1582,13639,1615,13503,1582,12150,3130,21549
1913,תל אביב -יפו,10138,3004,10348,2302,10138,3003,18894,5801
1914,תל אביב -יפו,6122,2904,6249,2226,6122,2903,7691,5253
1915,תל אביב -יפו,4413,436,4504,335,4413,436,6365,873
1916,תל אביב -יפו,286,1798,286,1378,286,1797,286,3562
1917,רמת גן-גבעתיים,2740,356,2797,273,2740,356,3953,711
1919,רמת גן-גבעתיים,2082,531,2125,408,2082,531,1876,310
1920,תל אביב -יפו,4633,458,4729,351,4633,458,6463,896
1921,תל אביב -יפו,3741,1203,3818,923,3741,1203,5251,2364
1922,תל אביב -יפו,2044,597,2086,457,2044,597,3529,1998
1923,תל אביב -יפו,6350,918,6481,702,6350,918,9076,1824
1924,תל אביב -יפו,361,1957,368,1500,361,1956,440,3548
1925,תל אביב -יפו,7846,1264,8008,969,7846,1264,10317,2398
1926,תל אביב -יפו,3001,718,3063,551,3001,718,3635,1617
1927,תל אביב -יפו,4265,1246,4353,955,4265,1246,5371,2868
1928,תל אביב -יפו,963,561,983,431,963,561,1353,1190
1929,תל אביב -יפו,3458,1722,3530,1321,3458,1722,5193,2017
1930,תל אביב -יפו,2153,2151,2198,1649,2153,2151,3207,2548
1931,תל אביב -יפו,2291,707,2338,543,2291,707,3431,1173
1932,תל אביב -יפו,2304,345,2352,265,2304,345,3330,696
