year,code,MahozNum,population,employment
high_diur,2025,3,1174713.5424000002,0
high_diur,2025,1,1348627.716,0
high_diur,2025,4,2483574.5225,0
high_diur,2025,5,1615964.495,0
high_diur,2025,7,532514.4573,0
high_diur,2030,2,1793868.9655799998,0
high_diur,2030,6,1823068.186,0
high_diur,2030,3,1296275.0753000001,0
high_diur,2030,1,1519615.017,0
high_diur,2030,4,2702419.0683000004,0
high_diur,2030,5,1761566.826,0
high_diur,2030,7,607627.9488,0
high_diur,2035,2,1958621.31483,0
high_diur,2035,6,2077400.0831,0
high_diur,2035,3,1445438.559,0
high_diur,2035,1,1699448.549,0
high_diur,2035,4,2938195.8367999997,0
high_diur,2035,5,1910170.807,0
high_diur,2035,7,693959.8896,0
high_diur,2040,2,2157002.96977,0
high_diur,2040,6,2359676.8036,0
high_diur,2040,3,1625202.1529,0
high_diur,2040,1,1882275.168,0
high_diur,2040,4,3211063.5863,0
high_diur,2040,5,2085858.209,0
high_diur,2040,7,791536.132,0
high_diur,2045,2,2389613.4427599995,0
high_diur,2045,6,2691920.902,0
high_diur,2045,3,1835238.466,0
high_diur,2045,1,2088407.911,0
high_diur,2045,4,3540288.9072000002,0
high_diur,2045,5,2275875.758,0
high_diur,2045,7,900415.6624,0
high_diur,2050,2,2654227.2179799997,0
high_diur,2050,6,3063209.6459999997,0
high_diur,2050,3,2070505.56,0
high_diur,2050,1,2324213.106,0
high_diur,2050,4,3919033.2145999996,0
high_diur,2050,5,2497812.884,0
high_diur,2050,7,1021355.805,0
