year,code,citycode,population,employment
2018,2018,5000,451478.0,429988.0
2018,2018,8600,159157.0,92220.0
2018,2018,2620,39984.0,10322.0
2018,2018,2400,36866.0,16788.0
2018,2018,6100,198802.0,62402.0
2018,2018,6300,60210.0,19566.0
2018,2018,0,449484.0,225818.0
2018,2018,6600,194244.0,64348.0
2018,2018,6200,128772.0,28981.0
2018,2018,6400,95112.0,60387.0
2018,2018,2650,46716.0,17786.0
2018,2018,8700,74030.0,44339.0
2018,2018,6900,100754.0,44740.0
2018,2018,9700,62322.0,25736.0
2018,2018,7900,244193.0,126273.0
2018,2018,681,26022.0,7018.0
2018,2018,9400,29928.0,11882.0
2018,2018,634,23243.0,4621.0
2018,2018,2640,56337.0,22044.0
2018,2018,1309,47866.0,8156.0
2018,2018,7000,75727.0,41076.0
2018,2018,8500,75539.0,22851.0
2018,2018,2530,26123.0,9687.0
2018,2018,1200,92398.0,25999.0
2018,2018,8400,142493.0,55666.0
2018,2018,2660,46704.0,20096.0
2018,2018,8300,251689.0,102202.0
2018,2018,7200,50206.0,15979.0
2018,2018,7400,217240.0,87206.0
2018,2018,168,23061.0,3248.0
2018,2018,2720,26163.0,4743.0
2018,2018,2730,45022.0,7452.0
2018,2018,638,22788.0,4934.0
2018,2018,70,224625.0,77863.0
2030,2030,5000,502938.0,474492.0
2030,2030,8600,186492.0,105187.0
2030,2030,2620,45417.0,11260.0
2030,2030,2400,42689.0,20600.0
2030,2030,6100,230357.0,76043.0
2030,2030,6300,71096.0,23144.0
2030,2030,0,580398.0,263950.0
2030,2030,6600,225508.0,79324.0
2030,2030,6200,136332.0,32647.0
2030,2030,6400,111726.0,70923.0
2030,2030,2650,57272.0,22268.0
2030,2030,8700,96584.0,54703.0
2030,2030,6900,107991.0,50484.0
2030,2030,9700,77024.0,34907.0
2030,2030,7900,273900.0,155308.0
2030,2030,681,30529.0,7836.0
2030,2030,9400,37489.0,17248.0
2030,2030,634,29784.0,10107.0
2030,2030,2640,79198.0,30706.0
2030,2030,1309,52993.0,9507.0
2030,2030,7000,88691.0,48448.0
2030,2030,8500,89162.0,29163.0
2030,2030,2530,38671.0,16826.0
2030,2030,1200,138543.0,44690.0
2030,2030,8400,161060.0,68993.0
2030,2030,2660,64566.0,25612.0
2030,2030,8300,295292.0,120933.0
2030,2030,7200,57048.0,19269.0
2030,2030,7400,253245.0,109983.0
2030,2030,168,40315.0,7550.0
2030,2030,2720,32250.0,5705.0
2030,2030,2730,61806.0,12939.0
2030,2030,638,28963.0,7355.0
2030,2030,70,251654.0,90083.0
2040,2040,5000,562704.0,525856.0
2040,2040,8600,212951.0,121778.0
2040,2040,2620,80612.0,21257.0
2040,2040,2400,57192.0,27165.0
2040,2040,6100,254493.0,90823.0
2040,2040,6300,79477.0,29199.0
2040,2040,0,763592.0,341695.0
2040,2040,6600,250272.0,93633.0
2040,2040,6200,147866.0,38598.0
2040,2040,6400,158730.0,91664.0
2040,2040,2650,81619.0,31536.0
2040,2040,8700,106700.0,63395.0
2040,2040,6900,128969.0,60594.0
2040,2040,9700,107441.0,49367.0
2040,2040,7900,325617.0,192847.0
2040,2040,681,36702.0,9361.0
2040,2040,9400,45819.0,22551.0
2040,2040,634,38001.0,16723.0
2040,2040,2640,82548.0,33828.0
2040,2040,1309,71454.0,14606.0
2040,2040,7000,100255.0,57177.0
2040,2040,8500,93688.0,33433.0
2040,2040,2530,61998.0,29129.0
2040,2040,1200,187439.0,65605.0
2040,2040,8400,183822.0,87286.0
2040,2040,2660,82616.0,32408.0
2040,2040,8300,335051.0,143051.0
2040,2040,7200,66053.0,25000.0
2040,2040,7400,286028.0,134537.0
2040,2040,168,51629.0,12200.0
2040,2040,2720,39374.0,7781.0
2040,2040,2730,82535.0,24612.0
2040,2040,638,35748.0,9917.0
2040,2040,70,288499.0,112806.0
2050,2050,5000,617237.0,567509.0
2050,2050,8600,227070.0,132405.0
2050,2050,2620,98012.0,25666.0
2050,2050,2400,65958.0,31160.0
2050,2050,6100,257548.0,98781.0
2050,2050,6300,88862.0,33144.0
2050,2050,0,960441.0,403713.0
2050,2050,6600,273051.0,106720.0
2050,2050,6200,158123.0,42418.0
2050,2050,6400,187428.0,103838.0
2050,2050,2650,115954.0,42627.0
2050,2050,8700,125604.0,72372.0
2050,2050,6900,142605.0,66452.0
2050,2050,9700,134454.0,62766.0
2050,2050,7900,364957.0,221196.0
2050,2050,681,43544.0,11120.0
2050,2050,9400,57147.0,28457.0
2050,2050,634,46359.0,22242.0
2050,2050,2640,93919.0,38445.0
2050,2050,1309,87522.0,18965.0
2050,2050,7000,117351.0,66562.0
2050,2050,8500,102649.0,38085.0
2050,2050,2530,80278.0,38519.0
2050,2050,1200,224662.0,83318.0
2050,2050,8400,228146.0,110804.0
2050,2050,2660,96756.0,37331.0
2050,2050,8300,374886.0,160670.0
2050,2050,7200,72992.0,28562.0
2050,2050,7400,323692.0,157104.0
2050,2050,168,72925.0,19423.0
2050,2050,2720,48182.0,9316.0
2050,2050,2730,109373.0,35450.0
2050,2050,638,44388.0,12952.0
2050,2050,70,327035.0,131055.0
