taz1318,pop18,pop30,pop40,pop50,emp18,emp30,emp40,emp50
11010,0,0,0,0,322,322,322,322
11020,0,0,0,0,959,959,959,959
11030,0,436,960,3360,0,65,144,624
11041,1190,7691,14192,15096,300,2121,3941,4077
11042,1190,2986,4782,4829,451,720,1456,1464
11050,0,880,1936,2200,2221,2553,3345,3751
11060,3569,3605,3636,3793,128,134,139,162
11070,11723,13043,14363,14794,1127,1325,1655,1720
11080,6204,6204,8404,8644,2662,2662,3102,3138
11090,4872,5302,5689,6358,809,874,932,1032
11100,3860,3923,3976,4576,1211,1220,1228,1318
11110,3696,3756,3807,4475,2230,2239,2247,2347
11120,4933,5505,6033,6457,528,613,693,756
11130,4563,4637,4700,4841,1223,1234,1243,1265
11140,4840,4984,5107,5543,707,729,747,813
11150,1525,1550,1571,1618,360,363,367,374
11160,1017,1033,1047,1079,540,542,544,549
11170,3264,3543,3794,4661,791,833,871,1001
11180,246,292,336,483,3877,4024,4472,4750
11190,4677,4732,4779,4945,2585,2593,2600,2625
11200,3935,3999,4053,4175,1451,1460,1468,1487
11210,1312,1312,1312,1312,11990,12422,13789,14580
11220,0,0,0,0,1126,1166,1295,1369
11230,0,0,0,0,1617,1617,1617,1617
11240,0,0,0,0,577,577,577,577
11250,541,1072,1894,1951,867,947,1070,1078
12010,5941,6101,6238,6425,1822,1846,1867,1895
12020,5536,5685,5813,6265,911,934,953,1020
12030,3291,3380,3456,3508,803,817,828,836
12040,2992,3073,3142,3973,2566,2670,2973,3267
12050,5058,5908,6724,7557,887,1015,1137,1262
12060,2663,2735,2796,2880,575,586,595,608
12070,0,0,0,0,0,0,0,0
12080,232,239,244,340,278,279,280,295
12090,3639,4239,4815,4959,504,594,680,702
12100,5252,5394,5515,5575,1391,1412,1430,1439
12110,4220,4334,4431,4511,1367,1384,1398,1410
12120,2653,2725,2786,3620,1163,1174,1183,1308
12131,1987,2041,2086,2646,2632,2640,2646,2730
12132,1987,2041,2086,2149,2632,2640,2646,2656
12140,2156,2214,2264,2332,1151,1160,1167,1177
12150,3569,3784,3973,4092,108,140,169,186
12160,4922,5617,6270,6458,827,931,1029,1058
12170,0,580,1275,2763,4004,4319,4612,5008
12181,252,357,477,1002,8446,10622,12440,14155
12182,0,0,0,0,8446,10606,12406,14043
13010,0,0,0,0,1127,1168,1296,1370
13020,2467,2494,2516,2955,1918,1922,1926,1991
13030,2102,2125,2144,2187,623,627,630,636
13040,4334,4381,4421,4509,1293,1300,1306,1319
13050,3864,3906,3941,4020,1942,1949,1954,1966
13060,1742,1761,1777,1812,635,638,641,646
13070,2119,2142,2161,2231,1307,1310,1313,1324
13080,1630,1770,1896,2010,1007,1028,1047,1064
13090,1690,1708,1724,1758,938,941,943,948
13100,3954,4167,4353,4473,1738,1770,1798,1816
13110,2165,2189,2208,2252,5839,5842,5845,5852
13120,3710,3750,3784,3860,1043,1049,1054,1066
13130,2749,2779,2804,2860,1019,1024,1027,1036
13140,193,285,396,801,2422,2494,2694,2862
13150,1737,1756,1772,1796,755,758,761,764
13160,1509,1525,1539,1570,743,746,748,752
13170,2224,2248,2268,2314,803,807,810,817
13180,1166,1178,1189,1279,1578,1580,1581,1595
13190,500,505,509,537,676,677,678,682
13200,2123,2146,2165,2201,911,915,918,923
13210,1845,1865,1882,1920,2290,2293,2295,2301
13220,2049,2071,2090,2132,1415,1418,1421,1427
13230,2169,2193,2212,2257,587,591,594,601
13240,2202,2226,2246,2291,1906,1910,1913,1920
13250,1973,1994,2012,2053,3753,3756,3758,3764
13260,2232,2256,2277,2322,2146,2227,2475,2623
13270,2525,2552,2576,2627,1055,1059,1063,1070
13280,2908,2940,2966,3025,1463,1467,1471,1480
13290,1220,1233,1244,1269,623,625,627,631
13300,1660,1678,1693,1727,791,794,796,801
14010,0,0,0,0,0,0,0,0
14020,5111,5249,5367,5528,767,788,806,830
14030,4688,6102,7601,7829,683,895,1266,1300
14040,3806,3909,3996,4050,1127,1142,1156,1164
14050,3069,3152,3222,3319,683,696,706,721
14060,3977,4084,4176,4301,1834,1850,1864,1883
14070,2654,2726,2787,2955,1343,1353,1363,1388
14080,3397,3489,3567,3674,791,805,817,833
14090,3219,3533,3817,4415,2422,2469,2511,2601
14100,2992,3122,3235,3924,1031,1051,1067,1171
14110,1649,1693,1731,2151,2362,2368,2374,2437
14120,707,1585,3108,3432,2662,2793,3142,3190
14130,2876,2954,3020,3132,2266,2278,2287,2304
14140,3967,4074,4165,4521,2542,2558,2571,2625
14150,3031,3113,3183,3363,2290,2302,2313,2340
14160,0,0,0,0,1944,2061,2430,2644
14170,83,85,87,90,6640,6744,6831,6913
14180,1116,1146,1172,1207,4220,4630,5917,6665
14190,2125,2182,2231,2298,995,1004,1011,1021
14200,0,221,486,501,665,2993,4944,6748
14210,2446,3105,3788,3901,665,764,867,884
15010,1230,1335,1430,1630,4376,4392,4406,4436
15020,2264,2289,2309,2355,1523,1526,1529,1536
15030,2506,2727,2926,3346,1846,1879,1909,1972
15040,2811,2842,2867,2925,1055,1060,1063,1072
15050,3637,3676,3710,3784,899,905,910,921
15060,4326,4373,4413,4501,1343,1350,1356,1369
15070,3333,3369,3400,3468,1750,1756,1760,1771
15080,1689,2239,2832,2888,1858,1941,2030,2038
15090,1843,2167,2481,2531,420,468,515,523
15100,1512,1615,1707,1741,743,1239,2773,3658
15110,0,118,260,265,6469,6967,8508,9389
15120,0,0,0,0,340,340,340,340
15130,538,544,549,560,1355,1356,1356,1358
15140,3717,3917,4092,4174,3824,3854,3881,3893
15150,1236,1249,1261,1286,2554,2556,2557,2561
15160,332,335,338,345,1501,1501,1502,1503
15170,938,948,957,976,1575,1577,1578,1581
15180,2042,2064,2083,2124,1067,1070,1073,1079
15190,625,632,638,650,1050,1140,1214,1286
15200,774,783,790,805,1137,1233,1314,1391
15210,365,369,373,380,7073,7668,8163,8630
15220,731,739,745,760,2057,2230,2375,2512
15230,1048,1059,1069,1090,516,517,519,522
15240,2159,2182,2202,2246,1978,2275,2523,2760
15250,183,185,186,190,2913,3147,3341,3525
15260,548,664,778,794,8229,9753,11026,12212
15270,1054,1128,1194,1218,11210,12294,13197,14044
16010,2770,2800,2826,2882,8838,9576,10190,10774
16020,146,360,766,781,465,563,679,732
16030,920,1877,3400,3400,5868,7087,8335,9180
16040,614,789,974,974,3857,6447,8611,10625
16050,1227,1471,1711,1745,11078,12286,13299,14225
16060,307,310,313,319,2769,3019,3227,3424
16070,0,337,741,1482,6892,9202,11146,13033
16080,119,558,2031,2071,3796,5481,7051,8329
16090,119,120,121,123,15183,15643,16027,16389
16100,1737,1769,1797,1833,5515,5891,6205,6502
16110,0,38,84,86,8188,8905,9504,10062
16120,97,133,175,178,7313,7919,8425,8896
16130,97,426,1466,2836,8848,9873,10842,11813
17010,2043,2927,3949,4229,2206,2339,2492,2534
17020,2202,3144,4230,5080,2829,2971,3235,3362
17030,944,1331,1773,2603,2769,2994,3586,4015
17040,0,455,1000,1966,4436,4770,5695,6328
17050,1399,1806,2235,2302,3501,3772,4501,4896
17060,1002,1130,1249,1538,1702,1722,1740,1783
17070,499,645,799,823,144,166,189,192
17080,1997,2029,2057,2118,288,293,297,306
17090,1262,1283,1300,1339,48,51,54,59
17100,1415,1438,1457,1501,338,342,344,351
17110,943,1082,1213,1250,225,246,266,271
17120,2642,2788,2915,3002,1235,1257,1276,1289
17130,3701,3984,4237,4665,563,606,644,708
17140,1574,2005,2454,3158,516,580,648,753
17150,3272,3584,3866,4341,240,287,329,400
17160,2641,2850,3037,3128,180,211,239,253
17170,3666,4182,4667,4953,180,257,330,373
17180,280,1084,3349,3690,252,372,866,917
17190,2519,3070,3619,3728,839,952,1130,1202
17200,3617,5156,6929,7297,659,890,1322,1377
17210,3836,4200,4529,4826,336,390,440,484
17220,2733,2777,2815,2899,192,198,204,217
17230,0,0,0,0,527,527,527,527
17240,0,0,0,0,176,296,676,896
17250,0,0,0,0,1756,2116,3256,3916
17260,4143,4029,3936,4262,1054,1037,1023,1072
17270,3294,4072,4858,5171,204,320,438,485
18010,1148,1638,2202,2321,2338,2411,2496,2514
18020,766,766,766,766,1559,1633,1870,2007
18030,5451,5452,5454,5466,1642,1643,1643,1645
18040,2096,2130,2159,2159,1199,1204,1208,1208
18050,1937,1968,1995,1995,2108,2112,2116,2116
18060,1291,1498,1695,1879,1405,1436,1466,1493
18070,558,697,838,911,5203,5848,6388,6889
18080,587,953,1428,1641,1031,2077,2973,3783
18090,530,616,698,753,5191,6052,6772,7446
18100,3094,3417,3712,3882,1151,1199,1244,1269
18110,0,204,448,560,386,1159,1815,2415
18120,1356,1319,1288,1288,165,344,493,637
18130,2313,2249,2197,2197,324,314,306,306
18140,0,0,0,0,3992,4232,4990,5430
18150,970,1145,1315,1471,2410,2581,3064,3352
18160,0,473,1040,1300,336,407,492,531
18170,3835,4165,4462,4638,492,541,586,612
18180,4964,4910,4865,4865,1403,1395,1388,1388
19010,4432,4456,4476,4611,1843,2087,2290,2499
19020,3299,3562,3797,3853,3459,3856,4190,4479
19030,724,1006,1323,3720,5188,6044,6770,7889
19051,0,172,378,389,4169,4948,5606,6200
19052,943,1426,2013,2073,5558,6384,7100,7701
19053,0,189,416,428,4169,4574,4922,5219
19060,2247,2308,2359,2379,512,521,529,532
19070,963,989,1011,1041,219,223,227,231
19080,1794,1842,1884,2384,456,463,469,544
19090,0,611,1344,1680,302,394,504,554
19100,1355,1497,1626,2355,50,72,91,200
19110,3162,3436,3682,3792,151,192,229,246
19120,609,1079,1737,1789,122,193,291,299
19130,1421,1570,1705,1756,285,308,328,336
19140,0,0,0,0,0,0,0,0
19150,286,0,0,0,1055,1012,1012,1012
19160,0,136,300,310,1055,1075,1100,1102
19170,1242,1262,1279,2579,204,207,209,404
19180,3145,3400,3629,3665,623,662,696,701
19190,3073,3394,3688,5262,1307,1355,1399,1635
19200,5177,6570,8013,8713,1019,1228,1586,1691
19210,414,518,624,1360,8428,9660,10690,11756
19221,1863,2057,2235,2691,803,832,859,928
19222,1863,2390,2943,2972,803,882,965,970
19230,1609,1652,1689,1850,1175,1181,1187,1211
19240,720,739,756,828,300,303,305,316
19250,3556,3652,3734,4089,312,326,338,392
19260,1722,1768,1808,1980,156,163,169,195
19270,1712,1758,1798,1969,360,367,373,398
19280,3282,4278,5335,9645,863,1013,1274,2567
19290,0,0,0,0,0,0,0,0
19300,5121,5335,5521,5576,252,284,312,320
19310,3933,5069,6262,8591,360,530,825,1291
19320,5115,5868,6580,6743,468,581,687,712
19330,3599,4426,5259,5971,276,400,525,632
19340,3053,3545,4015,5457,156,230,300,516
19350,2615,2806,2975,3215,587,616,641,677
19360,3382,3574,3742,3982,168,197,222,258
19370,4752,5132,5472,5952,324,381,432,504
21010,0,0,0,0,3987,4130,4584,4848
21020,4812,5119,5389,5659,1849,1895,1935,1976
21030,3583,3811,4013,4214,2715,2750,2780,2810
21040,4781,5160,5498,5773,832,889,940,981
21050,2749,2967,3161,3319,497,530,559,582
21060,3870,4177,4451,4673,867,913,954,987
21070,3608,3894,4149,4357,913,956,994,1025
21080,1802,1945,2072,2176,139,160,179,195
21090,3012,3251,3464,3637,1075,1149,1304,1400
21100,0,0,0,0,13111,15413,17331,19139
21110,1330,1435,1529,1606,348,496,620,734
21120,1088,1174,1251,1314,4355,5294,6078,6815
21130,2424,2616,2788,2927,254,283,309,330
21140,3516,3795,4043,4246,543,585,622,653
21150,5583,6025,6420,6741,2034,2100,2159,2207
21160,3763,4061,4327,4544,3166,3507,4484,5059
21170,2723,2939,3131,3288,1560,1667,1933,2094
21180,4523,4881,5201,5462,1317,1371,1419,1458
21190,2154,2325,2477,2601,786,811,834,853
21200,2176,2348,2502,2627,624,650,673,692
21210,2176,5382,5382,5543,624,1265,1265,1289
21220,0,0,0,0,14422,16502,18236,19870
21230,709,754,794,834,4370,4919,5377,5809
22010,2677,2957,3212,3373,312,354,392,416
22020,3444,3804,4133,4339,2600,2654,2703,2734
22030,3189,3442,3667,3851,578,616,650,677
22040,2369,2557,2724,2861,358,386,412,432
22050,5897,6273,6605,6935,1063,1119,1169,1219
22060,5024,5422,5778,6066,451,510,564,607
22070,3023,3262,3476,3650,578,614,646,672
22080,4818,5322,5782,6071,855,931,1000,1043
22090,3066,3387,3679,3863,508,557,600,628
22100,5249,5798,6299,6614,612,695,770,817
22110,5983,6457,6880,7224,1306,1424,1636,1774
22120,5728,6182,6587,6917,300,368,429,479
22130,5039,5308,5543,5709,474,514,549,574
22140,3549,3830,4081,4285,624,666,704,734
22150,6294,6396,6483,6807,566,582,595,643
22160,4386,4733,5044,5296,589,641,688,726
22170,4247,4583,4884,5128,324,374,419,456
22180,3174,3425,3650,3833,439,477,511,538
23011,2148,2318,2470,2594,485,511,534,552
23012,2148,2318,2470,2594,485,511,534,552
23013,2148,2318,2470,2594,647,673,695,714
23020,6196,6844,7435,8470,1063,1160,1249,1404
23030,0,0,0,0,81,81,81,81
23040,716,773,823,865,728,736,744,750
24001,0,0,14368,20526,146,146,4169,6016
24002,0,0,10093,14418,0,0,2826,4124
24003,0,0,5288,7050,0,0,1481,1745
24010,373,539,733,755,4853,5173,6135,6679
24021,3209,6449,6449,6642,384,1032,1032,1061
24022,802,866,923,969,276,285,294,301
24030,110,6454,6454,6648,0,1776,1776,1805
24040,0,838,1843,1898,7532,8020,9315,9986
25010,0,286,630,638,3940,4619,5201,5731
25020,0,143,315,319,3940,4598,5154,5683
25030,0,716,1575,1594,3898,6234,8219,10071
25040,0,1716,2145,2171,1671,4156,6184,8037
25050,0,9240,11550,11689,0,2587,3234,3255
25060,2527,5182,9429,9542,385,916,2318,2335
25070,3177,3438,3672,3716,481,521,556,562
25080,4307,4640,4937,4996,738,788,833,842
25090,6484,7882,9274,9385,578,787,1136,1152
25100,9181,10462,11665,11805,1432,1624,1928,1949
25110,4981,6729,8645,8749,1091,1353,2117,2133
25120,3734,4509,5277,5340,931,1047,1162,1172
25130,353,617,983,995,5569,6245,6830,7360
26010,3485,3816,4115,4164,690,740,785,792
26020,7724,8062,8354,8454,1846,1896,1940,1955
26030,7943,8281,8573,8676,3306,3357,3400,3416
26040,9188,10157,11043,11176,2086,2332,2782,2985
26050,11051,12311,13469,13631,2038,2325,2929,3133
26060,9659,9998,10289,10413,1565,1616,1659,1678
26070,2020,2186,2335,2363,1324,1349,1371,1375
26080,8936,9274,9566,9681,1562,1613,1657,1674
26090,6967,7304,7597,7688,1139,1190,1234,1248
26100,5404,5901,6349,6425,610,684,752,763
26110,6964,7301,7594,7685,747,797,841,855
26120,2985,3153,3300,3339,424,449,471,477
26130,9208,9712,10153,10275,2520,2595,2661,2680
27010,6872,7209,7502,7592,1781,1832,1876,1889
27020,7079,7416,7709,7802,594,644,688,702
27030,5306,5641,5936,6007,465,516,560,571
27040,3763,4095,4393,4446,947,997,1041,1049
27060,6398,6734,7028,7112,1139,1190,1234,1247
27070,9671,10176,10616,10743,1637,1713,1779,1798
27080,7919,8257,8549,8652,931,981,1025,1041
27090,2312,2637,2942,2977,2824,3572,5831,7118
27100,0,143,315,319,2065,2235,2732,3005
27110,3815,4147,4445,4498,1032,1082,1127,1135
27120,2926,3094,3241,3280,530,555,577,583
27130,4948,5443,5893,5964,1685,1921,2501,2808
27140,2111,2277,2426,2455,433,458,481,485
27150,9404,10072,10664,10792,1828,1929,2017,2037
28010,3276,3329,3374,3408,788,796,803,808
28020,7319,7438,7539,7614,1662,1680,1695,1707
28030,4277,5532,6854,8143,300,489,816,1009
28040,475,654,853,895,451,1395,2190,2917
28050,4670,6547,8677,10610,1182,1464,2304,2594
28060,3526,6799,6799,7387,702,1356,1356,1445
28070,4505,5932,7460,9824,1348,1562,1939,2412
28080,0,0,0,0,3443,3691,4476,4931
28090,3316,3370,3415,3450,813,821,828,833
28100,3336,3390,3436,3470,1736,1828,2098,2256
28110,4867,4946,5013,5063,813,864,997,1076
28120,4558,4632,4695,4742,566,578,587,594
28130,5521,5611,5687,5743,2229,2322,2588,2743
28140,3384,3439,3486,3520,788,796,803,808
28150,0,458,1007,1119,1428,1908,3294,4065
28160,3765,5548,7665,10005,357,625,1449,1917
28170,3415,3471,3517,3869,960,969,976,1029
29010,4498,4820,5106,5106,893,941,984,984
29021,2191,3070,4066,4639,1722,1854,2003,2089
29022,3973,4763,5541,5803,430,549,666,705
29030,2191,4405,7884,9781,4974,6326,8235,9181
30010,386,386,386,386,156,156,156,156
30020,0,0,0,0,0,0,0,0
30030,0,0,0,0,0,0,0,0
30040,0,0,0,0,0,0,0,0
30050,0,0,0,0,0,0,0,0
31010,0,818,1800,5400,7879,9821,11484,14122
31020,0,545,1200,3600,3093,3538,3940,4731
31030,0,0,0,0,5854,7673,9189,10747
31040,0,0,0,0,2797,3161,3464,3775
31050,0,0,0,0,3907,4635,5241,5865
31060,0,0,0,0,2797,4979,6798,8668
31070,0,0,0,420,202,202,202,265
31080,4267,4383,4481,4733,202,219,234,272
31090,3887,3991,4081,4249,713,728,742,767
31100,4479,4600,4704,4798,242,260,276,290
31110,4372,4490,4591,4683,269,287,302,316
31120,2281,2340,2391,2439,753,762,769,777
31130,2974,3053,3121,3184,282,294,304,314
31140,1636,1680,1718,1752,108,114,120,125
31150,1849,1899,1942,1981,296,303,310,316
31160,2941,4125,5468,5632,1466,1643,1971,1996
31170,2161,2219,2269,2315,121,130,137,144
31180,4556,4680,4785,4881,887,906,922,936
31190,2436,2501,2556,2607,807,816,825,832
31200,2411,2476,2532,2582,430,440,448,456
31210,3581,3676,3756,3831,498,512,524,535
31220,3159,3245,3318,3384,444,457,468,477
32010,2591,2663,2724,2779,255,266,275,284
32020,1957,2010,2056,2097,1022,1030,1037,1043
32030,3082,3167,3239,3304,887,900,911,921
32040,3495,3587,3666,3739,1049,1063,1074,1085
32050,2402,2466,2520,2571,269,278,287,294
32060,3777,3879,3965,4045,1573,1664,1916,2066
32070,3507,3602,3684,3757,780,832,962,1042
32080,3413,3505,3584,3656,1385,1465,1688,1820
32090,0,0,0,0,140,140,140,140
32100,0,0,0,0,2866,3142,4013,4518
32110,4177,4292,4390,4477,530,547,562,575
32120,4533,4533,4533,4624,202,202,202,215
32130,5488,5636,5763,5878,578,600,619,637
32140,4299,4227,4168,4251,376,366,357,369
32150,3951,4055,4144,4227,524,540,553,566
33010,2596,2666,2726,2781,1493,1503,1512,1520
33020,2070,2125,2171,2215,834,842,849,855
33030,4642,4766,4872,4969,484,503,518,533
33040,2634,2707,2769,2824,376,387,397,405
33050,2368,2432,2487,2537,350,359,367,375
33060,2539,2608,2667,2720,1210,1220,1229,1237
33070,3993,4101,4193,4277,390,406,420,433
33080,4278,4393,4491,4581,2259,2357,2630,2792
33090,3022,3105,3176,3239,282,295,305,315
33100,4261,4376,4474,4564,861,878,893,906
33110,4537,4659,4764,4859,565,583,599,613
33120,3971,4079,4171,4255,820,836,850,863
33130,1324,2905,5592,5648,40,277,1235,1244
33140,5017,5152,5268,5373,422,443,460,476
33150,0,6600,6600,6666,13,1861,1861,1871
34010,3332,3422,3498,3568,237,250,262,272
34020,6029,6194,6335,6462,928,953,974,993
34030,5182,5324,5446,5555,766,788,806,822
34040,4327,4258,4201,4285,538,527,519,532
34050,149,3649,3649,3685,0,700,700,705
34060,12204,12107,12027,12267,1171,1157,1145,1181
34070,642,632,624,636,815,843,935,990
34080,4301,5111,5902,5961,724,845,964,973
34090,5987,5888,5806,5922,1842,1827,1815,1832
34100,11177,11088,11014,11234,336,323,312,345
34110,0,682,1500,1515,22,124,247,249
34120,0,6000,13200,13332,16,1696,3712,3732
34130,0,0,0,3870,11,11,11,1172
34140,0,2045,4500,4545,11,420,1271,1278
34150,0,4091,9000,9090,16,1162,2536,2550
34160,0,0,0,7740,22,22,22,2344
34170,0,0,0,0,11,11,11,11
35010,4101,3872,3691,3802,760,726,699,715
35020,3080,2908,2772,2855,445,440,487,539
35030,4839,4695,4578,4634,2868,2984,3403,3663
35040,3372,3184,3035,3126,889,904,1016,1108
35050,3197,3018,2877,2964,717,690,669,682
36010,3908,3690,3517,3623,789,756,730,746
36020,4202,3967,3782,3895,832,797,769,786
36030,2788,2632,2509,2584,559,536,517,529
36040,2904,2742,2614,2692,918,893,874,886
36050,4249,4012,3824,3939,416,380,352,369
36060,340,321,306,315,359,356,353,355
36070,0,0,0,0,0,0,0,0
36080,2601,2456,2341,2411,215,193,176,187
36090,4093,3864,3684,3794,258,224,197,213
36100,2167,2046,1950,2009,272,254,240,249
36110,2665,2516,2399,2470,143,121,103,114
36120,2072,1956,1865,1921,229,212,198,207
36130,2474,3204,3974,5168,29,138,254,433
36140,0,2955,6500,6565,29,620,1849,1858
36150,1868,1764,1681,1732,158,142,130,137
36160,1173,3043,6737,9262,6840,9303,12400,14693
36170,0,767,1687,2109,0,115,253,316
37010,3560,3361,3204,3300,272,243,219,233
37020,2477,2339,2229,2296,574,553,536,546
37030,3201,3022,2881,2967,373,346,325,338
37040,3717,3509,3345,3446,416,385,360,375
37050,3617,3415,3255,3353,588,558,534,548
37060,2306,2177,2075,2138,229,210,195,204
37070,3084,3376,3640,3856,272,316,356,388
37080,5123,5537,5907,6231,559,621,677,725
38010,3678,4028,4345,4603,502,554,602,641
38020,4416,4169,3974,4094,746,709,679,697
38030,3912,3694,3521,3626,918,885,859,875
38040,4724,4744,4760,4888,473,476,479,498
38050,2106,2414,2704,2906,488,534,577,608
38060,2507,2560,2604,2691,430,438,445,458
39010,2827,4361,6260,7188,516,746,1203,1342
39020,3057,3352,3620,3837,2352,2396,2436,2469
39030,2876,2715,2588,2666,215,191,172,184
39040,3152,2976,2837,2922,373,346,326,338
39050,3771,5352,7165,8013,315,553,994,1121
39060,5060,5360,5624,5765,344,389,429,450
39070,3508,4259,5005,5467,301,414,526,595
40010,3396,3451,3498,5498,897,905,912,1312
40020,4636,4711,4775,5275,797,808,818,893
40030,4404,4476,4536,5036,754,765,774,849
40040,0,0,5280,6600,0,0,1478,1676
40050,0,0,5280,6600,0,0,1478,1676
40060,4770,4848,4913,5159,1494,1506,1516,1553
40070,5438,5526,5601,5881,982,995,1006,1048
40080,3697,3757,3808,3998,697,706,714,743
40090,3401,3603,3781,3970,996,1027,1053,1082
40100,1838,1868,1893,1988,1523,1600,1836,1984
40110,4179,4247,4304,4520,2348,2471,2837,3076
40120,5341,5428,5501,5776,1210,1223,1234,1275
40130,3988,4053,4108,4313,1736,1829,2101,2285
40140,3079,3129,3171,3330,1608,1616,1622,1646
40150,3303,3357,3402,3572,1722,1730,1737,1762
40160,3172,3224,3267,3431,213,221,228,252
40170,3019,3068,3110,3265,441,449,455,478
40180,1877,1877,6631,9631,632,632,1963,2563
40190,1252,1252,5364,8364,421,421,1573,2173
40200,0,614,1350,4500,0,92,203,833
40210,3536,3593,3642,3824,470,478,486,513
40220,0,0,0,0,677,845,1378,1687
40230,0,0,0,0,106,109,121,128
40250,0,0,0,0,2007,2079,2308,2441
40260,5630,5782,5912,6207,598,621,640,684
40270,3497,3591,3672,3855,470,484,496,523
40280,3851,3955,4044,4246,498,514,527,557
40290,2780,2855,2919,3065,583,595,604,626
41010,0,818,1800,1890,199,977,1670,2265
41021,0,0,0,0,12406,12897,13307,13743
41022,0,0,0,0,4860,5352,5761,6197
41031,0,0,0,0,6284,7757,8985,10293
41032,0,0,0,0,2693,4166,5394,6702
41040,0,1724,8622,10778,0,1077,3915,5073
41050,0,2299,11496,14370,0,460,3219,3794
41060,549,2273,9171,11327,1796,3037,6011,7314
41070,0,0,0,0,800,819,880,915
41080,3681,3780,3865,4058,3512,3696,4242,4580
41090,2744,2818,2881,3025,797,808,818,839
41100,3683,3782,3867,4061,1324,1338,1351,1380
41110,4371,4489,4590,4819,1836,1854,1869,1903
41120,0,630,1386,2772,0,95,208,416
42010,1890,2449,3040,3290,871,955,1044,1081
42020,0,0,2973,5973,97,97,691,1291
42030,521,521,2611,4219,1197,1197,1615,1857
42040,0,6480,6480,6804,0,1814,1814,1863
42050,0,368,810,1620,0,55,122,243
42060,0,0,3504,6407,0,0,981,1562
43010,0,0,0,975,20,20,20,166
43020,0,0,0,0,0,0,0,0
43030,0,0,0,0,1894,2804,3562,4557
43040,3943,4040,4123,4303,390,405,417,444
43050,2628,2837,3023,3417,390,421,449,508
43060,5028,5125,5208,5388,1247,1262,1274,1301
43071,0,0,4280,14445,0,0,1198,4248
43072,0,0,4280,14445,0,0,1198,4248
43080,5148,5270,5373,5598,1977,1996,2011,2045
43090,3906,4011,4101,4297,1433,1449,1462,1492
43100,4303,4419,4518,4733,1287,1305,1319,1352
43110,3996,4104,4196,4396,942,958,972,1002
43120,3768,3889,3993,4218,1712,1812,2088,2272
43130,2842,2962,3067,3292,987,1005,1021,1055
43140,1894,2014,2119,2344,658,676,692,726
43150,3244,3365,3469,3694,1009,1027,1042,1076
43160,2566,3498,4528,5628,557,697,852,1017
43170,0,1997,4393,4881,0,300,1230,1303
43180,0,1598,3515,3906,0,240,984,1043
43190,0,0,0,0,854,854,854,854
43200,0,382,840,1344,0,57,126,202
43210,0,477,1050,1781,0,72,158,267
43220,3450,5502,8119,8430,664,1074,1971,2017
43231,0,891,1960,3920,166,300,460,754
43232,0,891,1960,3920,166,300,460,754
43240,0,0,0,0,1433,2334,3084,3883
43250,0,0,0,192,0,900,1651,2479
44010,493,557,616,647,287,296,305,310
44021,0,984,2165,2706,348,495,781,862
44022,0,1745,3840,3955,521,1263,3597,4494
44060,451,1575,4464,5467,275,443,1398,1549
44070,3276,3276,15876,20076,1953,1953,5481,6741
45010,5785,6053,6285,6914,1382,1422,1457,1551
45020,4419,4633,4819,5301,1880,1912,1940,2012
45030,5117,5117,5117,5629,353,353,353,430
45040,3412,3412,3412,3753,476,476,476,527
45050,4513,4727,4913,5404,2844,2978,3331,3592
45060,4037,4286,4505,4973,1141,1178,1211,1281
45070,4391,6149,6149,6242,546,810,810,824
45080,2123,2230,2323,2556,174,190,204,238
45090,4955,4955,4955,5450,405,405,405,479
45100,1232,1436,1632,1795,627,680,781,846
46001,0,0,6720,8400,0,0,1882,2134
46002,0,1435,3156,3945,0,215,631,750
46010,2576,2995,4671,5719,566,629,985,1143
46020,2323,2507,2671,2939,154,182,207,247
46030,3465,4032,4574,5128,481,566,647,730
46040,1175,1673,2245,2779,98,172,258,338
46051,4702,5531,6334,6742,183,307,428,489
46052,2116,2283,2433,2676,183,208,230,267
46060,0,0,0,0,0,0,0,0
46070,0,0,0,0,6056,6875,7557,8244
46080,0,0,0,0,1736,2555,3237,3924
46090,3299,3560,3794,4173,996,1035,1070,1127
46100,7253,7449,7616,8377,790,819,844,958
46110,3330,3420,3497,3846,515,528,540,592
46120,0,0,0,0,0,546,1000,1459
46130,1770,1910,2036,2239,223,244,263,293
46140,0,0,0,0,0,546,1000,1459
46150,1322,1427,1520,1672,405,421,435,458
46160,1322,2425,4022,4922,3519,3895,4938,5460
46170,1762,1902,2027,2229,608,629,647,678
47010,0,0,0,0,0,0,0,0
47020,0,0,0,0,0,2274,4168,6263
47031,0,0,0,0,5516,6880,8017,9274
47032,0,596,1312,1378,11200,11971,12647,13285
47040,6202,8911,8911,10072,2104,2722,2962,3275
47050,4848,5464,6036,6828,1753,1846,1932,2050
47060,2917,3080,3223,3427,818,843,864,895
47070,3438,3759,4050,4458,1740,1872,2180,2395
47080,2437,2599,2743,2947,1299,1386,1604,1749
47090,2336,2498,2642,2846,727,752,773,804
47100,2435,2805,3155,3635,740,796,848,920
47110,3411,4133,4851,5811,403,511,619,763
47120,1495,2160,2935,3895,593,693,809,953
47130,1223,1277,1323,1643,485,493,500,548
47140,6558,7486,8358,9558,2026,2360,3107,3643
47151,1416,6416,6416,6737,0,1400,1400,1448
47152,1416,6416,6416,6737,0,1400,1400,1448
47160,59,59,59,59,22,22,22,22
