taz1318,pop18,pop30,pop40,pop50,emp18,emp30,emp40,emp50
67053,5033,5169,5285,5549,582,602,620,659
67054,5033,7993,11753,14633,925,1517,2806,3382
67061,5967,6128,6265,6579,739,763,784,831
67062,9117,9363,9573,10051,739,776,808,879
67063,0,0,9600,12000,0,0,2688,3168
67071,0,0,0,0,0,0,0,0
67072,0,0,0,0,499,1219,3499,4819
67073,0,0,11200,16000,0,0,3136,4576
67080,0,6423,14131,17664,0,1799,3957,5017
67091,0,12218,26880,44800,1198,7893,14727,23925
67092,0,0,0,0,799,2981,4800,7349
68010,901,1083,1261,1514,718,745,772,810
68020,887,1066,1242,1490,209,236,262,299
68030,2470,4379,7058,13058,1304,1591,2589,4389
68040,1921,2308,2689,3227,887,945,1002,1083
68050,1374,1760,2164,2596,495,553,614,679
68060,254,305,356,427,365,373,380,391
68070,3468,4167,4855,5826,1843,2288,3472,4243
68080,0,0,0,0,0,0,0,0
68090,0,0,0,0,0,0,0,0
69000,0,0,0,0,22256,23592,27820,30269
69010,956,1007,1052,1577,699,707,714,792
69020,1006,1060,1107,1660,789,797,804,887
69030,588,619,647,970,334,339,343,391
69040,1258,1325,1384,2076,449,459,468,571
69050,1316,1791,2316,3474,1466,1538,1616,1790
69060,3882,4089,4270,4658,1597,1628,1655,1713
69070,6422,6422,10922,12014,2761,2761,4021,4184
69080,0,3000,6600,16500,4188,6607,9370,13966
70010,823,1027,1235,1646,950,980,1011,1073
70020,1010,1260,1515,2020,271,309,347,423
70030,1350,1350,6825,8700,819,819,2352,2633
70040,3847,4711,5578,7502,1544,1674,1804,2093
70050,821,1005,1190,1601,136,163,191,253
70061,0,0,0,0,0,720,3000,4320
70062,0,0,0,0,60,63,72,77
70070,5729,7147,8594,11458,2118,2331,2691,3264
70080,1286,1575,1865,2508,626,669,713,809
70090,2303,2820,3339,4491,908,985,1063,1236
70100,1731,2120,2510,3375,566,625,683,813
70110,1967,2454,2951,3934,908,981,1055,1203
70120,4102,5024,5948,7999,1044,1182,1320,1731
71000,0,0,0,0,8228,8372,8828,9092
71010,0,0,0,0,12139,17959,22810,28219
71020,334,334,334,334,805,883,1128,1269
71030,0,0,0,0,2148,2354,3007,3385
71040,0,0,0,0,2255,2472,3157,3554
71050,3770,3831,3883,3996,465,474,482,499
71060,4040,4106,4161,4282,697,707,715,734
71070,3848,3911,3963,3963,2201,2210,2218,2218
71080,5370,5457,5531,5531,3171,3577,4830,5549
71090,4261,4330,4389,4389,506,516,525,525
71100,4261,4330,4389,4517,916,926,935,954
71110,7926,8055,8164,8402,1882,1901,1917,1953
71120,0,0,0,0,0,0,0,0
71130,0,1415,3114,8200,0,212,623,2149
71140,0,0,0,0,0,0,0,0
71150,0,1415,3114,8200,0,212,623,2149
71160,3771,3832,3884,3997,547,556,564,581
71170,6517,6623,6713,6908,588,604,617,646
71180,7884,8057,8203,8299,916,942,964,978
71190,1501,2098,2774,3155,178,267,369,426
71200,7204,7321,7420,7636,1422,1439,1454,1487
71210,9657,9814,9947,10236,805,828,848,892
71220,2504,3080,3659,4006,295,381,468,520
71230,0,525,1155,1502,3314,3711,4813,5449
71240,8720,8862,8982,8982,1121,1142,1160,1160
71250,5654,6072,6444,6680,711,774,829,865
71260,5119,5720,6274,6621,560,651,734,786
71270,3541,3599,3647,3753,1012,1309,2230,2775
71280,2617,2660,2696,2774,4757,4992,5720,6151
71290,4770,4848,4913,4913,1927,1939,1949,1949
71300,4116,4183,4239,4363,1668,1678,1686,1705
71310,3528,3585,3634,3634,574,583,590,590
71320,3547,3605,3653,3653,621,630,637,637
71331,5369,8399,12194,21067,326,932,2237,4899
71332,4335,5472,6645,7338,606,777,1068,1172
71340,742,1832,3892,7986,137,300,767,1995
71350,0,0,0,0,2748,4385,5749,7376
71361,7416,7537,7638,7638,179,197,212,212
71362,4929,5009,5077,9127,715,727,738,1953
71390,0,2273,5000,15000,1804,3350,5205,9290
71400,1236,2266,3756,4512,205,360,709,822
71410,3071,3121,3163,3163,109,117,123,123
71420,0,1575,3465,4505,0,236,693,849
72010,0,0,0,0,0,0,0,0
72020,0,0,0,0,0,0,0,0
72031,0,0,0,0,5534,5897,6201,6562
72032,0,0,0,0,7335,7881,8336,8879
72040,4837,5343,5804,5920,1015,1091,1160,1178
72050,2515,2778,3018,3521,646,686,722,797
72060,4868,5377,5842,5958,954,1030,1100,1117
72070,4240,4683,5088,5190,400,466,527,542
72080,5017,5542,6020,7024,1277,1355,1427,1578
72090,4445,4910,5334,5441,692,762,826,842
72100,0,0,0,0,1384,1744,2884,3544
72110,6730,7434,8076,8238,815,921,1017,1041
72121,0,6210,6210,6272,44,1783,1783,1792
72122,7026,7102,7167,9267,0,11,21,441
72123,7026,7215,7377,7525,0,28,53,75
72131,0,4536,15120,21600,0,1270,4234,6178
72132,0,3436,7560,10800,0,687,2117,2765
73012,4656,6045,7514,7889,148,357,720,776
73013,3451,4698,6076,8701,333,521,858,1383
73014,2892,4113,5517,8142,259,443,784,1309
73021,7340,8588,9788,10400,999,1186,1488,1580
73022,7340,10479,12572,13880,1428,2056,2893,3089
73030,0,0,0,0,0,0,0,0
73040,7017,8594,10175,13683,2933,3169,3564,4617
73051,5703,6528,7307,8750,1851,1975,2092,2308
73052,5552,6363,7129,8705,793,915,1030,1266
73053,6944,9116,11436,18198,1851,2285,3109,5137
73054,5552,8178,11293,15244,793,1318,2401,3586
73060,0,0,0,0,1494,1908,3218,3976
74010,0,3068,6750,11250,0,614,1890,3240
74020,90,956,6840,11340,35,165,1925,3275
74030,2916,3969,5132,6609,1122,1280,1566,1787
74040,5883,7554,9303,11583,1972,2222,2656,3112
74050,0,0,0,0,0,720,3000,4320
74061,7412,7587,7736,7952,1446,1473,1495,1527
74062,7412,11459,11459,12031,1446,2580,2580,2666
74070,4381,4498,4597,4741,1350,1497,1922,2182
75010,1261,1573,1892,2522,887,934,982,1076
75020,629,785,944,1258,146,169,193,240
76010,363,453,545,726,219,233,246,274
76020,572,1455,3168,4158,417,550,937,1085
76030,2703,3310,3919,4730,1689,1780,1871,1993
76040,1563,1914,2266,3048,849,902,955,1072
76050,1618,1982,2346,3155,428,482,537,658
76060,808,990,1172,1576,219,246,274,334
77010,1018,1247,1476,1985,240,274,309,385
77022,1116,2188,3834,5274,0,161,544,760
77030,2220,2719,3219,11762,1252,1327,1402,3965
77040,2451,3002,3554,4044,1492,1575,1658,1731
78010,4605,5640,6677,7598,2870,3025,3284,3422
78020,614,752,890,1013,230,250,271,289
79010,6759,6832,6894,7029,1704,1715,1725,1745
79020,1373,1681,1991,2265,689,735,781,823
79030,1388,1700,2013,2290,475,522,569,611
80010,0,0,0,0,786,880,1179,1352
80020,0,0,0,0,7210,8120,8877,9501
80030,300,300,300,300,0,0,0,0
80040,0,0,0,0,0,0,0,0
80050,7900,7900,7900,7900,982,982,982,982
80060,4583,4870,5123,5483,864,907,945,999
80070,4201,4201,4201,4201,570,570,570,570
80080,3332,3616,3872,4232,727,770,808,862
80090,5504,5792,6044,6404,707,751,788,842
80100,6043,6332,6583,6943,275,318,356,410
80110,0,2716,5976,7470,0,543,1673,1897
80120,0,2405,5292,5880,0,481,1482,1570
80130,8866,9337,9748,10336,1154,1224,1286,1374
80140,4407,4794,5142,5877,1002,1060,1112,1222
80150,0,3072,3072,3164,0,614,614,628
80160,6558,11496,11496,11841,1277,2660,2660,2711
