taz,area,type,cultural,education,office,shopping,health,religiosit,urban,transporta,empl_indu,empl_comm,empl_serv,empl_tot,students,population,households,parkcost,parkwalk,popdens,ga21,ga22,ga23,ga24,ga25,ga26,ga11,ga12,ga13,ga14,ga15,ga16,workers,workperc,avgHH,soceco,Mlic2,Mlic3,Mlic4,Mlic5,Mlic6,Flic2,Flic3,Flic4,Flic5,Flic6,emp2pop,parkcap,parkAM,parkPM,parkOP,INTLSUME,INTLSUMO,INTLSUMS,INTLSUMW,LSIZESEC,LSIZEINTS,LSUMSIZE0,LSUMSIZES,Hh0car,HH1car,HH2car,HH3car
1208,0.535,3,0,3,0,0,0,0,1,0,408,375,890,1673,0,5795,2102,3,3,10.8233,858,161,125,302,1063,460,817,153,118,288,1012,437,2847,0.49129,2.76,20,0.45,0.97,0.97,1,0.97,0.38,0.99,0.99,0.95,0.96,0.289,1807,0.00079,0.00171,0.00167,1.922205,2.842781,3.147464,1.987874,3.320224,4.959363,3.192095,2.885736,34,222,1525,321
1209,0.744,2,0,3,0,0,0,0,1,0,125,44,575,744,0,3308,1432,3,3,4.4458,393,95,88,148,605,411,355,85,80,133,545,370,1587,0.47975,2.31,17,0.43,0.94,0.96,0.97,0.99,0.36,0.99,0.95,0.97,1.01,0.225,2078,0.00032,0.00112,0.00108,1.616689,2.3471,2.563683,1.452681,2.817866,4.321709,2.774888,2.42482,208,739,444,41
1210,0.396,8,0,1,0,0,0,0,1,0,656,528,2260,3444,3714,3790,1579,3,3,9.5681,343,94,106,250,656,570,301,82,93,219,576,500,1952,0.51504,2.4,18,0.45,0.95,0.97,1,0.97,0.38,1.03,0.99,0.95,0.96,0.909,1907,0.0007,0.00157,0.00153,5.17918,4.607517,5.078413,4.149744,5.605604,6.196217,5.482205,3.297406,60,372,1015,132
1211,0.408,3,0,2,0,0,0,0,1,0,124,55,888,1067,0,2645,1064,3,3,6.49,246,80,80,133,444,355,241,78,78,130,434,346,1275,0.48204,2.49,19,0.45,0.95,0.97,1,0.97,0.38,1,0.99,0.95,0.96,0.403,1317,0.0007,0.00196,0.0019,1.280049,2.166267,2.472718,1.391636,2.742387,4.347506,2.562691,2.29461,18,116,771,159
1212,0.386,3,0,0,0,0,0,0,1,0,213,239,813,1265,0,4314,1471,3,3,11.1825,526,121,131,192,824,379,519,119,129,189,812,374,2131,0.49397,2.93,19,0.45,0.95,0.97,1,0.97,0.38,1,0.99,0.95,0.96,0.293,1321,0.00111,0.00238,0.00232,1.567574,2.531454,2.855561,1.694502,2.993947,4.665439,2.848621,2.553759,23,150,1068,230
1213,0.489,8,0,3,0,0,0,0,1,0,495,417,1506,2418,0,2005,902,3,3,4.0965,203,89,62,109,334,180,213,93,65,115,351,189,975,0.48628,2.22,15,0.42,0.92,0.94,0.99,1.03,0.35,0.9,0.86,0.96,1.01,1.206,1868,0.00037,0.00126,0.00122,1.161002,2.258164,2.696452,1.786349,3.127309,4.78684,2.685994,2.600343,255,498,135,14
1214,0.447,7,0,2,1,0,1,0,1,0,2768,1382,5722,9872,0,143,162,25,3,0.3198,0,0,0,0,0,93,0,0,0,0,0,49,66,0.46154,0.88,14,0.41,0.91,0.92,0.98,1.02,0.34,0.85,0.81,0.91,0.95,15,3681,0.00036,0.00081,0.00079,-0.069614,2.812857,3.57201,2.850189,4.15494,5.925757,3.219913,3.509251,108,49,4,1
1215,1.145,7,0,0,1,0,0,0,1,0,847,810,3587,5244,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.28,0.72,0.59,0.72,0.73,0.16,0.44,0.23,0.34,0.33,15,4230,0.0003,0.0007,0.00068,0.135159,2.244212,2.975049,2.305974,3.528996,5.290624,2.594233,2.899904,0,0,0,0
1216,0.417,7,0,2,1,0,1,0,1,0,2768,1382,5722,9872,0,143,162,25,3,0.343,0,0,0,0,0,93,0,0,0,0,0,49,66,0.46154,0.88,14,0.41,0.91,0.92,0.98,1.02,0.34,0.85,0.81,0.91,0.95,15,3605,0.00037,0.00083,0.00081,-0.102639,2.811036,3.571158,2.848435,4.154465,5.925676,3.218701,3.508344,108,49,4,1
1217,0.341,8,0,3,0,0,0,0,1,0,495,417,1506,2418,0,2005,902,3,3,5.8751,203,89,62,109,334,180,213,93,65,115,351,189,975,0.48628,2.22,15,0.42,0.92,0.94,0.99,1.03,0.35,0.9,0.86,0.96,1.01,1.206,1497,0.00061,0.00172,0.00167,1.113486,2.242552,2.686408,1.761205,3.120792,4.785603,2.675844,2.589281,255,498,135,14
