code,year,NafaNum,population,employment
2020,2020,13,8328171.102283,2814945.8016100014
2025,2025,13,8328171.102283,2814945.8016100014
2030,2030,13,8328171.102283,2814945.8016100014
2035,2035,13,8328171.102283,2814945.8016100014
2040,2040,13,8328171.102283,2814945.8016100014
