taz,name,main_area,pop07,emp07,MR07,pop30,emp30,MR30,pop40,emp40,MR40
3099,רחובות - דרום העיר,רחובות,31372,3614,308,41573,6642,427,44907,8065,487
3100,רחובות - מערב העיר,רחובות,10469,4640,304,25045,6808,424,26712,7873,487
3101,רחובות כפר גבירול ומושב גאליה,רחובות,7598,1181,301,15899,9740,415,19234,11478,465
3102,רחובות - בית חולים קפלן,רחובות,1039,3945,386,3159,5911,527,4827,7110,590
3103,"רמלה - א""ת ובית הסוהר",רמלה,3554,2250,0,629,9224,64,629,11419,101
3104,רמלה - אזור המלאכה,רמלה,3915,6700,210,8757,6241,307,9491,7264,359
3105,רמלה - צפון ומרכז העיר,רמלה,34258,6450,233,40476,9673,339,41211,10820,395
3106,רמלה - דרום העיר,רמלה,22808,5450,224,29987,9540,320,31456,10839,371
3107,כפר סבא - שכונות מערביות,כפר סבא,29585,7150,402,51730,16582,543,53800,18729,606
3108,כפר סבא - צפון ומרכז העיר,כפר סבא,20859,5750,392,20128,4376,530,20646,4936,591
3109,כפר סבא - שכונות דרומיות,כפר סבא,15382,5550,388,16454,3836,527,16971,4342,589
3110,כפר סבא - שכונות מזרחיות,כפר סבא,11323,1200,326,16684,3670,448,17719,4275,509
3111,"כפר סבא - א""ת",כפר סבא,0,10800,0,0,15968,0,0,19770,0
3112,כפר יונה,כפר יונה,14499,2900,224,34165,6701,322,45255,9873,373
3113,נתניה - אזור צפוני ממערב ל 2,נתניה,78320,36200,309,71431,40202,437,72482,44518,503
3114,נתניה - מרכז ממערב לכביש 2,נתניה,23331,4000,310,45550,6853,433,51856,8965,496
3115,נתניה - דרום ממערב לכביש 2,נתניה,55571,6000,302,88788,12159,422,97196,15282,485
3116,נתניה - נווה איתמר,נתניה,642,110,326,635,256,457,1686,518,526
3117,נתניה - אזור תעשיה צפוני,נתניה,0,11100,0,0,19031,0,0,23561,0
3118,נתניה - קרית רבין,נתניה,8943,1250,235,17874,10745,331,21027,12543,379
3119,"נתניה - א""ת דרומי",נתניה,0,12400,0,0,38429,0,0,47577,0
3120,"ראש העין - צומת קסם וא""ת ישן",ראש העין,0,6581,0,3280,4661,315,4287,5585,336
3121,ראש העין - פארק אפק,ראש העין,0,10768,0,0,11057,0,0,12516,0
3122,ראש העין - דרום,ראש העין,12601,3567,282,14054,1703,392,22106,3685,447
3123,ראש העין - צפון,ראש העין,25119,3226,283,44666,7249,392,45673,8211,446
3124,שוהם,שוהם,19256,3131,367,27999,5559,481,33117,7273,529
3125,מכבים-רעות,מכבים-רעות,11112,1281,317,21635,9594,423,21635,10567,468
3126,מודיעין - האזור הותיק ,מודיעין,25583,3376,329,38902,6938,439,41410,8205,486
3127,מודיעין - ציפור והשמשוני,מודיעין,27673,4206,326,41961,8379,435,44468,9793,482
3128,מודיעין - הדרום,מודיעין,0,0,0,23835,898,315,43895,5496,336
3129,מודיעין - קייזר,מודיעין,0,396,0,29068,5003,315,44113,8892,336
3130,מודיעין - צפון מערב,מודיעין,0,0,0,6600,10926,315,16630,21030,336
3131,אשדוד - אזור הנמל,אשדוד,0,2456,0,0,8967,0,0,9415,0
3132,"אשדוד - א""ת",אשדוד,0,32956,0,0,27915,0,0,31485,0
3133,אשדוד - שכונות צפוניות,אשדוד,21894,6071,211,23187,9925,318,23741,10510,377
3134,אשדוד - שכונות צפון מזרח,אשדוד,36661,3496,167,44648,6465,239,46408,7070,278
3135,אשדוד - מרכז העיר,אשדוד,66277,9084,238,74243,11744,345,76812,12744,403
3136,אשדוד - אזור הקריה והמרינה,אשדוד,17595,2529,285,33656,8068,401,37163,9035,460
3137,אשדוד - האזור הדרומי,אשדוד,64596,7432,309,81966,15321,429,85877,18889,489
3138,גדרה,גדרה,17161,4122,262,29312,8245,368,32637,9828,421
3139,יבנה - ממערב לכביש 4,יבנה,0,1700,0,0,262,0,0,289,0
3140,"יבנה - א""ת צפוני",יבנה,0,5220,0,0,8598,0,0,10644,0
3141,יבנה - אזור המלאכה,יבנה,0,1100,0,0,3681,0,0,4557,0
3142,יבנה - אזורי מגורים מערביים,יבנה,7597,1275,338,10598,2725,465,12579,3447,521
3143,יבנה - אזורי מגורים מזרחיים,יבנה,24417,2460,198,44593,7805,292,47564,9265,342
3144,קרית עקרון,קרית עקרון,9954,4962,228,14479,4511,331,18694,5916,386
3145,מזכרת בתיה,מזכרת בתיה,9926,1595,291,25980,6152,401,33544,8476,451
3146,אזור ויתקין ומבואות ים,עמק חפר,5815,2491,298,8203,3005,411,10591,3846,465
3147,אזור תעשיה ,עמק חפר,0,3970,0,0,3744,0,0,4635,0
3148,"אזור כפר הרוא""ה וגבעת חיים",עמק חפר,9525,4050,209,17621,3786,304,22752,5323,350
3149,אזור אחיטוב,עמק חפר,2356,854,252,4405,841,356,5688,1215,404
3150,זמר,עמק חפר,5241,967,323,9440,1019,433,12188,1740,489
3151,אזור בת חפר,עמק חפר,5815,1345,282,12513,4003,380,16156,8599,422
3152,אזור אביחיל,עמק חפר,3208,703,278,4614,890,393,5957,1282,446
3153,אזור בית יצחק,עמק חפר,4512,2802,287,7528,3321,403,9720,4150,457
3154,אזור מדרשת רופין,עמק חפר,1905,1401,256,3884,1832,365,5015,2522,416
3155,אזור בארותיים,עמק חפר,3208,1029,334,7039,2976,451,9088,3738,503
3156,אזור נורדיה,השרון,2707,713,329,3455,1366,456,4461,1730,521
3157,אבן יהודה,השרון,9865,3038,333,18569,4512,454,23975,6184,508
3158,אזור בית יהושע,השרון,3108,864,346,4484,1999,464,5789,2496,517
3159,אזור שפיים,השרון,3158,3525,266,5452,6238,376,7039,8079,428
3160,אזור פרדסיה-ינוב,השרון,10628,2435,308,13564,4698,421,17513,6062,470
3161,ניצני עוז - שער אפרים,השרון,1955,613,375,2495,1165,494,3222,1446,545
3162,טייבה,השרון,34250,5071,223,61500,14707,313,73205,18830,359
3163,טירה,השרון,21350,4218,230,36026,8515,323,42177,10761,372
3164,גוש תל מונד,השרון,18448,4539,286,26379,6938,396,34059,10491,452
3165,אזור כוכב יאיר,השרון,12533,1845,363,24862,4898,484,32101,8706,536
3166,אזור בית ברל,השרון,3960,2912,296,7563,4417,413,9765,5964,467
3167,אזור בני ציון,השרון,2507,1024,365,3122,1003,489,4031,1309,543
3168,יישובי מזרח הוד השרון,"ממת""א",4813,1958,347,7946,4393,467,10259,5358,520
3169,מתן-חגור,"ממת""א",4813,1085,279,7106,3577,379,9175,4404,423
3170,נירית ואורנית,"ממת""א",6984,1958,352,3658,1366,471,4723,1744,522
3171,כפר קאסם וכפר ברא,"ממת""א",20459,2852,191,39291,10540,271,45628,13034,312
3172,אזור מזור,"ממת""א",6166,2561,257,9427,4038,362,12172,5064,417
3173,אלעד-נחשונים,"ממת""א",29577,2772,164,61933,11075,231,75306,15203,266
3174,אזור טירת יהודה,"ממת""א",2507,1755,186,3886,1828,271,5017,6762,316
3175,אזור כ. טרומן,מודיעין-גזר,2557,1250,226,3909,985,324,5047,1341,377
3176,אזור כ. דניאל,מודיעין-גזר,1103,341,233,1803,454,328,2328,618,377
3177,אזור בן שמן,מודיעין-גזר,2105,722,296,3405,858,404,4397,1168,459
3178,ישובי צפון מודיעין,מודיעין-גזר,3058,743,302,4909,2181,409,6339,3847,465
3179,אזור מצליח-ישרש,מודיעין-גזר,1905,516,306,5737,1237,421,10145,2353,472
3180,יישובי כביש 424,מודיעין-גזר,4546,1053,332,8457,1913,448,10920,2660,500
3181,מזרח חבל מודיעין,מודיעין-גזר,0,0,0,0,0,0,0,0,0
3182,אזור כרמי יוסף,"דמת""א",1805,616,290,2547,530,401,3289,751,453
3183,אזור חולדה,"דמת""א",2807,1489,304,5713,1529,424,7376,2058,478
3184,אזור נען,"דמת""א",3008,1558,221,6057,1295,322,7820,1823,371
3185,אזור בית חילקיה,"דמת""א",2456,603,156,8537,2751,230,11023,3588,269
3186,אזור גבעת ברנר,"דמת""א",2306,1362,235,4458,2389,343,5755,2923,395
3187,"מ""א גן רווה","דמת""א",3509,1250,271,8240,2906,377,10640,3740,427
3188,"בני עי""ש","דמת""א",7748,2474,271,11069,2469,388,14292,3444,449
3189,אזור גן יבנה,"דמת""א",16142,4469,247,28138,5407,347,36330,7796,398
3190,אזור עשרת,"דמת""א",3860,1365,373,8153,2473,498,10527,3258,554
3191,אזור קבוצת יבנה,"דמת""א",2005,877,196,2870,618,286,3705,869,334
3192,מבואות אשדוד,"דמת""א",952,488,161,1435,309,245,1853,434,290
3193,פארק אילון,פארק אילון,0,0,0,0,8,0,0,8,0
3194,פתח תקווה - כפר גנים,פתח תקווה,38463,6750,331,47614,8793,460,48991,9995,518
3195,"כפר סירקין, גבעת השלושה ועינת","ממת""א",2105,1406,285,4565,1309,397,5894,1741,448
3196,כפר סבא - צפון ומרכז העיר,כפר סבא,3026,700,413,2966,3057,545,8139,4530,601
3197,כפר סבא - שכונות דרומיות,כפר סבא,1891,200,402,1757,63,539,2792,302,604
3198,נתניה - שיכון ותיקים,נתניה,8924,800,310,9721,734,428,10772,1044,489
3199,קדימה-צורן,השרון,16838,4233,328,24963,4176,442,32231,6233,490
3200,מושבים מדרום ליבנה,"דמת""א",2306,789,314,8853,2193,426,13804,3528,475
3201,"רמת גן - בי""ח תל השומר",רמת גן,0,7614,0,3162,11564,315,4402,13246,336
3202,"רמת אפעל, סמינר אפעל ובית אבות",אפעל,3008,1170,397,3034,1181,542,5844,1889,611
3203,"כפר אז""ר","כפר אז""ר",526,803,420,3074,991,563,5074,1391,626
3204,תל אביב - רחוב המסגר,תל אביב,0,23350,0,775,21926,315,802,22931,336
3205,תל אביב - רובע 9 רחוב השלושה,תל אביב,0,2700,0,420,3590,315,435,3593,336
3206,תל אביב - קרית עתידים,תל אביב,0,11700,0,1957,11364,315,2027,12878,336
3207,רמת השרון - מחנה גלילות והרב מכר,רמת השרון,0,500,0,876,5029,315,6171,7588,336
3208,"רמת השרון - הכפר הירוק, פי גלילות ומגרשי טניס",רמת השרון,833,650,168,17790,5196,254,20437,6726,299
3209,בסיס תל השומר,בקעת אונו,0,1088,0,11131,4419,315,13771,6447,336
3210,"הוד השרון - תע""ש וממערב לכביש 4",הוד השרון,0,870,0,0,2925,0,8630,6846,336
3211,חולון - דרום העיר - לא בנוי,חולון,0,0,0,7635,1527,315,11017,2203,336
3212,מושב אחיסמך,מושב אחיסמך,1103,351,219,5425,1193,317,8430,1989,370
3213,בסיס צריפין,בסיס צריפין,0,2348,0,0,3557,0,6497,8187,336
3214,איירפורט סיטי,איירפורט סיטי,0,3580,0,0,8230,0,0,10750,0
3215,תל אביב - צפון ציר אילון (ת. רכבת השלום),תל אביב,7274,26000,322,8124,25788,448,8412,26846,506
3216,קלנסוואה,השרון,17458,2372,203,31636,6993,287,37707,9067,331
3217,ג'לג'וליה,"ממת""א",7887,1142,157,19344,5041,230,24976,6818,268
3218,נוף איילון ושעלבים,מודיעין-גזר,3826,888,239,7204,1630,325,9302,2266,364
3219,"א.ת. רג""מ","רג""מ",0,0,0,0,7099,0,0,10066,0
4001,אופקים - מגורים,אופקים,21819,2593,193,28723,4339,285,33664,4600,336
4002,באר שבע - רובע 2,באר שבע,56811,7810,237,57277,6970,344,67130,10325,400
4003,"באר שבע - בי""ח, אוניברסיטה",באר שבע,0,10469,0,0,10618,0,0,14291,0
4004,"באר שבע - עיר עתיקה, מרכז אזרחי",באר שבע,6898,19800,338,12254,26415,469,14362,30570,536
4005,"באר שבע - א""ת",באר שבע,0,9600,0,12983,41962,315,15216,58868,336
4006,באר שבע -  שכונת רמות,באר שבע,17136,2525,338,28386,6821,458,33269,11958,510
4007,באר שבע - שכונה ד,באר שבע,20289,3885,190,25561,3466,292,29958,4325,349
4008,באר שבע -  שכונה ג,באר שבע,11877,2000,219,13229,2818,328,15505,3319,387
4009,"באר שבע -  שכונות א,ב, ה",באר שבע,31350,8850,273,42579,6128,391,49904,10055,452
4010,"באר שבע -  שכונה ט, נווה זאב",באר שבע,35679,6440,287,40569,4526,400,47548,5092,457
4011,באר שבע - שכונות נווה נוי ונחל בקע,באר שבע,6468,1525,238,22162,4449,348,25975,13339,407
4012,שגב שלום,שגב שלום,6656,654,176,13339,2299,245,17668,3109,282
4013,דימונה - מגורים,דימונה,33459,3735,177,50667,6304,269,59383,7317,319
4014,אזור תעשייה רמת בקע,א. ת. רמת בקע,0,0,0,0,11077,0,0,12701,0
4015,להבים,להבים,5670,792,394,7128,1193,521,8354,1450,575
4016,ערד - מגורים,ערד,23489,2934,240,35000,4033,348,41021,6290,406
4017,רהט,רהט,40857,4585,170,87544,13926,237,115949,20256,272
4018,"שדרות - א""ת",שדרות,0,3371,0,0,4470,0,0,6432,0
4019,שדרות - מגורים,שדרות,19933,3013,190,22973,3519,285,25641,3983,338
4020,נתיבות,נתיבות,25216,7335,206,43219,10029,295,50653,11725,341
4021,עומר,עומר,6372,2462,400,9592,4415,539,11243,5972,603
4022,רמת חובב,רמת חובב,0,2947,0,0,4174,0,0,4384,0
4023,מיתר,מיתר,7002,800,345,9598,2360,465,11249,3814,518
4024,ירוחם,ירוחם,8453,2701,181,16001,3643,270,18753,4641,320
4025,"קרית גת - א""ת",קרית גת,0,13483,0,0,19254,0,0,22238,0
4026,קרית גת - מגורים,קרית גת,47919,6480,229,63588,8548,334,72496,10009,391
4027,אשקלון - מגורים צפון מערב,אשקלון,8123,1974,364,12417,2377,487,14479,2747,541
4028,"אשקלון - א""ת צפוני",אשקלון,0,11798,0,0,15644,0,0,18068,0
4029,אשקלון - חוף,אשקלון,4336,3569,321,5865,3813,452,6839,4122,513
4030,אשקלון - שכונות מצפון לבן גוריון,אשקלון,39130,6506,272,51939,8157,387,59531,9458,448
4031,אשקלון - שכונות מדרום לבן גוריון,אשקלון,44716,6500,210,56784,8293,313,65180,9698,370
4032,"אשקלון - א""ת דרומי",אשקלון,0,5618,0,0,7449,0,0,9386,0
4033,אילת,אילת,46956,22606,232,70000,34556,337,84343,38125,385
4034,"מ""א מרחבים - צפון","מ""א מרחבים",3058,1063,191,3658,2628,281,4288,5538,327
4035,"מ""א בני שמעון","מ""א בני שמעון",2707,2490,249,17148,4975,356,20098,6768,411
4036,"מ""א מרחבים - דרום","מ""א מרחבים",5013,1266,211,6387,1710,299,7485,1972,343
4037,"קרית מלאכי - א""ת",קרית מלאכי,0,3595,0,0,4401,0,0,5083,0
4038,קרית מלאכי - מגורים,קרית מלאכי,19625,1760,170,23322,3092,256,26031,3539,304
4039,מצפה רמון,מצפה רמון,4347,1448,180,5257,1579,268,5868,1724,317
4040,מ.א. באר טוביה  ביצרון,"מ""א באר טוביה",2356,2310,185,3128,1391,279,3466,1700,328
4041,"מ""א באר טוביה  צפון","מ""א באר טוביה",5113,3008,347,6809,3870,473,7876,4191,537
4042,"מ""א שפיר ","מ""א שפיר",5214,1919,168,8910,2338,251,11115,2748,297
4043,"מ""א שפיר","מ""א שפיר",1583,560,182,2416,674,271,3014,788,319
4044,"מ""א שפיר  ","מ""א שפיר",2657,809,179,4140,1002,270,5165,1188,319
4045,"מ""א יואב - צפון","מ""א יואב",3208,1297,193,4920,1502,286,5939,1708,335
4046,"מ""א חוף אשקלון - צפון","מ""א חוף אשקלון",7018,2593,301,18660,4201,413,24153,5601,469
4047,"מ""א שער הנגב - מערב","מ""א שער הנגב",2607,672,211,2819,695,308,2953,735,355
4048,"מ""א שער הנגב - מזרח","מ""א שער הנגב",2105,1536,221,2234,1574,324,2340,1657,375
4049,"מ""א אשכול","מ""א אשכול",9024,6712,200,13081,7628,297,14911,8228,348
4050,"מ""א שדות נגב - מזרח","מ""א שדות נגב",5013,2005,187,6285,1969,273,7366,2242,318
4052,פזורה דרומית לערד,פזורה דרומית לערד,5915,519,209,16834,2050,284,22545,3041,323
4053,שטחי ישובים מערבית לבאר שבע,אזור באר שבע,802,785,171,1605,676,261,1882,754,308
4054,"מ""א אזורית לכיש - ממזרח לקרית גת","מ""א אזורית לכיש",1303,622,379,3443,829,509,4664,1041,575
4055,"מ""א אזורית לכיש - ממערב לקרית גת","מ""א אזורית לכיש",2388,861,272,6800,1262,383,9212,1662,441
4056,"מ""א רמת נגב - צפון","מ""א רמת נגב",3960,1401,208,25260,4657,301,29308,5507,344
4057,"מ""א תמר - אזור ים המלח","מ""א תמר",702,7286,211,695,8175,313,738,8587,367
4058,"קמ""ג","קמ""ג",0,1500,0,0,1500,0,0,1500,0
4059,"מ""א תמר - אזור הערבה","מ""א תמר",451,227,275,490,235,384,520,249,439
4060,"מ""א ערבה תיכונה - צפון","מ""א ערבה תיכונה",1253,453,390,2247,572,518,2907,690,580
4061,"מ""א חבל אילות - אזור הערבה","מ""א חבל אילות",2306,1058,190,2728,1123,281,3002,1207,328
4062,"מ""א חבל אילות - אזור צפוני","מ""א חבל אילות",231,206,202,324,215,296,357,229,347
4063,"מ""א חבל אילות - אזור דרומי","מ""א חבל אילות",100,53,0,123,56,180,135,60,200
4064,לקיה,לקיה,8049,788,127,19558,2563,189,25904,3710,222
4065,כסיפה,כסיפה,10394,1017,232,22119,4012,312,29296,6437,354
4066,ערערה בנגב,ערערה בנגב,12728,1245,180,26663,4476,250,35314,6625,287
4067,חורה,חורה,10177,996,229,21083,2786,311,27924,4024,354
4068,שטחי פזורה וישובים מזרחית למיתר,פזורה,11530,1015,227,52213,10695,306,55665,8572,348
4069,שטחי פזורה בסביבת חורה,פזורה,21055,1847,220,40718,6710,299,53930,9703,339
4070,פזורה דרומית מזרחית לבאר שבע,פזורה,9024,788,211,41646,5782,286,55159,8242,325
4071,אזור תעשיה מישור רותם,א. ת. מישור רותם,0,1236,0,0,2079,0,0,2184,0
4072,אשקלון - מגורים צפון העיר - מרכז,אשקלון,11932,4423,298,16138,4984,415,18818,5560,476
4073,"מ""א באר טוביה  אמונים","מ""א באר טוביה",7520,3086,302,12620,4277,414,16323,5445,471
4074,"מ""א באר טוביה -  דרום","מ""א באר טוביה",2807,1245,301,5024,1516,415,6498,1793,473
4075,"מ""א יואב - דרום","מ""א יואב",1203,1053,174,1842,1141,267,2224,1247,318
4076,"מ""א חוף אשקלון - דרום","מ""א חוף אשקלון",2757,1037,200,6712,1507,298,7735,1705,348
4077,"מ""א שדות נגב - מערב","מ""א שדות נגב",2857,1128,276,6927,2148,382,7996,2404,435
4078,"מ""א רמת נגב - מרכז","מ""א רמת נגב",0,0,0,0,0,0,0,0,0
4079,"מ""א רמת נגב - דרום","מ""א רמת נגב",0,0,0,0,0,0,0,0,0
4080,"מ""א ערבה תיכונה - דרום","מ""א ערבה תיכונה",1103,452,203,1920,555,296,2484,660,344
4081,"עיר הבה""דים (בתכנון)","עיר הבה""דים (בתכנון)",0,0,0,0,2040,0,0,2142,0
4082,שדה תעופה נבטים,שדה תעופה נבטים,0,225,0,600,112,315,703,134,336
4083,תל שבע,תל שבע,13758,1112,213,30783,4084,289,40771,5892,328
4084,"אופקים - א""ת",אופקים,2879,1420,280,3791,1984,388,4443,2189,444
4085,"דימונה - א""ת",דימונה,0,5328,0,0,7089,0,0,8514,0
4086,ערד - א. תעשייה,ערד,0,2809,0,0,3851,0,0,5114,0
4087,"אזור ניר ח""ן","מ""א אזורית לכיש",3900,1452,239,5207,1775,337,6019,1961,389
5001,עמק דותן,עמק דותן,2005,557,210,4440,1794,299,5153,2485,344
5002,מערב השומרון,מערב השומרון,2807,797,236,6216,2568,324,7215,3557,367
5003,אזור מעלה שומרון,אזור מעלה שומרון,17546,4458,232,38849,14369,328,45092,19901,377
5004,אזור אריאל,אזור אריאל,10728,3821,225,23753,12317,320,27571,17058,363
5005,מזרח השומרון,מזרח השומרון,3208,916,153,7104,2952,227,8245,4088,266
5006,דרום בקעת הירדן,בקעת הירדן,1203,293,319,2664,944,437,3092,1308,495
5007,אזור שילה,אזור שילה,5214,1299,189,11544,4188,269,13399,5800,310
5008,אזור עטרת,אזור עטרת,7018,1833,232,15540,5907,325,18037,8181,366
5009,בית לחם וצפון ים המלח,אזור בית לחם,602,205,204,1332,661,293,1546,915,338
5010,אזור חברון,אזור חברון,1354,412,226,2997,1327,305,3479,1838,344
5011,אריאל,אריאל,16567,6184,262,36682,19932,374,42577,27605,431
5012,צפון בקעת הירדן,בקעת הירדן,3660,1172,250,8103,3777,353,9405,5231,405
5013,עמנואל והסביבה,עמנואל והסביבה,4010,1073,158,8880,3458,232,10307,4789,271
5014,אזור טלמון,אזור טלמון,4863,1350,212,10767,4352,290,12497,6027,328
5015,דרום הר חברון,דרום הר חברון,3710,1056,193,8214,3402,273,9534,4712,315
