code,year,citycode,population,employment
2040,2040,1061,74677.0,42297.0
2040,2040,874,36585.0,16786.0
2040,2040,7300,104914.0,28747.0
2040,2040,8800,71561.0,10687.0
2040,2040,8900,46608.0,6724.0
2040,2040,7600,66031.0,35666.0
2040,2040,9100,66707.0,23501.0
2040,2040,1063,40821.0,23683.0
2040,2040,1139,92867.0,50998.0
2040,2040,7500,60921.0,22561.0
2040,2040,531,54387.0,9120.0
2040,2040,481,33472.0,8818.0
2040,2040,8000,50576.0,24693.0
2040,2040,2800,35048.0,18661.0
2040,2040,6700,69648.0,33494.0
2040,2040,9200,28730.0,9497.0
2040,2040,7700,63777.0,39689.0
2040,2040,2710,101077.0,16537.0
2040,2040,6000,58217.0,9535.0
2040,2040,1020,24677.0,6996.0
2040,2040,6500,137513.0,52754.0
2040,2040,3000,1153476.0,466335.0
2040,2040,3616,83256.0,38681.0
2040,2040,2610,203198.0,50230.0
2040,2040,3780,76786.0,14553.0
2040,2040,3797,106860.0,21800.0
2040,2040,5000,450001.0,395199.0
2040,2040,6400,112364.0,66218.0
2040,2040,2650,70228.0,34428.0
2040,2040,8600,160918.0,106291.0
2040,2040,2400,46255.0,21707.0
2040,2040,6100,150000.0,59428.0
2040,2040,6300,65001.0,19008.0
2040,2040,2620,55297.0,12717.0
2040,2040,900,25470.0,4999.0
2040,2040,9400,38596.0,15933.0
2040,2040,6600,205000.0,80735.0
2040,2040,6200,144001.0,30118.0
2040,2040,9700,111162.0,41725.0
2040,2040,8700,99846.0,52547.0
2040,2040,681,31151.0,8662.0
2040,2040,7900,289637.0,173180.0
2040,2040,2530,49346.0,31575.0
2040,2040,8300,349664.0,132917.0
2040,2040,7000,96190.0,42622.0
2040,2040,7200,64729.0,32076.0
2040,2040,8400,172086.0,88411.0
2040,2040,8500,92932.0,52761.0
2040,2040,6900,120067.0,56884.0
2040,2040,168,45255.0,9873.0
2040,2040,7400,255019.0,154008.0
2040,2040,2640,72066.0,29997.0
2040,2040,1200,212151.0,63983.0
2040,2040,70,270001.0,99148.0
2040,2040,2660,60143.0,27913.0
2040,2040,2730,73205.0,18830.0
2040,2040,2720,42177.0,10761.0
2040,2040,634,45628.0,13034.0
2040,2040,1309,75306.0,15203.0
2040,2040,638,37707.0,9067.0
2040,2040,31,38107.0,6789.0
2040,2040,9000,298867.0,162142.0
2040,2040,2200,60086.0,17465.0
2040,2040,2560,149265.0,38041.0
2040,2040,1161,115949.0,20256.0
2040,2040,1031,25641.0,10415.0
2040,2040,246,50653.0,11725.0
2040,2040,2630,72496.0,32247.0
2040,2040,7100,164847.0,59039.0
2040,2040,2600,84343.0,38125.0
2040,2040,1034,26031.0,8622.0
2040,2040,3570,42577.0,27605.0
