taz,area,type,cultural,education,office,shopping,health,religiosit,urban,transporta,empl_indu,empl_comm,empl_serv,empl_tot,students,population,households,parkcost,parkwalk,popdens,ga21,ga22,ga23,ga24,ga25,ga26,ga11,ga12,ga13,ga14,ga15,ga16,workers,workperc,avgHH,soceco,Mlic2,Mlic3,Mlic4,Mlic5,Mlic6,Flic2,Flic3,Flic4,Flic5,Flic6,emp2pop,parkcap,parkAM,parkPM,parkOP,INTLSUME,INTLSUMO,INTLSUMS,INTLSUMW,LSIZESEC,LSIZEINTS,LSUMSIZE0,LSUMSIZES,Hh0car,HH1car,HH2car,HH3car
1101,0.566,3,0,0,0,0,0,0,1,0,229,228,260,717,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.43,0.94,0.95,0.98,0.97,0.36,0.99,0.97,0.95,0.91,15,1612,0.00079,0.00183,0.00178,-0.568985,0.530237,1.127575,0.577457,1.623458,3.315841,0.806416,1.062728,0,0,0,0
1102,0.864,5,0,1,0,0,0,0,1,0,565,653,1410,2628,2178,1790,643,3,3,2.0715,189,25,37,123,342,193,183,24,36,120,332,187,940,0.52526,2.78,18,0.43,0.94,0.95,0.98,0.97,0.36,0.99,0.97,0.95,0.91,1.468,2859,0.00016,0.00075,0.00072,4.643397,4.078046,4.560659,3.651835,5.085702,5.719315,4.944046,2.824767,10,64,467,102
1103,1.14,3,0,0,0,0,0,0,1,0,229,228,260,717,0,2906,1163,3,3,2.5489,307,41,60,200,555,312,298,40,58,195,538,303,1525,0.52468,2.5,18,0.43,0.94,0.95,0.98,0.97,0.36,0.99,0.97,0.95,0.91,0.247,3061,0.00014,0.00069,0.00066,1.531717,2.256032,2.494466,1.467441,2.69736,4.225875,2.62636,2.310495,22,146,837,158
1104,0.618,3,0,0,0,0,0,0,1,0,56,65,139,260,0,5066,1818,3,3,8.1961,535,72,104,349,968,543,518,69,101,338,938,527,2657,0.52449,2.79,18,0.43,0.94,0.95,0.98,0.97,0.36,0.99,0.97,0.95,0.91,0.051,1645,0.00067,0.00168,0.00163,1.802935,2.580754,2.789252,1.502076,2.811001,4.373903,2.914255,2.467836,28,182,1321,288
1105,0.29,3,0,0,0,0,0,0,1,0,70,69,389,528,0,4967,2430,3,3,17.1217,458,108,147,442,925,493,426,101,137,412,860,459,2924,0.58867,2.04,18,0.43,0.94,0.95,0.98,0.97,0.36,0.99,0.97,0.95,0.91,0.106,894,0.00243,0.0043,0.00421,2.024702,2.681488,2.809136,1.531419,3.127697,4.520381,3.199741,2.761152,433,1318,621,58
1106,0.422,3,0,3,0,0,0,0,1,0,425,371,1181,1977,0,3796,1572,3,3,8.9931,312,111,141,241,716,439,292,104,132,226,670,413,1813,0.4777,2.41,18,0.43,0.94,0.95,0.98,0.97,0.36,0.99,0.97,0.95,0.91,0.521,1593,0.00077,0.00182,0.00177,1.635897,2.578053,2.913339,1.851482,3.22971,4.850545,2.991648,2.758598,36,234,1113,189
1107,0.425,3,0,3,0,0,0,0,1,0,168,201,691,1060,0,3836,1796,3,3,9.0238,344,115,140,270,708,424,315,106,128,247,648,388,2083,0.54292,2.14,17,0.42,0.93,0.94,0.97,0.97,0.35,0.94,0.93,0.95,0.92,0.276,1364,0.00089,0.00211,0.00205,1.75932,2.51127,2.728636,1.582898,3.058028,4.555798,2.990787,2.644506,340,983,432,41
1108,0.28,3,0,0,0,0,0,0,1,0,22,30,269,321,0,1530,662,3,3,5.4619,124,37,46,99,248,236,116,34,43,93,232,222,737,0.48173,2.31,19,0.43,0.94,0.95,0.98,0.97,0.36,0.97,0.97,0.95,0.91,0.21,800,0.00097,0.00306,0.00296,0.817318,1.55485,1.768111,0.627975,2.019061,3.523405,1.987362,1.626416,17,112,460,73
1109,0.258,2,0,1,0,0,0,0,1,0,34,45,400,479,639,1040,448,3,3,4.0326,82,25,31,68,169,162,76,23,29,64,159,152,501,0.48141,2.32,19,0.43,0.94,0.95,0.98,0.97,0.36,0.97,0.97,0.95,0.91,0.461,784,0.0008,0.00293,0.00283,3.442463,2.905633,3.351178,2.413723,3.864081,4.453077,3.760061,1.700395,12,77,311,49
1110,0.288,3,0,3,0,0,0,0,1,0,199,188,717,1104,0,4490,1932,3,3,15.5751,364,95,126,182,704,938,315,82,109,157,608,810,2124,0.47314,2.32,19,0.43,0.94,0.95,0.98,0.97,0.36,0.97,0.97,0.95,0.91,0.246,1036,0.00193,0.00354,0.00346,1.804892,2.609362,2.846787,1.656042,3.113538,4.653737,3.05186,2.69838,75,463,1235,159
