code,year,MahozNum,population,employment
2017,2017,5,1406694.0,768037.0
2017,2017,4,2147090.0,842801.0
2017,2017,6,230955.0,80410.0
2025,2025,5,1537580.0,822951.0
2025,2025,4,2493776.0,954151.0
2025,2025,6,255809.0,83580.0
2030,2030,5,1638920.0,914288.0
2030,2030,4,2765742.0,1162870.0
2030,2030,6,275738.0,104391.0
2040,2040,5,1802583.0,1025968.0
2040,2040,4,3251844.0,1418807.0
2040,2040,6,301812.0,122072.0
