"scenario","year","TZ28","empl_indu","empl_comm","empl_serv","empl_tot","students","population","households","parkcost","parkwalk","ga21","ga22","ga23","ga24","ga25","ga26","ga11","ga12","ga13","ga14","ga15","ga16","workers","Mlic2","Mlic3","Mlic4","Mlic5","Mlic6","Flic2","Flic3","Flic4","Flic5","Flic6","emp2pop","Hh0car","HH1car","HH2car","HH3car"
"base",2040,11,17150,20025,50991,88164,10970,132032,52622,129,129,13354,3601,3911,9112,23510,14308,12698,3418,3719,8637,22324,13451,65684,16.8400,37.8700,37.2100,39.6800,40.4000,13.3100,34.5700,31.6000,34.3300,35.3200,162.9090,7170,17349,24562,3541
"base",2040,12,10543,11696,39231,61470,0,103645,37342,84,84,11057,3814,3470,5578,18607,10461,10561,3647,3325,5332,17775,9980,51848,11.4500,25.4500,25.5200,26.7100,27.4800,9.37,24.1700,22.7900,24.8700,25.8900,67.1530,3242,11787,19507,2809
"base",2040,13,12881,10765,31875,55515,0,135369,50422,105,105,14749,4188,4079,8694,24499,13859,13826,3892,3830,8111,22884,12757,70297,14.2200,31.6800,32.0000,33.6700,35.0400,11.6400,29.4200,27.8500,31.3600,32.8200,58.4760,8876,22622,16984,1939
"base",2040,14,31635,18179,62772,112587,11961,238196,87783,156,156,29816,7710,7200,15289,40772,20322,28983,7485,6976,14745,39441,19436,117941,20.0200,45.6400,45.3000,47.8600,49.6800,15.7300,39.6600,36.5600,41.5000,43.0300,124.4070,20898,39602,23934,3346
"base",2040,15,13539,7658,24232,45434,0,85796,28408,48,48,10933,4105,3595,5537,13896,4366,11223,4170,3657,5692,14136,4463,40322,6.07,13.9300,13.7600,14.6200,15.2000,4.71,11.7700,10.7900,12.4100,12.8500,50.4530,5370,13893,8320,828
"base",2040,16,30401,13593,6022,50016,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,2.16,1.77,2.16,2.19,0.48,1.32,0.69,1.02,0.99,45.0000,0,0,0,0
"base",2040,17,39179,12346,38690,90207,7000,189467,61527,138,138,24570,7143,6856,12973,28934,13814,24769,7207,6993,13255,29276,13655,90322,15.2900,36.8600,35.6300,37.9400,39.5200,10.3600,24.5500,21.4700,25.9700,26.3100,111.7410,18361,29076,12747,1345
"base",2040,18,16653,7575,19887,44115,850,149800,49452,60,60,22419,7058,5266,8099,24225,8672,22088,6770,5063,7931,23734,8435,68722,7.77,17.6800,17.7200,18.6200,19.3900,6.15,15.2600,14.3000,16.3000,16.9200,20.1020,9389,17735,19542,2788
"base",2040,19,17394,6513,17786,41693,0,99669,33648,66,66,11869,3699,3599,6640,17582,6614,11741,3681,3583,6601,17485,6577,49767,8.55,19.4400,19.3000,20.2900,21.0900,6.76,17.0200,15.8200,17.9400,18.6700,50.5580,7393,15291,9489,1480
"base",2040,2,10777,6658,15360,32799,0,147820,63261,123,123,12360,3744,4421,10552,25836,20378,11345,3444,4050,9631,23602,18439,73991,14.8400,34.8400,34.9500,36.2400,37.8800,10.9100,26.0700,24.5200,28.5300,29.2200,13.2040,29955,27291,5368,648
"base",2040,20,42582,21469,46623,110677,15634,265614,90126,150,150,33004,9787,9242,16874,41972,25077,31781,9410,8815,16073,39894,23642,121758,17.2800,41.0500,39.9600,42.5600,44.2800,12.2400,29.6100,26.2600,31.1800,31.8000,100.8410,27821,40269,19709,2326
"base",2040,21,11431,6655,13930,32018,0,110163,40460,69,69,14343,4406,3917,6471,18805,6211,14948,4749,4103,6639,19190,6355,55912,9.07,20.4300,20.3900,21.6500,22.5100,7.27,18.3200,17.0700,19.3800,20.2000,35.3550,8552,14766,15186,1954
"base",2040,22,19321,23495,31511,74329,0,194716,59050,60,60,33152,6479,4220,8950,32311,5758,32863,6412,4186,8869,32023,5680,88436,8.85,19.4300,19.6900,20.6100,21.1500,7.37,18.9100,18.1800,19.6400,20.4200,21.1680,6073,20199,28169,4607
"base",2040,23,13216,6870,17185,37270,0,140321,37197,60,60,29915,5568,4250,8772,17797,3234,30450,5660,4309,8945,18048,3304,56270,7.67,17.4200,17.3000,18.2800,19.0000,6.01,14.9500,13.8800,15.8400,16.5100,20.4650,2997,8178,22027,3990
"base",2040,24,31432,15414,31971,78817,200,175521,52472,114,114,23379,9205,7963,9926,29362,7501,23764,9281,8021,10055,29501,7561,81870,14.3200,32.7900,32.1500,34.0500,35.2000,11.0500,27.8300,25.3200,28.7100,29.7100,101.5290,6075,16766,25669,3960
"base",2040,25,40167,26395,59778,126342,7707,285001,103281,210,210,31641,8882,9445,18684,47405,29380,30520,8591,9089,17948,45561,27794,140309,25.4700,59.4700,58.3600,62.0500,64.5400,18.9400,46.9100,42.4500,49.4800,50.7900,165.8250,34363,47287,19164,2463
"base",2040,26,13614,7545,14829,35992,6240,93980,38036,57,57,12256,3709,2900,5047,15511,6786,12718,3906,2994,5224,15980,6928,45647,7.82,17.3600,17.4000,18.1400,18.8700,6.5,16.4800,15.5600,17.4600,18.3900,20.7620,12612,16658,7800,965
"base",2040,27,25634,13983,32213,71832,0,190843,64295,84,84,25172,7525,6402,9799,35166,11245,25286,7548,6422,9825,35305,11071,90661,11.5900,25.6700,25.8700,27.0500,28.0100,9.6,24.6300,23.3800,25.8100,27.0000,41.1610,7907,20818,31206,4360
"base",2040,28,20178,7013,30152,57345,4113,192648,60004,84,84,29702,9122,7887,12660,28491,7407,30421,9349,7987,12809,29185,7610,83383,9.99,23.3400,23.0000,24.2000,25.2400,7.31,17.5100,16.1400,18.8200,19.4300,-203.2300,15981,28307,13974,1743
"base",2040,3,35795,19894,42274,97963,7057,261831,99513,219,219,28151,7800,8140,18827,45207,26448,26679,7407,7712,17760,42682,24530,128633,27.1000,62.8200,61.9400,65.8000,68.4200,20.5500,51.2400,46.6500,54.0200,55.6000,165.7610,26095,43571,26555,3297
"base",2040,4,22932,22447,77548,122925,10230,245767,118368,195,195,22074,5910,6720,20316,42735,31110,20078,5391,6129,18433,38772,28100,120307,25.9300,58.2000,58.2900,61.6900,63.9200,20.8800,53.1900,49.7700,55.7200,57.8900,132.6290,40689,57609,17979,2089
"base",2040,5,15812,14349,39710,69869,0,231951,64193,120,120,41029,12304,10729,14826,21768,12060,41884,14138,11808,15100,22214,14117,80906,13.3400,32.0200,31.2100,32.9600,34.2700,9.03,20.8900,18.8900,22.4800,22.7000,70.3280,23362,31642,8308,885
"base",2040,6,39306,33065,64915,137276,16472,333952,119619,210,210,34466,11182,11670,22673,61305,28799,33348,10864,11282,21807,59067,27484,169770,25.9800,60.1200,59.0000,63.0200,65.4200,19.7300,49.6200,44.7800,51.7400,53.2500,208.9120,21920,46559,44895,6250
"base",2040,7,31425,18137,65597,115159,53111,297596,106209,195,195,38273,9018,9650,18220,51118,25967,36791,8680,9062,17336,48941,24512,146296,25.6000,57.7300,57.4100,60.1500,61.3300,20.1400,51.4800,48.4000,52.1900,53.5500,132.5190,16025,41038,42901,6252
"base",2040,8,58531,38874,94389,191795,6680,320817,120189,210,210,40159,9612,9147,20861,55088,28995,38675,9269,8758,19925,52791,27497,159894,26.8900,61.3800,60.8800,64.0600,66.0900,20.8700,53.3600,49.2000,54.8600,56.4500,218.0450,30313,52777,32830,4271
"base",2040,9,11268,5435,19938,36641,0,95953,36692,81,81,11758,2575,2513,5931,17325,9318,11095,2420,2362,5596,16328,8727,46192,10.8400,24.1500,23.5800,25.0100,24.9800,8.64,22.7000,20.9300,21.7900,22.2100,68.3550,7555,14919,12558,1660
