"scenario","year","sectorzn","empl_indu","empl_comm","empl_serv","empl_tot","students","population","households","parkcost","parkwalk","ga21","ga22","ga23","ga24","ga25","ga26","ga11","ga12","ga13","ga14","ga15","ga16","workers","Mlic2","Mlic3","Mlic4","Mlic5","Mlic6","Flic2","Flic3","Flic4","Flic5","Flic6","emp2pop","Hh0car","HH1car","HH2car","HH3car"
"base",2030,21,22498,21792,59612,103913,9398,184932,71445,204,204,19905,5094,5391,12456,33685,18696,18788,4805,5093,11752,31772,17480,89650,26.5600,59.3500,58.5600,62.2800,62.2600,20.8000,54.1000,50.6700,53.7600,53.3200,217.3460,11840,24562,30605,4440
"base",2030,22,49408,42277,146649,238339,51266,586033,213285,432,432,79478,20837,20956,43319,86349,48664,77324,20673,20338,41061,81457,45549,246232,53.8000,122.9600,122.2200,129.0500,130.0900,40.6300,100.7300,95.6800,105.5300,104.9600,298.0440,75240,96187,37225,4633
"base",2030,23,39243,23528,51324,114100,6045,382011,146462,345,345,38564,10713,11738,28340,68039,40552,36127,10038,10976,26376,63382,37148,186977,41.8100,96.9000,96.3400,101.5000,102.6500,30.5600,74.6500,70.2500,80.0100,79.4700,210.0430,54968,62507,25817,3171
"base",2030,31,28254,25548,81534,135329,2237,301481,105552,264,264,35207,10288,9492,17848,56568,25866,33252,9679,8975,16798,53321,24164,151136,35.9300,79.7300,80.0400,84.0500,85.4800,28.9900,73.8900,71.3400,77.7800,78.3900,162.2200,13015,36966,48661,6914
"base",2030,32,79821,48094,98852,226767,5721,389521,137725,288,288,49904,12016,11547,25432,68193,31555,48146,11608,11106,24370,65533,30080,191771,36.7800,83.5300,82.9900,87.3900,88.1900,28.1400,71.8600,68.0000,74.3800,74.3400,290.8880,35210,56848,39807,5861
"base",2030,33,106442,62658,161824,330919,24358,759946,255906,555,555,91363,26769,26337,51942,131669,55334,90160,26479,26041,51135,129113,53516,367822,67.1500,154.9800,153.2100,162.7100,164.5000,49.3300,121.5600,113.0600,128.4800,127.9400,460.8220,67467,111603,67694,9147
"base",2030,41,79734,44773,111111,235617,15470,655179,217892,435,435,86815,24950,22730,40524,110322,43426,86824,25058,22572,40088,109594,42135,301207,54.3600,123.9700,123.1800,130.1900,132.0200,41.0700,101.7100,96.0800,108.1500,108.2500,-334.2100,68083,91662,51214,6932
"base",2030,42,53643,35132,63078,151844,171,404818,113002,237,237,70878,17183,13373,22704,65366,12280,71426,17290,13472,22910,65505,12330,177490,30.3800,68.4800,68.0000,72.0300,72.8800,23.5600,59.2200,55.9600,61.9300,62.0800,159.5460,15475,37360,51627,8537
"base",2030,43,72728,32440,80442,185612,10912,525933,172295,342,342,70322,20701,18387,32764,87347,36525,69231,20377,17958,31949,85153,35148,242306,42.0200,96.3600,95.5200,101.3300,102.6100,31.2900,77.0700,72.1600,81.9000,81.7500,207.6230,50647,71232,44381,6045
"base",2040,10,103056,85341,311675,500087,71406,524814,266793,645,645,43626,10870,13921,54905,88981,55289,41671,10363,13318,53899,85938,51997,282926,84.6300,190.5200,190.4900,199.9900,205.1400,66.7800,170.3800,159.8400,174.7000,180.0500,724.4720,109135,106748,44698,6226
"base",2040,21,27997,25460,70654,124109,10970,224643,88199,207,207,24559,6087,6351,14871,40198,23446,23263,5752,6011,14067,38040,22005,110271,27.2500,61.0800,59.8300,63.7200,64.3900,21.5900,56.2800,51.5800,55.1500,56.5200,231.0560,14677,31980,36427,5115
"base",2040,22,58541,48706,165420,272666,63341,650050,245964,435,435,84673,23079,23127,46047,93979,59703,82405,24099,23064,43675,88755,57447,284974,54.8700,125.5100,124.4500,131.3200,135.3600,42.0300,104.7900,97.5800,109.1600,112.1500,300.0550,74272,115815,49979,5900
"base",2040,23,46573,26552,57643,130772,7057,409651,162774,345,345,40511,11544,12561,29379,71043,46826,38024,10851,11762,27391,66284,42969,202624,42.2200,98.3800,97.4800,102.7600,107.0300,31.6200,77.7500,71.4000,82.8900,85.1500,193.9650,56050,70862,31923,3945
"base",2040,31,35315,30744,98708,164759,2611,352992,127694,264,264,40586,11999,11003,20379,64722,32932,38392,11325,10428,19223,61120,30855,178858,36.1300,80.1900,80.9200,84.7000,87.5600,29.6800,76.1100,72.2200,79.4700,82.8900,163.9000,14228,44732,60357,8378
"base",2040,32,94993,56554,116172,267719,6680,445491,162979,288,288,56777,13693,13046,28219,76773,38558,54809,13237,12557,27083,73864,36832,222072,37.0600,84.3800,83.6300,88.0000,90.6900,28.9000,74.2500,68.4200,75.9500,78.2600,283.5050,35834,67338,52205,7610
"base",2040,33,124881,73784,192189,390842,35433,860350,301617,558,558,101133,30726,29923,57326,146978,68101,99763,30371,29561,56408,144078,65887,424474,68.1600,158.3800,155.6500,165.3600,171.8500,51.1500,127.0500,115.1400,133.3500,137.2100,480.7100,67003,130868,91800,11954
"base",2040,41,99593,54936,136972,291511,18060,762472,265616,435,435,98771,29238,26634,46190,126573,54818,98945,29394,26492,45806,126031,53403,360000,54.8700,125.8400,124.6300,131.4400,136.6600,42.3500,105.5300,97.5300,111.5700,115.6100,24.5180,70863,113070,72144,9531
"base",2040,42,69669,47869,82853,200391,200,510558,148719,237,237,86446,21252,16433,27648,79470,16493,87077,21353,16516,27869,79572,16545,226576,31.1200,70.3600,69.7300,73.6600,76.0800,24.5900,62.1300,57.6100,64.5300,66.9700,158.1620,15145,45143,75865,12557
"base",2040,43,87126,39917,96943,223991,16484,615218,210511,342,342,80596,24485,21550,37389,100866,45944,79532,24151,21097,36552,98600,44375,291466,42.4100,97.8700,96.6600,102.4400,106.5500,32.3200,80.0200,73.3000,84.5500,87.3900,207.2370,53205,86838,62099,8373
