taz,area,type,cultural,education,office,shopping,health,religiosit,urban,transporta,empl_indu,empl_comm,empl_serv,empl_tot,students,population,households,parkcost,parkwalk,popdens,ga21,ga22,ga23,ga24,ga25,ga26,ga11,ga12,ga13,ga14,ga15,ga16,workers,workperc,avgHH,soceco,Mlic2,Mlic3,Mlic4,Mlic5,Mlic6,Flic2,Flic3,Flic4,Flic5,Flic6,emp2pop,parkcap,parkAM,parkPM,parkOP,INTLSUME,INTLSUMO,INTLSUMS,INTLSUMW,LSIZESEC,LSIZEINTS,LSUMSIZE0,LSUMSIZES,Hh0car,HH1car,HH2car,HH3car
1101,0.499,4,0,0,0,0,0,0,1,0,141,145,163,449,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.42,0.92,0.94,0.97,0.95,0.35,0.87,0.96,0.93,0.77,15,1375,0.00093,0.00214,0.00209,-0.695107,0.189525,0.731592,0.231216,1.199913,2.856132,0.436426,0.671392,0,0,0,0
1102,0.673,5,0,1,0,0,0,0,1,0,683,362,1155,2200,1820,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.42,0.92,0.94,0.97,0.95,0.35,0.87,0.96,0.93,0.77,15,2264,0.00056,0.0013,0.00127,4.444531,3.821832,4.324653,3.438949,4.874001,5.456823,4.719782,2.397536,0,0,0,0
1103,0.839,5,0,0,0,0,0,0,1,0,141,145,163,449,0,1178,506,3,3,1.4051,126,16,24,81,228,122,122,16,23,80,221,118,621,0.52671,2.33,18,0.42,0.92,0.94,0.97,0.95,0.35,0.87,0.96,0.93,0.77,0.381,2230,0.00014,0.00089,0.00085,0.856686,1.521475,1.765721,0.878661,2.036067,3.535142,1.898642,1.643447,20,124,321,41
1104,0.57,3,0,0,0,0,0,0,1,0,49,26,83,158,0,4714,1600,3,3,8.2738,527,68,100,339,941,420,510,65,96,328,912,407,2473,0.52461,2.95,18,0.42,0.92,0.94,0.97,0.95,0.35,0.87,0.96,0.93,0.77,0.034,1496,0.00074,0.00185,0.0018,1.680007,2.479253,2.697097,1.391388,2.6542,4.249766,2.77788,2.320234,26,168,1161,246
1105,0.27,3,0,0,0,0,0,0,1,0,63,67,364,494,0,4913,2265,3,3,18.1939,479,108,150,457,954,399,445,101,139,425,887,371,2893,0.58888,2.17,18,0.42,0.92,0.94,0.97,0.95,0.35,0.87,0.96,0.93,0.77,0.101,834,0.00275,0.00476,0.00466,1.954334,2.643077,2.791094,1.502675,3.05791,4.487649,3.129597,2.691219,344,1184,674,63
1106,0.412,3,0,3,0,0,0,0,1,0,300,547,1204,2051,0,3713,1448,3,3,9.0148,324,112,142,248,737,353,304,105,133,233,690,331,1773,0.47749,2.56,18,0.42,0.92,0.94,0.97,0.95,0.35,0.87,0.96,0.93,0.77,0.552,1587,0.00078,0.00183,0.00178,1.558599,2.553679,2.913808,1.859013,3.208686,4.858701,2.939541,2.728042,33,213,1027,176
1107,0.425,3,0,3,0,0,0,0,1,0,276,128,708,1112,0,3846,1694,3,3,9.0425,366,119,144,284,745,349,335,110,133,260,682,319,2087,0.54264,2.27,17,0.41,0.91,0.93,0.96,0.92,0.33,0.83,0.92,0.89,0.7,0.289,1378,0.00088,0.00209,0.00204,1.705288,2.49943,2.742401,1.599801,3.035238,4.570637,2.947454,2.614892,290,911,451,42
1108,0.28,3,0,0,0,0,0,0,1,0,48,14,267,329,0,1515,616,3,3,5.4178,134,38,49,106,263,195,125,36,46,99,245,183,729,0.48121,2.46,19,0.42,0.93,0.94,0.97,0.95,0.35,0.92,0.96,0.93,0.77,0.217,801,0.00097,0.00305,0.00295,0.754266,1.529039,1.76538,0.627034,1.97648,3.518634,1.928472,1.578899,15,98,433,71
1109,0.256,2,0,1,0,0,0,0,1,0,72,21,401,494,534,1010,411,3,3,3.9396,85,25,33,71,177,131,80,24,30,66,165,123,487,0.48189,2.46,19,0.42,0.93,0.94,0.97,0.95,0.35,0.92,0.96,0.93,0.77,0.489,783,0.00079,0.00292,0.00282,3.268702,2.757983,3.203866,2.265162,3.707386,4.346055,3.597301,1.635017,10,65,289,47
1110,0.288,3,0,3,0,0,0,0,1,0,175,220,728,1123,0,4474,1813,3,3,15.5571,402,102,134,198,769,796,347,88,116,171,663,688,1918,0.42876,2.47,19,0.42,0.93,0.94,0.97,0.95,0.35,0.92,0.96,0.93,0.77,0.251,1039,0.00192,0.00353,0.00345,1.744306,2.588629,2.847923,1.6575,3.076309,4.651618,2.999317,2.656067,66,408,1182,157
