taz,area,type,cultural,education,office,shopping,health,religiosit,urban,transporta,empl_indu,empl_comm,empl_serv,empl_tot,students,population,households,parkcost,parkwalk,popdens,ga21,ga22,ga23,ga24,ga25,ga26,ga11,ga12,ga13,ga14,ga15,ga16,workers,workperc,avgHH,soceco,Mlic2,Mlic3,Mlic4,Mlic5,Mlic6,Flic2,Flic3,Flic4,Flic5,Flic6,emp2pop,parkcap,parkAM,parkPM,parkOP,INTLSUME,INTLSUMO,INTLSUMS,INTLSUMW,LSIZESEC,LSIZEINTS,LSUMSIZE0,LSUMSIZES,Hh0car,HH1car,HH2car,HH3car
1101,0.668,3,0,2,0,0,0,0,1,0,451,465,522,1438,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.45,0.95,0.97,1,0.97,0.38,1.03,0.99,0.95,0.96,15,2054,0.00062,0.00143,0.0014,-0.402957,1.078699,1.745,1.133215,2.272264,4.003162,1.392473,1.674675,0,0,0,0
1102,1.153,5,0,1,0,0,0,0,1,0,1118,594,1890,3601,2844,4028,1511,3,3,3.4939,411,57,82,270,751,474,399,55,79,263,728,459,2115,0.52505,2.67,18,0.45,0.95,0.97,1,0.97,0.38,1.03,0.99,0.95,0.96,0.894,3843,0.00016,0.00059,0.00057,4.925105,4.401727,4.870866,3.947337,5.382371,6.058436,5.247164,3.273528,27,179,1091,214
1103,1.191,3,0,2,0,0,0,0,1,0,451,465,522,1438,0,8801,3522,3,3,7.3915,898,124,180,591,1640,1036,871,120,176,572,1589,1004,4615,0.52435,2.5,18,0.45,0.95,0.97,1,0.97,0.38,1.03,0.99,0.95,0.96,0.163,3399,0.0003,0.00079,0.00076,2.463655,3.238133,3.461023,2.26515,3.639489,5.17835,3.634636,3.253489,74,483,2515,450
1104,0.618,3,0,0,0,0,0,0,1,0,178,95,303,576,0,5935,2225,3,3,9.6,606,83,122,399,1106,698,587,81,118,387,1072,677,3113,0.52456,2.67,18,0.45,0.95,0.97,1,0.97,0.38,1.03,0.99,0.95,0.96,0.097,1731,0.00073,0.0017,0.00165,1.986159,2.773931,2.99106,1.727375,3.083208,4.641137,3.136582,2.717061,40,261,1607,317
1105,0.332,3,0,0,0,0,0,0,1,0,71,74,405,550,0,5001,2557,3,3,15.0799,446,109,148,435,910,544,414,100,138,405,846,507,2944,0.58873,1.96,18,0.45,0.95,0.97,1,0.97,0.38,1.03,0.99,0.95,0.96,0.11,1003,0.00192,0.00358,0.0035,2.078952,2.710684,2.822337,1.556219,3.178402,4.542797,3.251244,2.812684,532,1416,556,53
1106,0.472,3,0,3,0,0,0,0,1,0,304,553,1219,2076,0,4441,1920,3,3,9.4139,350,129,164,274,813,560,328,121,154,257,763,525,2119,0.47712,2.31,18,0.45,0.95,0.97,1,0.97,0.38,1.03,0.99,0.95,0.96,0.468,1746,0.00073,0.00169,0.00164,1.828857,2.721636,3.029728,1.951195,3.356782,4.949505,3.156743,2.897436,67,417,1264,172
1107,0.425,3,0,3,0,0,0,0,1,0,293,135,751,1179,0,4555,2228,3,3,10.7181,394,137,166,312,819,551,361,125,152,286,749,505,2472,0.54267,2.04,17,0.43,0.94,0.96,0.97,0.99,0.36,0.99,0.95,0.97,1.01,0.259,1398,0.00101,0.00221,0.00215,1.960551,2.684511,2.880409,1.718784,3.236683,4.70547,3.189184,2.828417,465,1235,483,46
1108,0.282,3,0,0,0,0,0,0,1,0,49,14,270,333,0,1540,694,3,3,5.4546,120,37,45,97,240,258,112,34,43,90,224,240,741,0.48099,2.22,19,0.45,0.95,0.97,1,0.97,0.38,1,0.99,0.95,0.96,0.216,809,0.00096,0.00303,0.00293,0.859739,1.578386,1.780529,0.645148,2.06196,3.545782,2.031986,1.669297,30,179,432,53
1109,0.259,2,0,1,0,0,0,0,1,0,72,21,399,492,835,1060,479,3,3,4.087,79,26,31,67,167,179,74,23,29,63,155,167,511,0.48245,2.21,19,0.45,0.95,0.97,1,0.97,0.38,1,0.99,0.95,0.96,0.464,791,0.0008,0.00291,0.00281,3.700235,3.130118,3.579912,2.645892,4.102921,4.635221,4.002366,1.798068,22,130,293,35
1110,0.321,3,0,3,0,0,0,0,1,0,171,215,710,1096,0,4500,2025,3,3,14.016,344,93,123,173,673,1006,299,81,107,149,582,869,2271,0.50471,2.22,19,0.45,0.95,0.97,1,0.97,0.38,1,0.99,0.95,0.96,0.244,1116,0.00162,0.00312,0.00305,1.854868,2.628095,2.848727,1.662921,3.144924,4.657848,3.093266,2.733774,128,698,1083,115
1111,1.146,3,2,3,0,0,0,0,1,0,1125,325,1410,2860,0,15897,6872,3,3,13.868,2048,407,368,1237,2967,1149,1934,384,347,1168,2803,1085,7761,0.4882,2.31,19,0.45,0.95,0.97,1,0.97,0.38,1,0.99,0.95,0.96,0.18,3685,0.00048,0.00094,0.00092,3.079367,3.842912,4.050904,2.827274,4.296655,5.806791,4.288774,3.901943,224,1417,4588,643
