NEW_TAZ_1046,taz_848,mahoz,EMP_2050_B,POP_2050_B,EMP_2050_M,POP_2050_M,EMP_2050_H,POP_2050_H
239,239,haifa,2186.26354,23869.67092,1991.285851,21395.08811,2247.072392,25421.83568
241,241,haifa,9034.441139,0,8228.721966,0,9285.725573,0
242,242,haifa,2186.262763,4321.230052,1991.285144,3873.245592,2247.071594,4602.22517
243,243,haifa,3807.959866,17972.05135,3468.354325,16108.87822,3913.874668,19140.71366
248,248,haifa,3380.831661,0,3079.318723,0,3474.866295,0
249,249,haifa,3197.844437,0,2912.650861,0,3286.789455,0
250,250,haifa,3257.96044,0,2967.405535,0,3348.577528,0
251,251,haifa,3372.938978,0,3072.129934,0,3466.754085,0
252,252,haifa,2644.922112,0,2409.039845,0,2718.488119,0
253,253,haifa,10423.9711,0,9494.329383,0,10713.904,0
254,254,haifa,3140.846038,0,2860.735754,0,3228.205699,0
255,255,haifa,4508.178455,143.613424,4106.125272,128.724936,4633.569174,152.952124
256,256,haifa,3055.170886,0,2782.701376,0,3140.147574,0
257,257,haifa,4671.460602,0,4254.845416,0,4801.392859,0
258,258,haifa,2640.085794,3685.728608,2404.634845,3303.626956,2713.517283,3925.399195
259,259,haifa,12106.84394,580.429703,11027.11846,520.256215,12443.58435,618.173103
260,260,haifa,6446.034595,6496.971057,5871.157458,5823.426248,6625.32495,6919.447325
261,261,haifa,6446.034595,5673.436509,5871.157458,5085.268011,6625.32495,6042.361084
262,262,haifa,6446.034595,12966.74353,5871.157458,11622.47361,6625.32495,13809.92744
263,263,haifa,6446.035688,5133.109222,5871.158453,4600.956771,6625.326073,5466.898123
264,264,haifa,6446.036072,9515.763885,5871.158803,8529.259049,6625.326467,10134.54214
265,265,haifa,6446.036427,1140.690931,5871.159126,1022.434831,6625.326832,1214.866242
266,266,haifa,2316.556292,3286.867925,2109.958696,2946.116395,2380.989114,3500.601938
267,267,haifa,2947.060875,4799.340586,2684.232946,4301.790126,3029.030585,5111.42563
268,268,haifa,803.753797,5013.836522,732.072568,4494.049142,826.109448,5339.869518
269,269,haifa,153.566512,1932.193079,139.870979,1731.881487,157.837819,2057.837124
270,270,haifa,1131.311195,13597.12211,1030.417392,12187.50047,1162.777545,14481.29742
271,271,haifa,1695.779928,0,1544.545072,0,1742.946443,0
272,272,haifa,914.999391,6701.959774,833.396939,6007.163665,940.449234,7137.765772
273,273,haifa,1903.603642,5941.032551,1733.83443,5325.122213,1956.550576,6327.357999
274,274,haifa,2071.267236,17608.24916,1886.54527,15782.79161,2128.877574,18753.25462
275,275,haifa,1394.259697,10585.18413,1269.915341,9487.811865,1433.039712,11273.5032
276,276,haifa,471.838738,6440.354107,429.758712,5772.678811,484.962486,6859.148765
277,277,haifa,1625.752572,10038.24542,1480.762971,8997.574619,1670.971342,10690.9989
278,278,haifa,3312.892402,8550.358164,3017.438496,7663.937507,3405.03737,9106.359318
279,279,haifa,1446.198326,12679.70051,1317.221923,11365.1885,1486.422964,13504.21897
280,280,haifa,9147.645754,603.17638,8331.830647,540.64473,9402.078867,642.398919
281,281,haifa,3751.805809,10354.53245,3417.208259,9281.071981,3856.158739,11027.85301
282,282,haifa,1373.949589,8179.205843,1251.41655,7331.262765,1412.164697,8711.072205
283,283,haifa,10155.97074,21246.15871,9250.230115,19043.55694,10438.44946,22627.72525
284,284,haifa,1687.14261,8387.108448,1536.678057,7517.611985,1734.068886,8932.49402
285,285,haifa,10155.97409,5994.601018,9250.233172,5373.137207,10438.45291,6384.409845
286,286,haifa,4470.7206,0,4072.008024,0,4595.069464,0
287,287,haifa,1506.577697,10845.92713,1372.216477,9721.523485,1548.48173,11551.20144
288,288,haifa,762.369511,6323.826664,694.379059,5668.231836,783.574097,6735.043932
294,294,zafon,10505.99084,63877.99128,10235.92368,62189.09062,10545.08876,64533.78006
295,295,zafon,9845.080483,2749.1621,9592.00269,2676.475693,9881.718832,2777.385744
296,296,zafon,9845.078049,34059.75491,9592.000319,33159.23282,9881.716389,34409.42159
297,297,zafon,4314.788993,23017.39048,4203.872959,22408.82272,4330.846428,23253.69325
309,309,haifa,4019.136363,12119.40576,3660.697454,10862.97984,4130.924839,12907.49012
310,310,haifa,4019.13596,13282.4764,3660.697087,11905.47426,4130.924425,14146.19135
317,317,haifa,9339.723317,2513.234915,8506.778144,2252.686374,9599.498886,2676.662164
401,401,merkaz,2013,4587,1823,4504,1352,4337
402,402,merkaz,37,2550,25,2464,1,2290
403,403,merkaz,1,2869,1,2869,0,2868
404,404,merkaz,973,1885,943,1885,694,1885
405,405,merkaz,2281,6379,1815,6332,1667,6238
407,407,merkaz,3804,10838,5180,12505,4698,9694
410,410,merkaz,3633,31789,7309,44903,2785,29866
411,411,merkaz,2223,6143,3045,10121,1800,5505
413,413,merkaz,155,1634,212,1641,123,1632
414,414,merkaz,157,2075,115,2168,81,2075
415,415,merkaz,995,7457,1647,7758,762,7041
416,416,merkaz,1231,9671,1437,9782,799,8898
417,417,merkaz,2656,13823,2809,15222,2181,12304
418,418,merkaz,207,2371,392,3723,99,2371
419,419,merkaz,1195,6808,1350,8776,855,6212
420,420,merkaz,852,433,1224,433,207,433
421,421,merkaz,800,4153,521,4078,352,3805
422,422,merkaz,5185,4125,5022,4072,3592,3888
423,423,merkaz,5492.196064,14656.58039,5274.34831,13732.59835,5528.916721,14904.96379
424,424,merkaz,13471.16994,52916.04472,12936.83648,49580.10457,13561.23778,53812.80691
425,425,merkaz,2749.698388,7325.771844,2723.967819,7193.031129,2771.952849,7486.346021
426,426,tlv,1016.140531,3386.351742,1006.631898,3324.992099,1024.364582,3460.577456
427,427,tlv,15516.54785,42260.85921,15371.35024,41495.10555,15642.12977,43187.17835
428,428,tlv,5155.227534,26945.3951,5106.986991,26457.1529,5196.95095,27536.01337
429,429,merkaz,7717.665748,35049.03333,7411.54482,32839.46763,7769.265827,35643.00531
430,430,merkaz,13677.90098,33126.91879,13135.36754,31038.52729,13769.35101,33688.31692
431,431,merkaz,19689.73359,36143.55384,18908.74103,33864.98724,19821.37855,36756.07454
432,432,merkaz,10418.16455,34956.4013,10004.92844,32752.67532,10487.82008,35548.80346
434,434,merkaz,4711.035969,24802.2249,4524.172901,23238.63982,4742.533812,25222.54538
435,435,merkaz,10418.16562,28433.15654,10004.92947,26640.6698,10487.82116,28915.01001
436,436,merkaz,6782.653656,29500.86252,6513.619949,27641.06532,6828.002273,30000.81028
438,438,tlv,5115.595907,13957.82432,5067.726221,13704.91287,5156.998567,14263.76699
439,439,tlv,17164.19296,40640.98874,17003.57736,39904.58662,17303.10996,41531.80181
440,440,merkaz,6026.405969,19887.85216,5787.368798,18634.07961,6066.698337,20224.88933
441,441,merkaz,3497.454548,31721.59346,3358.728142,29721.79665,3520.838423,32259.17569
445,445,tlv,6174.370974,33722.86642,6116.593697,33111.81853,6224.342744,34462.04061
446,446,tlv,3456.056771,0,3423.716384,0,3484.028086,0
447,447,tlv,9150.409156,32573.81922,9064.783313,31983.59172,9224.46725,33287.80736
448,448,tlv,26989.93582,429.104761,26737.37487,421.329516,27208.37668,438.510343
449,449,tlv,28002.94477,37655.13477,27740.90449,36972.83541,28229.58433,38480.50067
450,450,tlv,6571.706201,12503.63597,6510.210822,12277.07396,6624.893772,12777.70416
452,452,tlv,30191.32887,23269.39765,29908.81057,22847.76338,30435.67994,23779.44143
453,453,tlv,22093.60364,4609.300312,21886.86059,4525.78122,22272.41643,4710.331933
454,454,tlv,16003.18936,11963.67914,15853.43796,11746.90098,16132.70987,12225.91198
455,455,tlv,44872.25074,8536.800837,44452.35429,8382.116653,45235.42066,8723.919655
456,456,tlv,31044.70667,570.947724,30754.20281,560.602328,31295.96449,583.462373
457,457,tlv,1067.60756,6536.695866,1057.617319,6418.252963,1076.248156,6679.974223
458,458,tlv,10161.75613,9323.4929,10066.66651,9154.554099,10243.99948,9527.855284
459,459,tlv,14092.70292,0,13960.82908,0,14206.76106,0
460,460,tlv,26617.39064,6684.498617,26368.31582,6563.377574,26832.81633,6831.016675
461,461,tlv,5254.81052,8704.866869,5205.638119,8547.13738,5297.339902,8895.669539
462,462,tlv,27319.39995,2070.430474,27063.75601,2032.914916,27540.5073,2115.812404
463,463,tlv,3440.632398,10060.12274,3408.436346,9877.836435,3468.478877,10280.63137
464,464,tlv,37088.16664,22222.85881,36741.11051,21820.1875,37388.33671,22709.96343
465,465,tlv,11683.96475,2574.628569,11574.63091,2527.977097,11778.52797,2631.062057
