TAZ,Agg_taz_nu,super_taz,שם איזור 2020,similar,sector,in_jerusalem_metropolin,jerusalem district,in jerusalem,city,hh2015,newhh1520,newhh2025,newhh2530,newhh3035,newhh3540,newhh1540,hh20,hh25,hh30,hh35,hh40,pop15,pop20,pop25,pop30,pop35,pop40,hhsize15,hhsize20,hhsize25,hhsize30,hhsize35,hhsize40,emp2hh,empd15,empd20,empd25,empd30,empd35,empd40,empi15,empi20,empi25,empi30,empi35,empi40,empe15,empe20,empe25,empe30,empe35,empe40,emp15,emp20,emp25,emp30,emp35,emp40,school16,school20,school25,school30,school35,school40,yeshiva15,yeshiva20,yeshiva25,yeshiva30,yeshiva35,yeshiva40,college15,college20,college25,college30,college35,college40,ind30,htl30,bsn30,pub30,edu30,agr30,ind40,htl40,bsn40,pub40,edu40,agr40,InJerDistrict
11,0,0,מכללת הדסה,,Jewish,yes,jerusalem,yes,ירושלים,241.6833667,12.6,0,25,29.8,75,142.4,254.2833667,254.2833667,279.2833667,309.0833667,384.0833667,377.2286494,392.9852925,379.3184045,428.7814126,491.7403588,671.3859066,1.560838276,1.545462047,1.491715362,1.53529162,1.590963513,1.748021302,,,,,,,,,,,,,,,,,,,,2256.6942,2418.245379,2477.341316,2781.527678,3165.665438,3218.748527,,0,0,0,0,0,0,0,0,0,0,0,2909,3054.45,3207.1725,3367.531125,3535.907681,3712.703065,0,1134.805858,1129.759962,211.8361572,305.1257013,0,0,1313.182936,1307.343889,245.1341126,353.0875891,0,1
12,0,0,גינות נביאים,,Jewish,yes,jerusalem,yes,ירושלים,151.8405797,100,0,0,0,0,100,251.8405797,251.8405797,251.8405797,251.8405797,251.8405797,852.103512,1288.805915,1327.470092,1367.294195,1408.313021,1450.562412,5.611829945,5.11754665,5.271073049,5.429205241,5.592081398,5.75984384,,,,,,,,,,,,,,,,,,,,391.9624,523.3893003,530.8542934,538.8464195,546.3026431,553.2558031,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,142.8012663,176.0200681,44.00501702,176.0200681,0,0,146.6199392,180.7270506,45.18176266,180.7270506,0,1
13,0,0,מוסררה,,Jewish,yes,jerusalem,yes,ירושלים,414,0,165,9,9,9,192,414,579,588,597,606,1392.354586,1479.621228,2047.275976,2199.905463,2326.1171,2429.180229,3.363175328,3.573964319,3.535882514,3.741335822,3.896343551,4.008548232,,,,,,,,,,,,,,,,,,,,1044.991425,1062.790101,1109.810679,1194.015729,1213.261268,1229.188015,452,436.4574884,692.7156119,646.274704,657.0138711,648.8385857,17,17,17,17,17,17,,,,,,,0,293.203037,278.2763461,222.6210769,399.9152687,0,0,301.8399595,286.473571,229.1788568,411.6956281,0,1
14,0,0,מגרש הרוסים,,Jewish,yes,jerusalem,yes,ירושלים,16.11284181,10.8,45,0,0,0,55.8,26.91284181,71.91284181,71.91284181,71.91284181,71.91284181,38.47317166,65.71794628,186.4494402,184.9068277,182.1726943,178.853404,2.387733468,2.441880598,2.592714117,2.571262977,2.533242877,2.487085748,,,,,,,,,,,,,,,,,,,,5300.994,5358.8417,5493.378662,5628.863435,5758.951907,5883.960077,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,894.9593237,1233.551405,3500.352706,0,0,0,935.5183319,1289.455199,3658.986546,0,0,1
15,0,0,כורש,,Jewish,yes,jerusalem,yes,ירושלים,366.2889408,3.75,3.75,39.75,3.75,3.75,54.75,370.0389408,373.7889408,413.5389408,417.2889408,421.0389408,552.3126989,531.1587773,516.238515,553.814877,543.0553417,535.1138274,1.523457584,1.435413192,1.381096278,1.33920853,1.30138925,1.270936665,,,,,,,,,,,,,,,,,,,,1843.824,2079.026028,2099.140165,2120.988433,2141.009273,2159.345742,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,420.9026658,1225.442136,474.6436318,0,0,0,428.5145384,1247.603814,483.2273903,0,0,1
101,1,0,גאולה מזרח,,U. Orthodox,yes,jerusalem,yes,ירושלים,770.75,18,55.45,25,25,31,154.45,788.75,844.2,869.2,894.2,925.2,3446.978998,3697.079104,4112.030437,4322.38213,4461.529099,4564.607084,4.472240023,4.687263523,4.870919732,4.972828037,4.98940852,4.933643628,,,,,,,,,,,,,,,,,,,,481.7033,522.377603,567.2753822,606.2109044,650.4690569,692.5750935,1256,1446.438806,1647.723924,1659.835647,1671.434674,1681.915486,1903,2141.391002,2189.486979,2215.704217,2221.429829,2216.429188,,,,,,,0,170.1298129,158.7167925,52.18024589,225.1840531,0,0,194.3674556,181.3284727,59.61413498,257.2650302,0,1
102,1,0,בית ישראל,,U. Orthodox,yes,jerusalem,yes,ירושלים,967,33.9,219.25,51.1,37,74.5,415.75,1000.9,1220.15,1271.25,1308.25,1382.75,6134.801838,6553.82253,7820.469601,8245.628274,8589.116548,8943.454275,6.344159088,6.547929394,6.40943294,6.486236597,6.56534802,6.467875086,,,,,,,,,,,,,,,,,,,,893.1076,972.6656549,1130.140414,1192.923215,1263.350964,1332.770808,1915,2123.321942,2471.939599,2715.898356,2964.339575,3207.981853,7118,7572.305557,7662.836183,7667.716767,7708.018976,7720.617514,,,,,,,97.36463086,184.5788755,119.168192,136.0332466,655.7782702,0,108.7787848,206.2172434,133.1383995,151.9805614,732.655819,0,1
103,1,0,מאה שערים מזרח,,U. Orthodox,yes,jerusalem,yes,ירושלים,732,65,14,73,14,17,183,797,811,884,898,915,4279.791244,4786.025057,5141.84485,5644.576497,5873.865381,6010.915345,5.846709349,6.00505026,6.340129285,6.38526753,6.541052763,6.569306388,,,,,,,,,,,,,,,,,,,,651.309,689.6034434,729.3039089,787.2162833,835.9119967,880.9730607,3978,3978,4002.677419,4023.514874,4045.576444,4066.893855,858,1199.195616,1218.731161,1252.480912,1276.148474,1297.918715,,,,,,,0,277.4748758,151.3978922,95.85016111,262.4933542,0,0,310.5218931,169.42925,107.2658323,293.7560853,0,1
104,1,0,מוסררה צפון,,U. Orthodox,yes,jerusalem,yes,ירושלים,350,28,18,36,18,24,124,378,396,432,450,474,1571.59974,1802.310789,1966.266703,2210.524968,2359.833742,2488.919027,4.490284972,4.768017959,4.965319958,5.116955944,5.244074983,5.250884022,,,,,,,,,,,,,,,,,,,,348.33315,375.5493268,395.160198,408.3253855,419.97748,428.4623978,456,683.2910923,819.9770054,868.6973184,893.7204388,885.6242429,83,235.7100276,234.4560229,225.4331925,241.7414577,270.442791,,,,,,,0,56.83942615,75.78590153,56.83942615,218.8606317,0,0,59.64252453,79.52336604,59.64252453,229.6539827,0,1
105,1,0,חבשים,,Jewish,yes,jerusalem,yes,ירושלים,80,0,0,56,0,0,56,80,80,136,136,136,405,400,396,680,671.8072289,664.5454545,5.0625,5,4.95,5,4.939759036,4.886363636,,,,,,,,,,,,,,,,,,,,1440.4875,1457.33488,1474.748743,1500.616963,1517.678511,1533.364313,799,710.2222222,639.2,696.5641026,654.6024096,617.4090909,178,178,178,178,178,178,,,,,,,0,75.03084817,1200.493571,75.03084817,150.0616963,0,0,76.66821563,1226.69145,76.66821563,153.3364313,0,1
106,1,0,מאה שערים מערב,,U. Orthodox,yes,jerusalem,yes,ירושלים,495,31,120.5,92,29,35,307.5,526,646.5,738.5,767.5,802.5,2858.606033,3220.418203,3890.606564,4433.218851,4716.608614,4932.931645,5.774961684,6.122468066,6.017952921,6.003004538,6.145418389,6.14695532,,,,,,,,,,,,,,,,,,,,644.79591,714.8338578,791.5435607,852.9782548,905.7071894,951.9219838,630,852.4855815,1083.09261,1306.800513,1540.005307,1776.550225,451,672.3197083,721.586119,744.7367277,762.7807873,786.1147958,,,,,,,0,144.9594302,149.4538986,167.73441,390.830516,0,0,161.7744269,166.7902445,187.1912578,436.1660547,0,1
